window,side,touchdown_time_sec,sample_count,duration_sec,cmd_state_left_lag_ms,cmd_state_left_corr,cmd_state_right_lag_ms,cmd_state_right_corr,state_joint_left_lag_ms,state_joint_left_corr,state_joint_right_lag_ms,state_joint_right_corr,state_joint_mean_lag_ms,joint_sole_lag_ms_raw,joint_sole_lag_ms,joint_sole_corr,joint_sole_pass_corr_gate,mean_abs_sole_roll,case_label,diag_csv
swing,left,1777514424.748999,33,0.32007837295532227,0.0,0.0,0.0,0.0,8.975744247436523,0.32683159738099876,35.902976989746094,0.0875896553181358,22.43936061859131,0.0,0.0,0.8442646279999038,1,0.19040599841983136,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,left,1777514424.748999,14,0.13011765480041504,0.0,0.0,0.0,0.0,8.975744247436523,0.7081942307489845,125.66041946411133,0.0,67.31808185577393,0.0,0.0,0.5476346183584613,1,0.047318123049021166,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,right,1777514425.0488515,33,0.31999850273132324,0.0,0.0,0.0,0.0,197.46637344360352,0.6393780312605593,0.0,0.8958754637017204,98.73318672180176,0.0,0.0,0.4483771845131299,1,0.2694995684591673,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,right,1777514425.0488515,15,0.1400001049041748,0.0,0.0,0.0,0.0,35.902976989746094,0.33026336415409746,0.0,0.9088238057016176,17.951488494873047,8.975744247436523,8.975744247436523,0.8689853428772321,1,0.04135386222957919,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,left,1777514425.3588588,32,0.3100395202636719,0.0,0.0,0.0,0.0,179.51488494873047,1.0710939854295427,17.951488494873047,0.9054705045913307,98.73318672180176,179.51488494873047,179.51488494873047,1.2438747971973725,1,0.23911885758274354,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,left,1777514425.3588588,15,0.13998007774353027,0.0,0.0,0.0,0.0,35.902976989746094,0.5152081865460809,0.0,0.7751585544645485,17.951488494873047,134.63616371154785,nan,0.0,0,0.12454785459096154,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,right,1777514425.7388427,33,0.3199913501739502,0.0,0.0,0.0,0.0,0.0,0.9356075567821288,134.63616371154785,0.28549348024163573,67.31808185577393,197.46637344360352,197.46637344360352,0.7704575416423076,1,0.1642600224320601,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,right,1777514425.7388427,14,0.1299760341644287,0.0,0.0,0.0,0.0,125.66041946411133,0.0,0.0,0.5131030456763622,62.830209732055664,0.0,0.0,0.36608386894946626,1,0.09734191561494854,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,left,1777514594.847755,32,0.30993199348449707,0.0,0.0,0.0,0.0,0.0,0.6451063813066163,198.93479347229004,0.25378569910312626,99.46739673614502,0.0,0.0,0.7467636932522795,1,0.18274437895516182,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,left,1777514594.847755,15,0.13989019393920898,0.0,0.0,0.0,0.0,0.0,0.780983307898987,37.89234161376953,0.2566304165596792,18.946170806884766,0.0,0.0,0.7361333057085505,1,0.043102184403077386,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,right,1777514595.1277688,32,0.30980587005615234,0.0,0.0,0.0,0.0,198.93479347229004,0.7878783974454097,9.473085403442383,0.7623057164147851,104.20393943786621,56.8385124206543,56.8385124206543,0.6294093906230154,1,0.21471534137829373,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,right,1777514595.1277688,15,0.13991713523864746,0.0,0.0,0.0,0.0,18.946170806884766,0.5008010277814565,0.0,0.3399561894221375,9.473085403442383,28.41925621032715,28.41925621032715,0.8735279788843558,1,0.07919152639826306,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,left,1777514595.4976962,34,0.3297610282897949,0.0,0.0,0.0,0.0,37.89234161376953,0.74884159487163,0.0,0.9412130843138293,18.946170806884766,189.46170806884766,189.46170806884766,0.6893630350400923,1,0.18050174235752298,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
