case_label,diag_csv,reason
40/0.5 part1_invalid,t27_tracking_lag_b1_diag_20260428_155015.csv,no_right_touchdown_events
40/0.5 part2_invalid,t27_tracking_lag_b1_diag_20260428_155055.csv,no_right_touchdown_events
