case_label,diag_csv,window,side,touchdown_time_sec,actuator_name,lag_ms,lag_corr,raw_corr,gain,hysteresis_area,stiction_ratio,shape_flag
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,left,1777514424.748999,left_ankle_left_actuator,10.001420974731445,0.32683159738099876,-0.43320804091024995,-0.15058820873361092,0.6258723803503935,0.3333333333333333,"backlash_like,low_realization_gain"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,left,1777514424.748999,left_ankle_right_actuator,40.00568389892578,0.0875896553181358,0.4441893632601128,0.19252549774550645,0.49390123168226385,0.35294117647058826,"stick_slip_like,backlash_like,low_realization_gain"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,left,1777514424.748999,left_ankle_left_actuator,10.065078735351562,0.7081942307489845,0.7584804691843919,0.08026724119570082,0.7428134697333283,0.2857142857142857,"backlash_like,low_realization_gain"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,left,1777514424.748999,left_ankle_right_actuator,140.91110229492188,0.0,nan,nan,nan,nan,overall_slow
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,right,1777514425.0488515,right_ankle_left_actuator,199.4037628173828,0.46936319534038917,0.4718544594427233,0.8825668650094542,0.5530695006782687,0.1111111111111111,"overall_slow,backlash_like"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,right,1777514425.0488515,right_ankle_right_actuator,0.0,0.8958754637017204,0.6676452727684681,0.31911158766199127,0.43927232941021915,0.0,backlash_like
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,right,1777514425.0488515,right_ankle_left_actuator,39.92462158203125,0.33026336415409746,-0.026969391146246455,-0.005509320525153915,1.424390840862737,0.14285714285714285,"backlash_like,low_realization_gain"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,right,1777514425.0488515,right_ankle_right_actuator,0.0,0.9088238057016176,0.9856528463408109,0.3401333238481223,0.11071318614114178,0.0,mostly_linear
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,left,1777514425.3588588,left_ankle_left_actuator,201.45416259765625,1.0710939854295427,0.9698621640775807,0.80161755250281,0.29408865313432864,0.14285714285714285,"overall_slow,backlash_like"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,left,1777514425.3588588,left_ankle_right_actuator,20.145416259765625,0.9054705045913307,0.9057430036341986,0.38680022969307076,0.22384980179495642,0.3333333333333333,backlash_like
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,left,1777514425.3588588,left_ankle_left_actuator,39.867401123046875,0.5152081865460809,-0.572743130206916,-0.896981123378011,0.7073694667500235,0.2222222222222222,backlash_like
