side,first_contact_time_sec,first_contact_index,touchdown_time_sec,touchdown_index,touchdown_source,primary_flag,all_flags,has_severe_foot_flat_touchdown,has_foot_clearance_deficit,has_hip_knee_tracking_lag,has_early_knee_extension,has_tracking_lag,has_command_not_flat,max_swing_clearance_m,clearance_at_minus_50ms_m,clearance_peak_phase,foot_flat_error_touch_rad,sole_pitch_touch_rad,sole_roll_touch_rad,hip_err_minus_50ms_rad,knee_err_minus_50ms_rad,ankle_pitch_err_touch_rad,ankle_roll_err_touch_rad,knee_peak_to_touchdown_sec,cmd_linear_x,cmd_linear_y,cmd_angular_z,clearance_at_minus_100ms_m,clearance_at_minus_20ms_m
left,1777280412.4538558,46,1777280412.4538558,46,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|tracking_lag,1,1,1,0,1,0,0.02641785232777355,0.0693899061133556,0.662644377518272,1.9375929730886274,-0.16006746868750715,1.9309699466409105,0.158879,-0.37843899999999997,0.05137900000000001,-0.07166015,0.08989691734313965,0.4,0.0,0.0,0.016677717668812153,0.08757186101323328
right,1777280413.0238233,103,1777280413.0838675,109,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.13715722010282794,-0.03165488690434093,0.24841020012460316,1.58472382048219,-0.07753645970653009,-1.5828258541671116,0.15915400000000002,0.156581,-0.4602695,-0.1846271,0.299990177154541,0.4,0.0,0.0,-0.02308883474832546,-0.04422655825234173
left,1777280414.7939155,280,1777280414.8039527,281,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.08065049705439148,-0.03155238327132903,0.7766466911729784,1.5762351418098104,-0.09661443863663853,1.5732713918847951,-0.08779999999999999,0.076679,-0.3993313,0.318325,0.26024913787841797,0.4,0.0,0.0,-0.017282653005542714,-0.05105756444808235
right,1777280414.9338121,294,1777280414.9438424,295,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.11454818791578297,0.11411465473068566,0.23386046658046708,1.8970736513679385,-0.10190983262098602,-1.8943344015061452,0.17072900000000002,-0.588895,-0.08865,-0.020015400000000003,0.08005714416503906,0.4,0.0,0.0,0.10739620198126193,0.09848166908490297
left,1777280414.9538362,296,1777280414.9538362,296,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.044321401596380094,-0.11074144121501223,0.8623251181061578,1.5690775290646732,-0.04782893930305747,1.5683483939421257,0.41142100000000004,-0.153316,-0.3226326,0.1623435,0.3501598834991455,0.4,0.0,0.0,-0.11129273842344173,-0.08178237780671904
right,1777280415.123903,313,1777280415.2038896,321,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.11524447127925769,-0.03408999451562783,0.2483042670836684,1.6385858080152802,-0.13627682587583034,-1.6329090841067353,0.28908809999999996,0.45230999999999993,-0.1095435,-0.1598956,0.3299710750579834,0.4,0.0,0.0,-0.002561809451245123,-0.06832745545180002
left,1777280415.4638958,347,1777280415.4638958,347,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.0784841954835927,-0.021851253753393363,0.7197075365722977,1.5859208810509104,-0.09802228232160876,1.5828887115403152,-0.20277900000000001,0.012724999999999986,-0.121812,0.5097033,0.25007200241088867,0.4,0.0,0.0,-0.015536389333025202,-0.028854064009110558
right,1777280415.6739786,368,1777280415.6739786,368,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.05556519417717498,0.0474878027738595,0.1911219941842994,1.6234130186897082,-0.3274410400405851,-1.5900478592005873,0.288268,-0.39288500000000004,-0.06616999999999995,0.35224,0.08994317054748535,0.4,0.0,0.0,0.054064766340069625,0.03760763305410586
