window,side,touchdown_time_sec,sample_count,duration_sec,cmd_state_left_lag_ms,cmd_state_left_corr,cmd_state_right_lag_ms,cmd_state_right_corr,state_joint_left_lag_ms,state_joint_left_corr,state_joint_right_lag_ms,state_joint_right_corr,state_joint_mean_lag_ms,joint_sole_lag_ms,joint_sole_corr,mean_abs_sole_roll,source
swing,left,1777450368.9322147,34,0.3298821449279785,0.0,0.0,0.0,0.0,199.63693618774414,1.418957627636182,0.0,0.713016788870784,99.81846809387207,199.63693618774414,0.735787207864173,1.6283401620268025,contact_refined
touchdown,left,1777450368.9322147,15,0.13992905616760254,0.0,0.0,0.0,0.0,34.71946716308594,0.3825449388317878,0.0,0.8847264671996325,17.35973358154297,0.0,0.7630320170772625,1.915351862300984,contact_refined
swing,left,1777450369.1622047,32,0.31003832817077637,0.0,0.0,0.0,0.0,182.27720260620117,0.28643048553271144,26.039600372314453,0.13838756190432894,104.15840148925781,0.0,0.8243006456484847,1.7583447581477123,contact_refined
touchdown,left,1777450369.1622047,14,0.13003325462341309,0.0,0.0,0.0,0.0,0.0,0.5517044325953714,26.039600372314453,0.3765443392029039,13.019800186157227,0.0,0.5864425647740172,1.624773235140221,contact_refined
swing,left,1777450369.5421684,33,0.3200211524963379,0.0,0.0,0.0,0.0,95.47853469848633,0.41074071318068867,0.0,0.715243186922221,47.739267349243164,130.19800186157227,0.6808645222558682,1.6417464667819062,contact_refined
touchdown,left,1777450369.5421684,15,0.13998889923095703,0.0,0.0,0.0,0.0,130.19800186157227,0.0,8.679866790771484,0.8626613668643972,69.43893432617188,130.19800186157227,0.0,1.8468502486829783,contact_refined
swing,right,1777450369.582157,33,0.3199348449707031,0.0,0.0,0.0,0.0,147.55773544311523,0.5543475926637117,0.0,0.8550811406388098,73.77886772155762,0.0,0.7434267285945391,1.7732661466319675,contact_refined
touchdown,right,1777450369.582157,15,0.13996124267578125,0.0,0.0,0.0,0.0,34.71946716308594,0.2813725194032081,0.0,0.7845262931939668,17.35973358154297,0.0,0.45992833536209915,1.5983926351786797,contact_refined
