window,side,touchdown_time_sec,sample_count,duration_sec,cmd_state_left_lag_ms,cmd_state_left_corr,cmd_state_right_lag_ms,cmd_state_right_corr,state_joint_left_lag_ms,state_joint_left_corr,state_joint_right_lag_ms,state_joint_right_corr,state_joint_mean_lag_ms,joint_sole_lag_ms_raw,joint_sole_lag_ms,joint_sole_corr,joint_sole_pass_corr_gate,mean_abs_sole_roll,source
swing,left,1777515244.4189363,33,0.3200111389160156,0.0,0.0,0.0,0.0,0.0,0.4471812265391943,155.58695793151855,0.8452592742758372,77.79347896575928,45.7608699798584,45.7608699798584,0.6634782228885704,1,0.08108287768426926,kinematic_fk_hip
touchdown,left,1777515244.4189363,15,0.13996124267578125,0.0,0.0,0.0,0.0,0.0,0.751426413116873,27.45652198791504,0.6569083548354008,13.72826099395752,18.30434799194336,18.30434799194336,0.599447376927479,1,0.029837981994658723,kinematic_fk_hip
swing,right,1777515244.758935,33,0.3199639320373535,0.0,0.0,0.0,0.0,173.8913059234619,0.6182553650365958,0.0,0.7419406183704995,86.94565296173096,118.97826194763184,118.97826194763184,0.5281268914256482,1,0.19931470155863398,kinematic_fk_hip
touchdown,right,1777515244.758935,15,0.13997626304626465,0.0,0.0,0.0,0.0,0.0,0.31577097922488784,36.60869598388672,0.21372452943383796,18.30434799194336,36.60869598388672,36.60869598388672,0.2529545311369816,1,0.07210980134433645,kinematic_fk_hip
swing,left,1777515245.0688696,33,0.3199753761291504,0.0,0.0,0.0,0.0,18.30434799194336,0.6932963165007033,0.0,0.8996370668087035,9.15217399597168,201.34782791137695,201.34782791137695,0.41145063471188925,1,0.18296090062753567,kinematic_fk_hip
touchdown,left,1777515245.0688696,15,0.14008855819702148,0.0,0.0,0.0,0.0,0.0,0.7045062954183513,27.45652198791504,0.8252168030806822,13.72826099395752,27.45652198791504,27.45652198791504,0.6590935376388841,1,0.1166587233715521,kinematic_fk_hip
swing,right,1777515245.4290211,32,0.30995917320251465,0.0,0.0,0.0,0.0,0.0,0.9185147063809258,9.15217399597168,0.9504836510806783,4.57608699798584,100.67391395568848,100.67391395568848,0.6157742346287773,1,0.13434274584757522,kinematic_fk_hip
touchdown,right,1777515245.4290211,16,0.14990854263305664,0.0,0.0,0.0,0.0,0.0,0.8674882332898318,9.15217399597168,0.8976180721231085,4.57608699798584,146.43478393554688,nan,0.0,0,0.06634544695179594,kinematic_fk_hip
