case_label,diag_csv,window,events,mean_state_joint_left_lag_ms,mean_state_joint_right_lag_ms,mean_state_joint_lag_ms,mean_joint_sole_lag_ms,mean_cmd_state_left_lag_ms,mean_cmd_state_right_lag_ms,mean_abs_sole_roll
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,4,96.48925065994263,47.12265729904175,71.80595397949219,92.00137853622437,22.43936061859131,47.12265729904175,1.7399804335976465
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,4,44.87872123718262,2.243936061859131,23.561328649520874,71.80595397949219,0.0,0.0,1.7869301763151941
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,4,99.46739673614502,87.62603998184204,93.54671835899353,26.050984859466553,0.0,0.0,1.7014010914014048
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,4,14.209628105163574,37.89234161376953,26.050984859466553,11.841356754302979,0.0,0.0,1.6784832746169962
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,swing,4,34.76053476333618,97.32949733734131,66.04501605033875,76.4731764793396,0.0,0.0,1.6450169210444072
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,touchdown,4,9.269475936889648,0.0,4.634737968444824,74.15580749511719,0.0,0.0,1.853776441093347
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,swing,4,25.16847848892212,50.33695697784424,37.75271773338318,16.01630449295044,29.74456548690796,27.45652198791504,1.6434536221118403
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,touchdown,4,34.3206524848938,6.86413049697876,20.59239149093628,48.04891347885132,0.0,0.0,1.6226939583819542
