touchdown_time_sec,sample_count,mean_pos_des_raw,mean_abs_pos_des_raw,std_pos_des_raw,min_pos_des_raw,max_pos_des_raw,small_signal_ratio,case_label,diag_csv
1777360960.2291799,15,0.09664352,0.09664352,0.03822068116529135,0.0336575,0.156212,0.4666666666666667,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
1777360960.4792876,32,0.08714970000000001,0.08714970000000001,0.05644042291704448,0.0246845,0.192296,0.5625,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
1777360960.5592134,32,0.07965991874999999,0.07965991874999999,0.053421465172467764,0.0246845,0.192296,0.6875,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
1777364002.2420948,15,-0.04032817333333334,0.13879858666666664,0.1775785200683649,0.0293467,0.407977,0.4666666666666667,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
1777364002.361886,28,-0.1413214857142857,0.19407349285714287,0.1887911287715562,0.0293467,0.455484,0.2857142857142857,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
1777364002.3918698,30,-0.13450849666666667,0.18374370333333337,0.18402882179883276,0.026877,0.455484,0.3333333333333333,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
1777364592.3470402,17,-0.07648477647058825,0.1482427294117647,0.18470817199909406,0.020674,0.399148,0.5882352941176471,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
1777364592.4170558,24,-0.1378813,0.18870984999999998,0.18478766244168632,0.020674,0.399148,0.4166666666666667,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
1777364592.446996,26,-0.1388762,0.18579486153846153,0.17729890980808202,0.020674,0.399148,0.38461538461538464,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
1777365505.8521504,17,-0.08652944705882354,0.14361554117647057,0.18623015925022765,0.0215827,0.430725,0.6470588235294118,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
1777365505.9622502,28,-0.14749137142857147,0.1821507857142857,0.17561131175120356,0.0215827,0.430725,0.42857142857142855,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
1777365506.2321892,34,-0.02089040323529412,0.048311123235294115,0.07282235146153714,0.00109056,0.244152,0.8529411764705882,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
1777366097.3790457,15,-0.04816822666666667,0.13975717333333335,0.17619023192638147,0.011163,0.381295,0.4666666666666667,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
1777366097.4790835,25,-0.11987697599999997,0.174830344,0.1758004057843707,0.011163,0.381295,0.36,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
1777366097.7492514,33,-0.005121388424242422,0.04332827690909092,0.06479400358197439,0.000263118,0.217391,0.8787878787878788,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
1777450368.8921933,32,-0.01916109343750001,0.08866647531250002,0.1306092719621889,0.00161428,0.379099,0.78125,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
1777450368.9322147,34,-0.06610858794117648,0.12225453558823529,0.15807349302765455,0.00161428,0.379099,0.6470588235294118,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
1777450369.322206,34,-0.0752407205882353,0.10983435588235295,0.14903187500769002,0.01152,0.368622,0.6764705882352942,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
1777514424.428775,24,0.02279043083333333,0.050457680833333324,0.054236163011230146,0.00385504,0.114701,0.9166666666666666,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
1777514424.4687483,28,-0.025891773571428578,0.08867586928571426,0.13575353476919474,0.00385504,0.433528,0.7857142857142857,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
1777514424.4987392,30,-0.04707522200000001,0.10567371133333331,0.1542355131689659,0.00385504,0.433528,0.7333333333333333,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
1777514594.5177448,19,0.0006703942105263175,0.024955309999999998,0.031971341097926945,0.0010246,0.0648759,1.0,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
1777514594.5678809,24,-0.06502502125,0.08531203708333333,0.1422776849448078,0.0010246,0.432614,0.7916666666666666,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
1777514594.6478612,32,-0.1555559534375,0.1707712153125,0.20261704163664493,0.0010246,0.499291,0.59375,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
1777514825.4375713,22,0.03526414345454546,0.04754287472727273,0.043898425781338825,0.000555644,0.124347,0.9545454545454546,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
1777514825.5775683,33,0.004956039272727273,0.08011893042424242,0.11878332134090756,0.000555644,0.430128,0.7575757575757576,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
1777514825.6176136,32,-0.04561899075,0.10612730324999999,0.15476091512246862,0.000555644,0.435898,0.65625,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
1777515244.2287343,19,-0.08993678421052631,0.16468739473684207,0.20240023091079895,0.0187461,0.43919,0.5263157894736842,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
1777515244.31889,28,-0.15763056785714283,0.20835419642857136,0.19584125837107264,0.0187461,0.43919,0.35714285714285715,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
