side,touchdown_time_sec,sample_count,duration_sec,sole_mean_abs,sole_std,action_to_sole_lag_ms,raw_to_sole_lag_ms,lpf_to_sole_lag_ms,pos_to_sole_lag_ms,lpf_to_pos_lag_ms,action_to_sole_corr,raw_to_sole_corr,lpf_to_sole_corr,pos_to_sole_corr,lpf_to_pos_corr,sole_source_guess,h2_proxy_supported,case_label,suffix
right,1777360960.719342,14,0.1298534870147705,1.5953896486208339,0.007214506991091229,27.059555053710938,27.059555053710938,126.27792358398438,0.0,126.27792358398438,0.16082230769825617,0.1608227577083741,0.0,0.6755205247279825,0.0,execution_chain_dominant,1,35/0.5 baseline,20260428_152240
right,1777360961.4091651,15,0.13997888565063477,1.5843852763448503,0.018160039561313457,0.0,0.0,135.2977752685547,0.0,135.2977752685547,0.07184391049146809,0.07184491898545446,0.0,0.16071899516476593,0.0,mixed_or_uncertain,0,35/0.5 baseline,20260428_152240
left,1777360961.6990945,15,0.14010357856750488,1.5571526188727853,0.01800832143518594,135.2977752685547,135.2977752685547,135.2977752685547,0.0,135.2977752685547,0.0,0.0,0.0,0.6382005091982288,0.0,execution_chain_dominant,1,35/0.5 baseline,20260428_152240
left,1777360963.24914,15,0.13983917236328125,2.0395020435732465,0.14982639614595933,9.019851684570312,9.019851684570312,135.2977752685547,0.0,135.2977752685547,0.3213615854798833,0.3213624743153329,0.0,0.7029501596262001,0.0,execution_chain_dominant,1,35/0.5 baseline,20260428_152240
left,1777364003.9219308,15,0.14006710052490234,1.5296291963954483,0.016778318897651388,37.024497985839844,37.024497985839844,138.8418674468994,18.512248992919922,138.8418674468994,0.7161167770094072,0.71611946670302,0.0,0.7788280845788522,0.0,execution_chain_dominant,1,50/0.8 right_roll,20260428_161322
right,1777364003.9319282,15,0.13994240760803223,2.0861607599695233,0.05170366730156934,37.024497985839844,37.024497985839844,138.8418674468994,37.024497985839844,138.8418674468994,0.17831364570330402,0.17831466225914294,0.0,0.06666680594925595,0.0,mixed_or_uncertain,0,50/0.8 right_roll,20260428_161322
right,1777364004.0917618,15,0.14002299308776855,1.678883976515883,0.2088389078037185,27.768373489379883,27.768373489379883,138.8418674468994,0.0,138.8418674468994,0.6090216732852436,0.6090217928345677,0.0,0.6800485924538081,0.0,execution_chain_dominant,1,50/0.8 right_roll,20260428_161322
left,1777364004.4120104,14,0.13012003898620605,1.598655784359204,0.1637473612151109,18.512248992919922,18.512248992919922,129.58574295043945,18.512248992919922,129.58574295043945,0.26044305325003,0.2604430353962168,0.0,1.0054261561776336,0.0,execution_chain_dominant,1,50/0.8 right_roll,20260428_161322
left,1777364593.4569552,15,0.14001083374023438,1.5699479785379509,0.012769662223318984,18.542766571044922,18.542766571044922,139.0707492828369,139.0707492828369,139.0707492828369,0.7807488668091205,0.7807499864087691,0.0,0.0,0.0,output_chain_dominant,0,40/0.8 right_roll,20260428_162312
left,1777364593.9670818,15,0.14010024070739746,1.5500099413283792,0.017422781666373593,0.0,0.0,139.0707492828369,9.271383285522461,139.0707492828369,0.702952944052326,0.7029526648022341,0.0,0.3341969407319745,0.0,output_chain_dominant,1,40/0.8 right_roll,20260428_162312
