case_label,diag_csv,window,side,events,mean_lag_ms,mean_raw_corr,mean_gain,mean_hysteresis_area,mean_stiction_ratio,dominant_shape
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,left,4,67.90167093276978,0.47164662251541056,0.30758876780194405,0.4094280167404856,0.2906162464985994,"backlash_like,low_realization_gain"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,left,4,47.71089553833008,0.3843380783468957,-0.17060368709772544,0.5993644939515649,0.24338624338624337,backlash_like
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,right,4,87.40007877349854,0.5792298384140071,0.3812557317897386,0.3551725767126929,0.17063492063492064,"overall_slow,backlash_like"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,right,4,44.94774341583252,0.6348112193004246,0.12760374748738784,0.6843433356366271,0.047619047619047616,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,left,4,59.64207649230957,0.19759057161597327,0.2353068510209998,0.34960698562758125,0.045714285714285714,mostly_linear
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,left,4,9.982109069824219,0.6342204324172459,0.16884786428486975,0.40231664267939365,0.15795454545454546,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,right,4,94.29514408111572,0.7404988393858696,0.2344986902654719,0.46653160531964655,0.16346153846153846,backlash_like
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,right,4,4.951357841491699,0.12946173509990194,0.02353032516957835,0.31000099247911245,0.21428571428571427,"stick_slip_like,backlash_like,low_realization_gain"
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,swing,left,4,54.851531982421875,0.4321521147514745,0.25521974367031647,0.2173225132155858,0.09217171717171718,"backlash_like,low_realization_gain"
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,touchdown,left,4,7.3944926261901855,0.15117394595518244,-0.46876739047396265,0.19150517186834418,0.3759920634920635,stick_slip_like
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,swing,right,4,46.75590991973877,0.48874849730077147,0.2781542691514842,0.278613764010744,0.2809027777777778,overall_slow
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,touchdown,right,4,39.78729248046875,0.5854968415390946,0.029528500604538044,0.05124508610484424,0.7619047619047619,"stick_slip_like,low_realization_gain"
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,swing,left,4,47.5841760635376,0.7389780214180423,0.5616449924140782,0.20239433134783485,0.2540539170973954,mostly_linear
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,touchdown,left,4,15.08796215057373,0.22186610914220134,-0.065347052487996,0.35186689103557167,0.34910714285714284,mostly_linear
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,swing,right,4,49.960970878601074,0.822276207812276,0.4837814661311406,0.32223961411744373,0.20115799943165671,"overall_slow,backlash_like"
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,touchdown,right,4,12.52073049545288,0.2301813650616711,0.10848964147934377,0.07285353255429386,0.16241883116883116,low_realization_gain
