case_label,diag_csv,window,left_mean_lag_ms,right_mean_lag_ms,lag_gap_ms,left_mean_gain,right_mean_gain,gain_gap,left_mean_hysteresis_area,right_mean_hysteresis_area,left_mean_stiction_ratio,right_mean_stiction_ratio,left_shape,right_shape
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,67.90167093276978,87.40007877349854,-19.49840784072876,0.30758876780194405,0.3812557317897386,-0.07366696398779454,0.4094280167404856,0.3551725767126929,0.2906162464985994,0.17063492063492064,"backlash_like,low_realization_gain","overall_slow,backlash_like"
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,47.71089553833008,44.94774341583252,2.7631521224975586,-0.17060368709772544,0.12760374748738784,-0.2982074345851133,0.5993644939515649,0.6843433356366271,0.24338624338624337,0.047619047619047616,backlash_like,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,59.64207649230957,94.29514408111572,-34.65306758880615,0.2353068510209998,0.2344986902654719,0.0008081607555278925,0.34960698562758125,0.46653160531964655,0.045714285714285714,0.16346153846153846,mostly_linear,backlash_like
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,9.982109069824219,4.951357841491699,5.0307512283325195,0.16884786428486975,0.02353032516957835,0.1453175391152914,0.40231664267939365,0.31000099247911245,0.15795454545454546,0.21428571428571427,"backlash_like,low_realization_gain","stick_slip_like,backlash_like,low_realization_gain"
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,swing,54.851531982421875,46.75590991973877,8.095622062683105,0.25521974367031647,0.2781542691514842,-0.022934525481167756,0.2173225132155858,0.278613764010744,0.09217171717171718,0.2809027777777778,"backlash_like,low_realization_gain",overall_slow
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,touchdown,7.3944926261901855,39.78729248046875,-32.392799854278564,-0.46876739047396265,0.029528500604538044,-0.4982958910785007,0.19150517186834418,0.05124508610484424,0.3759920634920635,0.7619047619047619,stick_slip_like,"stick_slip_like,low_realization_gain"
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,swing,47.5841760635376,49.960970878601074,-2.3767948150634766,0.5616449924140782,0.4837814661311406,0.07786352628293758,0.20239433134783485,0.32223961411744373,0.2540539170973954,0.20115799943165671,mostly_linear,"overall_slow,backlash_like"
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,touchdown,15.08796215057373,12.52073049545288,2.5672316551208496,-0.065347052487996,0.10848964147934377,-0.17383669396733975,0.35186689103557167,0.07285353255429386,0.34910714285714284,0.16241883116883116,mostly_linear,low_realization_gain
