dataset,diag_filename,side,touchdown_time_sec,swing_row_count,swing_duration_sec,mean_sole_roll_rad,mean_abs_sole_roll_rad,std_sole_roll_rad,max_abs_sole_roll_rad,min_sole_roll_rad,max_sole_roll_rad,mean_sole_pitch_rad,mean_abs_sole_pitch_rad,std_sole_pitch_rad,max_abs_sole_pitch_rad,min_sole_pitch_rad,max_sole_pitch_rad,mean_rel_height_m,max_rel_height_m,peak_clearance_time_sec,peak_clearance_phase_fraction,roll_at_peak_clearance_rad,pitch_at_peak_clearance_rad,roll_at_minus_100ms_rad,pitch_at_minus_100ms_rad,roll_at_minus_50ms_rad,pitch_at_minus_50ms_rad,roll_at_minus_20ms_rad,pitch_at_minus_20ms_rad,roll_at_touch_rad,pitch_at_touch_rad,roll_sign_at_touch
baseline_35_0p5,t26_round3_diag_20260427_170011.csv,left,1777280412.653941,22,0.2100207805633545,0.284645362734368,0.284645362734368,0.10413209103381929,0.39173562429091513,0.031680066573102295,0.39173562429091513,0.24115753911542964,0.24115753911542964,0.06816797920336307,0.3391559609413146,0.1446258028705132,0.3391559609413146,0.06657546638506527,0.09952502676931807,1777280412.4640486,0.8055461991769122,0.39017959562956683,0.161964339447094,0.09780678469076975,0.3250392192047759,-0.10816984031283305,0.33963939706459734,0.06821330256847968,0.18707927646151082,0.15062509532361412,0.16083728499428393,positive
baseline_35_0p5,t26_round3_diag_20260427_170011.csv,right,1777280412.9838965,23,0.22004008293151855,-0.41645821228575153,0.4194657330207556,0.19978276046692092,0.6432138285201896,-0.6432138285201896,0.03458648845254775,0.3929815225803126,0.3929815225803126,0.025007935957979063,0.4504544519747927,0.3568054813928768,0.4504544519747927,0.08695199687208822,0.13715722010282794,1777280412.773978,0.24841020012460316,-0.5918120799078266,0.36607167590208695,0.03458648845254775,0.4504544519747927,0.19034808527917768,0.3622257799668133,-0.03712927951470757,0.2755095834275224,-0.06814167511229008,0.283741966896426,negative
baseline_35_0p5,t26_round3_diag_20260427_170011.csv,left,1777280413.3137941,27,0.2600066661834717,0.20994524782476903,0.23599956994322735,0.15588950299839008,0.3749035659411952,-0.16161051615027056,0.3749035659411952,0.18782030144803993,0.19424656453300243,0.1466881159578655,0.387983367851846,-0.029839926102714076,0.387983367851846,0.04339460773871612,0.06692674369917173,1777280413.1139407,0.7341125521738882,0.31500388654735767,0.07235732613806581,-0.11137010294505756,0.1920545413176042,-0.08430257497271354,0.3997694456235307,0.12325287614338465,0.419971014493524,0.10832967901536938,0.31708654617772875,positive
baseline_35_0p5,t26_round3_diag_20260427_170011.csv,right,1777280413.6538174,19,0.18013763427734375,-0.17255713299200084,0.17255713299200084,0.04943747746740188,0.22062084260041215,-0.22062084260041215,-0.0625957376032682,0.2990679719638973,0.2990679719638973,0.10601782788650055,0.4891187724415901,0.16721398605984242,0.4891187724415901,0.05242870528889106,0.06970433147196425,1777280413.5039458,0.29120860022308603,-0.21784429124042726,0.1923516599176731,-0.21220740537686233,0.3925547860766392,-0.13115755915748095,0.4963026038747317,0.07096047490285695,0.2960805884592563,0.046444758146971576,0.13634033295245027,positive
high_kp_right_roll_50_0p8,t27_tracking_lag_b1_diag_20260428_161322.csv,right,1777364002.7518833,24,0.23000073432922363,-0.22417912404653015,0.22428189520419436,0.09968388750589362,0.34062743095262427,-0.34062743095262427,0.0012332538919710423,0.0018096747344017443,0.01959855633668858,0.023475330217058502,0.04114597265262939,-0.034678083507050775,0.04114597265262939,0.0591218852979577,0.08683715671727776,1777364002.5920186,0.27420984199226095,-0.3377268904455568,-0.023343746522310454,-0.22943781450272915,0.023349056562015788,0.0012332538919710423,0.017853882062057028,0.07028028285442067,-0.015318438377086893,0.08667659525151472,-0.002757418512496352,positive
high_kp_right_roll_50_0p8,t27_tracking_lag_b1_diag_20260428_161322.csv,left,1777364003.1119895,23,0.2198467254638672,0.3626295097744835,0.37610446691283095,0.20475944511735703,0.5578496946778311,-0.11094820687363782,0.5578496946778311,-0.12538154790872924,0.1641096135259711,0.1519360295155328,0.32660904073500124,-0.32660904073500124,0.1001273323953808,0.0624125245523051,0.09514134651222039,1777364002.9119518,0.7312569627333511,0.510827941355849,-0.24891508932513517,-0.11094820687363782,-0.06882249008585505,-0.26447974929321316,0.08587116140955263,-0.03862554283341546,-0.023104230966196782,0.04286905942845465,-0.11990086435786082,positive
high_kp_right_roll_50_0p8,t27_tracking_lag_b1_diag_20260428_161322.csv,right,1777364003.4819021,23,0.21993327140808105,-0.2701115969158842,0.2701115969158842,0.09432567010489858,0.4407212732333994,-0.4407212732333994,-0.039291835790116414,-0.09872983045253264,0.2563068031561692,0.27763218819591484,0.4379711876771867,-0.4379711876771867,0.39172476601742656,0.06783039724595652,0.09898361953393048,1777364003.2719579,0.24551039099343172,-0.41993072800102715,0.35594286309238293,-0.1035989763092906,-0.13872099139257515,0.12505259994633522,0.4246422285128537,0.11702146510326439,0.07365080469107022,0.13060276868444642,-0.21886554338369252,positive
high_kp_right_roll_50_0p8,t27_tracking_lag_b1_diag_20260428_161322.csv,left,1777364003.822037,20,0.1900954246520996,0.1580475945021434,0.1580475945021434,0.04560513139199428,0.2011880259069989,0.03763088664862946,0.2011880259069989,-0.12029044971681661,0.22728976953679444,0.2320202650751785,0.40990524663967803,-0.40990524663967803,0.19788318581988731,0.05458477420499917,0.07447238393300781,1777364003.6319356,0.7598093761870295,0.19042424179524198,-0.22017302695585472,0.11870798265116966,0.19788318581988731,-0.14274108110183836,0.03997009069219565,0.006193670497449899,-0.14216326529563117,0.07805197111736573,-0.10773188214438469,positive
low_kp_right_roll_25_0p5,t27_tracking_lag_b1_diag_20260428_163825.csv,right,1777365506.3523164,24,0.23000073432922363,-0.21647224139236207,0.22284038794139194,0.11839349429065929,0.3417060747079388,-0.3417060747079388,0.06341081045665864,-0.00427538947952662,0.018876551350045775,0.02184573425090124,0.03415557368439969,-0.031509158092274565,0.03415557368439969,0.058801331216846726,0.08743814964175856,1777365506.1921437,0.2743874626833601,-0.3197133788075963,-0.02759228328307005,-0.1451842886557011,0.01544802110039693,0.06341081045665864,0.03197803118286514,0.1838627326217761,0.01938147755695641,0.14153804395735592,-0.02241493978156267,positive
low_kp_right_roll_25_0p5,t27_tracking_lag_b1_diag_20260428_163825.csv,left,1777365506.6622663,24,0.22994017601013184,0.23913416736917767,0.2497042273360656,0.13104126181048747,0.36167812105631003,-0.09030574388989088,0.36167812105631003,-0.06081700211981978,0.10638604073815283,0.11358665896439914,0.21722451481408653,-0.21722451481408653,0.1320361330429732,0.0622720043300071,0.09796423649134989,1777365506.5322921,0.7602405968102484,0.3117778686859587,-0.2172083072561377,0.24538427661020612,-0.17988776474446794,0.024351861524860574,0.04649562007694908,-0.1366056949271346,0.1662340315045787,-0.1917710229980356,0.07251595015213655,negative
