case_label,diag_csv,touchdown_events,mean_state_joint_lag_ms,mean_joint_sole_lag_ms,separation_label,separation_rationale,mean_abs_sole_roll,mean_abs_sole_pitch,mean_abs_ankle_roll_q,mean_roll_to_joint_gain_ratio,mean_pitch_to_joint_gain_ratio,side_roll_sign_majority,cross_side_roll_pattern,dominant_geometry_mode,geometry_mode_counts,dominant_three_layer_root,three_layer_counts,foot_contact_residual_reading
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,23.561328649520874,71.80595397949219,geometry_residual_dominant,"joint->sole=71.8ms dominates over state->joint=23.6ms; abs_sole_roll=1.787; shape=mostly_linear,backlash_like",1.776814282927838,0.0289112193095144,0.046719095,74.68463519641904,0.8650051003798362,"{'left': 'positive', 'right': 'negative'}",bilateral_mirror_stable,parallel_mapping_mismatch,{'parallel_mapping_mismatch': 4},command_not_flat,"{'command_not_flat': 2, 'tracking_lag': 1, 'coupled_geometry': 1}",foot_space_or_contact_residual_dominant
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,4,26.050984859466553,11.841356754302979,mixed_with_geometry_residual,"state->joint=26.1ms is not enough to fully explain abs_sole_roll=1.678; lag_gap=29.2ms; shape=backlash_like,low_realization_gain,backlash_like",1.724934528731084,0.05162811486395136,0.0350967325,170.52288089409058,2.3450768838744795,"{'left': 'positive', 'right': 'negative'}",bilateral_mirror_stable,parallel_mapping_mismatch,{'parallel_mapping_mismatch': 4},command_not_flat,"{'coupled_geometry': 1, 'tracking_lag': 1, 'command_not_flat': 2}",mixed_with_strong_foot_space_residual
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,4,4.634737968444824,74.15580749511719,geometry_residual_dominant,"state->joint=4.6ms is low but joint->sole=74.2ms remains high; abs_sole_roll=1.854; shape=backlash_like,stick_slip_like,low_realization_gain",1.8360721386402559,0.18490870140751953,0.118206075,570718.810791412,13575.374185596549,"{'right': 'negative', 'left': 'positive'}",bilateral_mirror_stable,parallel_mapping_mismatch,"{'parallel_mapping_mismatch': 2, 'pitch_roll_coupling_mismatch': 2}",command_not_flat,"{'command_not_flat': 3, 'coupled_geometry': 1}",foot_space_or_contact_residual_dominant
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,4,20.59239149093628,48.04891347885132,geometry_residual_dominant,"joint->sole=48.0ms dominates over state->joint=20.6ms; abs_sole_roll=1.623; shape=backlash_like,mostly_linear",1.6852009406009998,0.10275146520698435,0.108161925,23.52169454751936,1.6008348935668002,"{'left': 'positive', 'right': 'negative'}",bilateral_mirror_stable,parallel_mapping_mismatch,{'parallel_mapping_mismatch': 4},command_not_flat,"{'command_not_flat': 2, 'coupled_geometry': 2}",foot_space_or_contact_residual_dominant
