joint,group,action_to_target_lag_samples,action_to_target_lag_ms,action_to_target_corr,target_to_pos_lag_samples,target_to_pos_lag_ms,target_to_pos_corr,target_to_current_lag_samples,target_to_current_lag_ms,target_to_current_corr,current_to_pos_lag_samples,current_to_pos_lag_ms,current_to_pos_corr,target_dominant_period_sec,target_dominant_freq_hz,target_dominant_corr,current_dominant_period_sec,current_dominant_freq_hz,current_dominant_corr,pos_dominant_period_sec,pos_dominant_freq_hz,pos_dominant_corr,target_pos_rms_err,target_current_rms_err,current_pos_rms_err,sample_dt_sec,sample_dt_action_sec,sample_dt_current_sec,window_samples
left_ankle_pitch_joint,ankle,0,0.0,0.7120728505051783,8,80.0018310546875,0.09194990895695598,2,20.000457763671875,0.23478901564802382,16,160.003662109375,0.07696494383845455,0.7000160217285156,1.4285387319146616,0.7268237040234117,0.0800018310546875,12.49971390425329,0.40794898316697986,0.7000160217285156,1.4285387319146616,0.5896868975521786,0.1581385153710325,3.7211657082830847,3.8038162322185505,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
left_ankle_roll_joint,ankle,0,0.0,0.9992685930652131,6,60.001373291015625,0.15348250448997078,3,30.000686645507812,0.2152532360251218,7,70.00160217285156,0.24318085317155574,0.7000160217285156,1.4285387319146616,0.9216513966818588,0.7000160217285156,1.4285387319146616,0.6282185984417347,0.7200164794921875,1.3888571004725878,0.7199912530478219,0.2896890540885547,4.711387792453319,4.602700744397558,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
left_hip_pitch_joint,hip,0,0.0,0.9986170376075845,16,160.003662109375,0.08158897507945759,2,20.000457763671875,0.24685081359716882,0,0.0,0.145802753038015,0.7000160217285156,1.4285387319146616,0.9470385706260183,0.6900157928466797,1.449242191797483,0.5913856222673428,0.7100162506103516,1.4084184680848777,0.7896475720583972,0.8875803740189074,3.555266169872625,3.474888078126888,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
left_hip_roll_joint,hip,0,0.0,0.8892700867379651,7,70.00160217285156,0.24995054658249535,3,30.000686645507812,0.44655903980178574,5,50.00114440917969,0.2589325478102699,0.6900157928466797,1.449242191797483,0.8434848328053677,0.6800155639648438,1.4705545769709754,0.8014423831836687,0.0800018310546875,12.49971390425329,0.8402764407439888,0.3143068462380255,15.48931441398253,15.447981761131127,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
left_hip_yaw_joint,hip,0,0.0,0.9997499374621184,5,50.00114440917969,0.22766745075950487,2,20.000457763671875,0.32059572630542355,5,50.00114440917969,0.19846724678911587,0.7000160217285156,1.4285387319146616,0.7188359856476298,0.6800155639648438,1.4705545769709754,0.3774413634584196,0.0800018310546875,12.49971390425329,0.9742282102604697,0.26280530544526204,2.0918588192790315,2.1920547777214496,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
left_knee_pitch_joint,knee,0,0.0,0.9997499371083661,13,130.0029754638672,0.16083585151505891,2,20.000457763671875,0.1679333008529076,14,140.00320434570312,0.2329600750133745,0.7000160217285156,1.4285387319146616,0.9576618823363139,0.6900157928466797,1.449242191797483,0.6183539015167576,0.7000160217285156,1.4285387319146616,0.8357658815351189,0.39436679966744775,14.451407464547286,14.540215345577485,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
right_ankle_pitch_joint,ankle,0,0.0,0.7822232316266071,11,110.00251770019531,0.09280149002136326,2,20.000457763671875,0.21582673529193752,12,120.00274658203125,0.13467515275709438,0.7000160217285156,1.4285387319146616,0.7245356710520567,0.0800018310546875,12.49971390425329,0.3631043861553349,0.7000160217285156,1.4285387319146616,0.6803082370881487,0.22532434787175895,3.5477165667142376,3.6476408441557746,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
right_ankle_roll_joint,ankle,0,0.0,0.9997179657145087,5,50.00114440917969,0.06673793896652377,3,30.000686645507812,0.15907416158798127,6,60.001373291015625,0.1577907355157498,0.7000160217285156,1.4285387319146616,0.9463401747385508,0.6700153350830078,1.4925031527466615,0.7126337444965111,0.1900043487548828,5.2630374333698065,0.7933251118732261,0.28760286947121805,4.592115662140839,4.802507473917749,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
right_hip_pitch_joint,hip,0,0.0,0.9997499371200312,18,180.00411987304688,0.12063751709173513,3,30.000686645507812,0.28257209793374233,14,140.00320434570312,0.20315656213760433,0.7000160217285156,1.4285387319146616,0.8653636285268737,0.6900157928466797,1.449242191797483,0.7196549412774442,0.0800018310546875,12.49971390425329,0.7780407760526409,0.41751469053091733,4.932359356240768,5.227924323141491,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
right_hip_roll_joint,hip,0,0.0,0.8545000505852585,22,220.00503540039062,0.15426452905445728,3,30.000686645507812,0.30105296338237914,20,200.00457763671875,0.22537038802931708,0.7000160217285156,1.4285387319146616,0.9087464056465405,0.6900157928466797,1.449242191797483,0.8106855864382625,0.7000160217285156,1.4285387319146616,0.771445373835043,0.4283683500627961,9.443864593464804,9.650877509341884,0.010000228881835938,0.010000228881835938,0.010000228881835938,4000
