side,first_contact_time_sec,first_contact_index,touchdown_time_sec,touchdown_index,touchdown_source,primary_flag,all_flags,has_large_foot_frame_residual_touchdown,has_foot_clearance_deficit,has_hip_knee_tracking_lag,has_early_knee_extension,has_tracking_lag,has_command_not_flat,max_swing_clearance_m,clearance_at_minus_50ms_m,clearance_peak_phase,foot_flat_error_touch_rad,sole_pitch_touch_rad,sole_roll_touch_rad,foot_flat_error_touch_raw_rad,sole_pitch_touch_raw_rad,sole_roll_touch_raw_rad,sole_pitch_bias_rad,sole_roll_bias_rad,sole_bias_sample_count,hip_err_minus_50ms_rad,knee_err_minus_50ms_rad,ankle_pitch_err_touch_rad,ankle_roll_err_touch_rad,knee_peak_to_touchdown_sec,cmd_linear_x,cmd_linear_y,cmd_angular_z,clearance_at_minus_100ms_m,clearance_at_minus_20ms_m
left,1777515244.4189363,39,1777515244.4189363,39,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag,0,0,1,0,0,0,0.0501923176002923,0.02879699920094192,0.8695573159941042,0.0908186211066992,-0.03378803373728209,-0.08429941112422124,1.5006018362834694,-0.06830558696772006,1.499046436187457,-0.03451755323043797,1.5833458473116782,36,-0.051594999999999946,-0.540981,-0.19634999999999997,0.388624,0.10004615783691406,0.4,0.0,0.0,0.050056506644709675,0.006121803976231577
right,1777515244.758935,73,1777515244.758935,73,kinematic_fk_hip,foot_clearance_deficit,foot_clearance_deficit|hip_knee_tracking_lag|tracking_lag,0,1,1,0,1,0,0.0859736044583187,0.008818950608762088,0.2697798873752732,0.11827786454925003,-0.004326829510226189,0.11819869622259027,1.4808302940404727,-0.010096247967186582,-1.4807958757117667,-0.005769418456960392,-1.598994571934357,36,0.41039499999999995,-0.28157,-0.015960500000000002,-0.32492180000000004,0.17000985145568848,0.4,0.0,0.0,0.04630084642084581,-0.006393993200939974
left,1777515245.0688696,104,1777515245.0688696,104,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.09369783856576402,0.046108331004796055,0.7554006401356708,0.2624489266528716,-0.023577224943517043,-0.2613877456293756,1.3232340026822762,-0.05809477817395501,1.3219581016823025,-0.03451755323043797,1.5833458473116782,36,-0.48666300000000007,-0.5229820000000001,-0.22134099999999998,0.1359599,0.1399989128112793,0.4,0.0,0.0,0.08615196722974788,0.026195304483712767
right,1777515245.4290211,140,1777515245.4290211,140,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|tracking_lag,0,0,1,0,1,0,0.06138633492290857,0.0272861690999896,0.25560180108804986,0.17887603881456665,-0.1185805674691673,0.13392268769958515,1.4703396019202684,-0.1243499859261277,-1.4650718842347719,-0.005769418456960392,-1.598994571934357,36,0.069712,-0.618592,-0.16780699999999998,-0.167186,0.13006973266601562,0.4,0.0,0.0,0.05064918010341213,0.003407087860633873
left,1777515245.7589765,173,1777515245.7589765,173,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|tracking_lag,0,0,1,0,1,0,0.10273395240092764,0.04306000290457751,0.7412762161007576,0.1445929064294837,-0.05044359127857059,-0.1355084967396729,1.4503280283396733,-0.08496114450900856,1.4478373505720052,-0.03451755323043797,1.5833458473116782,36,-0.377594,-0.689424,-0.13669299999999995,0.19816630000000002,0.14995956420898438,0.4,0.0,0.0,0.08835141245129441,0.00036415962382185807
right,1777515246.1590714,213,1777515246.1590714,213,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.11845661268028024,0.02904636344415501,0.2413262003768776,0.42984713367924476,0.36980369475602987,0.21912048210300106,1.4270856519874693,0.3640342762990695,-1.379874089831356,-0.005769418456960392,-1.598994571934357,36,0.13468899999999995,-0.33604200000000006,-0.145082,-0.732352,0.18005776405334473,0.4,0.0,0.0,0.06494793998126458,0.01363464511722512
left,1777515246.4387767,241,1777515246.4387767,241,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|tracking_lag,0,0,1,0,1,0,0.06794396325734997,0.03621404601032291,0.7555784236143216,0.1353916411012065,-0.06555152664555715,-0.11846473667093815,1.4682950960414176,-0.10006907987599512,1.46488111064074,-0.03451755323043797,1.5833458473116782,36,-0.23939299999999997,-0.8927050000000001,-0.15056899999999995,0.044685,0.1097555160522461,0.4,0.0,0.0,0.06794396325734997,0.002134071905965984
right,1777515246.8988492,287,1777515246.8988492,287,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,0,1,1,1,0,0.08464039211526997,0.014831374881935755,0.2125539096399812,0.21258829959689196,0.17653298679342047,0.11844783535080716,1.4903619813586229,0.1707635683364601,-1.4805467365835498,-0.005769418456960392,-1.598994571934357,36,0.312795,-0.19532899999999997,-0.27305999999999997,-0.880754,0.23000597953796387,0.4,0.0,0.0,0.029762711540529063,0.006058827409814949
left,1777515247.138853,311,1777515247.138853,311,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.09202557495458502,0.02659706706121001,0.741079107805843,0.2899797811594538,0.27944269649868536,0.07746000809984666,1.678768719977287,0.24492514326824738,1.6608058554115248,-0.03451755323043797,1.5833458473116782,36,-0.26041200000000003,-0.7522679999999999,0.642544,0.229443,0.11006665229797363,0.4,0.0,0.0,0.08581405299121098,-0.012265572360275756
right,1777515247.5087569,348,1777515247.5087569,348,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.0832743990221052,0.027320224947969207,0.19828167115206172,0.3127064659062613,-0.3012886321720119,0.08372869247457437,1.5460644656388338,-0.3070580506289723,-1.5152658794597826,-0.005769418456960392,-1.598994571934357,36,0.2800020000000001,-0.355481,-0.12724210000000002,0.2648606,0.14990019798278809,0.4,0.0,0.0,0.06450768609423307,0.006038585012606845
