side,first_contact_time_sec,first_contact_index,touchdown_time_sec,touchdown_index,touchdown_source,primary_flag,all_flags,has_severe_foot_flat_touchdown,has_foot_clearance_deficit,has_hip_knee_tracking_lag,has_early_knee_extension,has_tracking_lag,has_command_not_flat,max_swing_clearance_m,clearance_at_minus_50ms_m,clearance_peak_phase,foot_flat_error_touch_rad,sole_pitch_touch_rad,sole_roll_touch_rad,hip_err_minus_50ms_rad,knee_err_minus_50ms_rad,ankle_pitch_err_touch_rad,ankle_roll_err_touch_rad,knee_peak_to_touchdown_sec,cmd_linear_x,cmd_linear_y,cmd_angular_z,clearance_at_minus_100ms_m,clearance_at_minus_20ms_m,attitude_dominant_axis,touchdown_attitude_type,touchdown_pitch_sign,touchdown_roll_sign,touchdown_dominant_abs_rad,ankle_tracking_dominant_axis,ankle_tracking_dominant_abs_rad,dominant_joint,orthogonal_joint,foot_axis_touch_rad,minus_100ms_raw_rad,minus_100ms_q_rad,minus_100ms_tau_raw,minus_100ms_tau_lpf,minus_100ms_q_err_rad,minus_100ms_orthogonal_raw_rad,minus_100ms_orthogonal_q_rad,minus_100ms_raw_flattening_intent,minus_100ms_tau_lpf_ratio,minus_50ms_raw_rad,minus_50ms_q_rad,minus_50ms_tau_raw,minus_50ms_tau_lpf,minus_50ms_q_err_rad,minus_50ms_orthogonal_raw_rad,minus_50ms_orthogonal_q_rad,minus_50ms_raw_flattening_intent,minus_50ms_tau_lpf_ratio,minus_20ms_raw_rad,minus_20ms_q_rad,minus_20ms_tau_raw,minus_20ms_tau_lpf,minus_20ms_q_err_rad,minus_20ms_orthogonal_raw_rad,minus_20ms_orthogonal_q_rad,minus_20ms_raw_flattening_intent,minus_20ms_tau_lpf_ratio,touch_raw_rad,touch_q_rad,touch_tau_raw,touch_tau_lpf,touch_q_err_rad,touch_orthogonal_raw_rad,touch_orthogonal_q_rad,touch_raw_flattening_intent,touch_tau_lpf_ratio,raw_flattening_intent_count,raw_flattening_intent_ratio,tau_lpf_ratio_mean,dominant_joint_tracking_err_max_rad,dominant_joint_tracking_err_touch_rad,axis_coupling_score_rad,effective_delay_sec,effective_delay_raw_rad,effective_delay_q_rad,effective_delay_tau_raw,effective_delay_tau_lpf,effective_delay_q_err_rad,effective_delay_orthogonal_raw_rad,effective_delay_orthogonal_q_rad,effective_delay_raw_flattening_intent,effective_delay_to_touch_tracking_err_rad,effective_delay_tau_lpf_ratio,delay_10ms_window_start_sec,delay_10ms_window_end_sec,delay_10ms_sample_count,delay_10ms_raw_flattening_intent_ratio,delay_10ms_tau_lpf_ratio_mean,delay_10ms_raw_to_touch_tracking_err_mean_rad,delay_10ms_raw_abs_mean_rad,delay_10ms_root_cause,delay_20ms_window_start_sec,delay_20ms_window_end_sec,delay_20ms_sample_count,delay_20ms_raw_flattening_intent_ratio,delay_20ms_tau_lpf_ratio_mean,delay_20ms_raw_to_touch_tracking_err_mean_rad,delay_20ms_raw_abs_mean_rad,delay_20ms_root_cause,delay_30ms_window_start_sec,delay_30ms_window_end_sec,delay_30ms_sample_count,delay_30ms_raw_flattening_intent_ratio,delay_30ms_tau_lpf_ratio_mean,delay_30ms_raw_to_touch_tracking_err_mean_rad,delay_30ms_raw_abs_mean_rad,delay_30ms_root_cause,delay_sweep_root_cause_sequence,delay_sweep_is_stable,three_layer_root_cause,three_layer_rationale,ankle_pitch_q_touch_rad,ankle_roll_q_touch_rad,ankle_pitch_vel_touch_radps,ankle_roll_vel_touch_radps,ankle_pitch_raw_touch_rad,ankle_roll_raw_touch_rad,ankle_pitch_tau_lpf_touch,ankle_roll_tau_lpf_touch,abs_sole_pitch_touch_rad,abs_sole_roll_touch_rad,abs_ankle_pitch_q_touch_rad,abs_ankle_roll_q_touch_rad,roll_to_joint_gain_ratio,pitch_to_joint_gain_ratio,foot_axis_sign,side_roll_sign_majority,matches_side_roll_majority,cross_side_roll_pattern,suspected_geometry_mode,suspected_geometry_rationale
left,1777366098.0990963,89,1777366098.0990963,89,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.09830192136321358,0.09927890054565652,0.7272379620664754,1.78021737150555,-0.04997377630924801,1.779515808160052,-0.09975500000000004,-0.9480130000000001,-0.06389499999999998,-0.0980783,0.08993268013000488,0.4,0.0,0.0,0.0871312154319131,0.07858305923130915,roll,roll_positive_dominant,negative,positive,1.779515808160052,ankle_roll,0.0980783,left_ankle_roll_joint,left_ankle_pitch_joint,1.779515808160052,0.0328156,0.0190958,0.171887,-0.274059,0.0137198,-0.277703,-0.209511,0,nan,-0.0202013,0.0333118,-1.46792,-1.1928,-0.0535131,-0.245927,-0.242642,1,0.8125783421439862,-0.0581759,0.0348078,-2.18293,-1.74584,-0.0929837,-0.245744,-0.255099,1,0.7997691176537957,-0.0790669,0.0190114,-2.02408,-2.09996,-0.0980783,-0.321218,-0.257323,1,1.037488636812774,3.0,0.75,0.8832786988701852,0.0980783,0.0980783,0.04997377630924801,0.02,-0.0581759,0.0348078,-2.18293,-1.74584,-0.0929837,-0.245744,-0.255099,1,0.0771873,0.7997691176537957,1777366098.0790963,1777366098.0990963,3.0,1.0,0.9538790937491776,0.0915737,0.07256230000000001,coupled_geometry,1777366098.0690963,1777366098.0890963,2.0,1.0,0.8164314443716536,0.0819763,0.0629649,coupled_geometry,1777366098.0590963,1777366098.0790963,2.0,1.0,0.8291462355243633,0.06706915,0.048057749999999996,coupled_geometry,coupled_geometry -> coupled_geometry -> coupled_geometry,1,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay",-0.257323,0.0190114,0.105369,-0.855745,-0.321218,-0.0790669,-0.198719,-2.09996,0.04997377630924801,1.779515808160052,0.257323,0.0190114,93.6025652061422,0.19420641104467148,positive,positive,1,bilateral_mirror_stable,parallel_mapping_mismatch,"roll_sign_stable,left_right_roll_mirror_stable,ankle_roll_q_small,sole_roll_large,foot_to_joint_gain_high,joint_tracking_not_extreme"
right,1777366098.4592378,125,1777366098.4592378,125,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.1006635195853382,0.08480034240993078,0.22734280399542278,1.6356124437144801,0.04287221071505408,-1.6350504700412332,0.19374200000000003,-0.35892099999999993,0.08909100000000003,-0.09342178300000001,0.09000158309936523,0.4,0.0,0.0,0.10010707337892794,0.05949025568949662,roll,roll_negative_dominant,positive,negative,1.6350504700412332,coupled,0.09342178300000001,right_ankle_roll_joint,right_ankle_pitch_joint,-1.6350504700412332,0.0300778,-0.00364346,0.0949688,0.546291,0.033721259999999996,-0.226346,-0.261519,1,nan,0.0245935,0.0738241,-1.92281,-1.12357,-0.0492306,-0.308419,-0.324756,1,0.5843375060458391,0.00424465,0.104879,-2.55342,-2.56913,-0.10063435,-0.276386,-0.344163,1,1.0061525326816583,-0.000492483,0.0929293,-1.86695,-2.31338,-0.09342178300000001,-0.257488,-0.346579,1,1.2391226331717506,4.0,1.0,0.9432042239664161,0.10063435,0.09342178300000001,0.04287221071505408,0.02,0.00424465,0.104879,-2.55342,-2.56913,-0.10063435,-0.276386,-0.344163,1,0.08868465,1.0061525326816583,1777366098.4392378,1777366098.4592378,2.0,1.0,1.2245900001895271,0.08990318150000001,0.0035186015000000003,coupled_geometry,1777366098.4292378,1777366098.4492378,1.0,1.0,1.0061525326816583,0.08868465,0.00424465,coupled_geometry,1777366098.4192379,1777366098.4392378,2.0,1.0,0.9696321095907732,0.08584869,0.007080609999999999,coupled_geometry,coupled_geometry -> coupled_geometry -> coupled_geometry,1,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay",-0.346579,0.0929293,-0.0107014,-0.9372,-0.257488,-0.000492483,1.9137,-2.31338,0.04287221071505408,1.6350504700412332,0.346579,0.0929293,17.594563501944307,0.12370112071145128,negative,negative,1,bilateral_mirror_stable,parallel_mapping_mismatch,"roll_sign_stable,left_right_roll_mirror_stable,ankle_roll_q_small,sole_roll_large,foot_to_joint_gain_high,joint_tracking_not_extreme"
right,1777366098.6592555,145,1777366098.7492204,154,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.09066188549056259,-0.05588001794811609,0.27019552910385186,1.6037033118688138,-0.05943956681947875,-1.602601400971344,0.17382799999999998,0.037433999999999995,-0.55191,-0.17027312,0.3599815368652344,0.4,0.0,0.0,-0.025370511148011088,-0.07326409128527533,roll,roll_negative_dominant,negative,negative,1.602601400971344,ankle_pitch,0.55191,right_ankle_roll_joint,right_ankle_pitch_joint,-1.602601400971344,-0.201323,-0.029842,-4.35785,-5.40794,-0.171481,-0.41,0.121354,0,1.2409651548355267,-0.241237,-0.00678054,-5.86898,-5.70472,-0.23445646,-0.41,0.113957,0,0.9720121724729,-0.240179,-0.01541,-5.54497,-5.51235,-0.224769,-0.41,0.127051,0,0.9941171908955323,-0.176384,-0.00611088,-4.59311,-5.3366,-0.17027312,-0.41,0.14191,0,1.1618707150492802,0.0,0.0,1.0922413083133098,0.23445646,0.17027312,0.05943956681947875,0.02,-0.240179,-0.01541,-5.54497,-5.51235,-0.224769,-0.41,0.127051,0,0.23406812,0.9941171908955323,1777366098.7292204,1777366098.7492204,3.0,0.0,1.0919638392833217,0.19417845333333336,0.20028933333333332,command_not_flat,1777366098.7192204,1777366098.7392204,2.0,0.0,1.0099395304202914,0.22570962,0.23182049999999998,command_not_flat,1777366098.7092204,1777366098.7292204,2.0,0.0,1.0307126189875957,0.23220762,0.2383185,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move ankle toward flatter touchdown",0.14191,-0.00611088,0.339624,0.672564,-0.41,-0.176384,-13.9222,-5.3366,0.05943956681947875,1.602601400971344,0.14191,0.00611088,262.2537835747624,0.41885396955449755,negative,negative,1,bilateral_mirror_stable,parallel_mapping_mismatch,"roll_sign_stable,left_right_roll_mirror_stable,ankle_roll_q_small,sole_roll_large,foot_to_joint_gain_high"
left,1777366098.8191562,161,1777366098.8191562,161,contact_refined,severe_foot_flat_touchdown,severe_foot_flat_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.07771586669672231,0.07872817124428089,0.7559788866380988,1.7204584112036034,-0.06263167897240644,1.7193180094067313,-0.279505,-0.7491349999999999,-0.10912699999999997,0.030309069999999997,0.0898885726928711,0.4,0.0,0.0,0.06823799598556857,0.06838796325528257,roll,roll_positive_dominant,negative,positive,1.7193180094067313,ankle_pitch,0.10912699999999997,left_ankle_roll_joint,left_ankle_pitch_joint,1.7193180094067313,-0.0215887,0.0437223,-2.05421,-1.85723,-0.065311,-0.304084,-0.226023,1,0.9041091222416404,-0.0223533,0.0447808,-1.34711,-1.79252,-0.0671341,-0.30677,-0.281923,1,1.3306411503143767,-0.0144648,0.0271244,-0.555792,-1.17699,-0.0415892,-0.314046,-0.292466,1,2.117680715087659,0.028768,-0.00154107,1.21642,0.056241,0.030309069999999997,-0.41,-0.300873,1,0.046234853093503885,4.0,1.0,1.0996664601842947,0.0671341,0.030309069999999997,0.06263167897240644,0.02,-0.0144648,0.0271244,-0.555792,-1.17699,-0.0415892,-0.314046,-0.292466,1,0.01292373,2.117680715087659,1777366098.7991562,1777366098.8191562,3.0,0.6666666666666666,0.046234853093503885,0.01449266,0.013978969999999999,filter_delay,1777366098.7891562,1777366098.8091562,1.0,1.0,nan,0.0076303199999999995,0.00917139,coupled_geometry,1777366098.7791562,1777366098.7991562,1.0,1.0,2.117680715087659,0.01292373,0.0144648,coupled_geometry,filter_delay -> coupled_geometry -> coupled_geometry,0,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay",-0.300873,-0.00154107,-0.204098,-0.917385,-0.41,0.028768,-0.688188,0.056241,0.06263167897240644,1.7193180094067313,0.300873,0.00154107,1115.665095944202,0.20816649873005036,positive,positive,1,bilateral_mirror_stable,parallel_mapping_mismatch,"roll_sign_stable,left_right_roll_mirror_stable,ankle_roll_q_small,sole_roll_large,foot_to_joint_gain_high"
