case_label,side,touchdown_time_sec,sample_count,duration_sec,sole_mean_abs,sole_std,sole_zero_crossings,sole_dominant_period_sec,sole_dominant_period_corr,loop_area_lpf_pos,loop_area_pos_sole,action_to_sole_lag_ms,raw_to_sole_lag_ms,lpf_to_sole_lag_ms,pos_to_sole_lag_ms,lpf_to_pos_lag_ms,pos_to_sole_corr,lpf_to_pos_corr,source_guess
35/0.5 baseline,right,1777360960.719342,14,0.1298534870147705,1.5953896486208339,0.007214506991091229,0,nan,-1000000000.0,nan,-0.00017991595117716546,27.059555053710938,27.059555053710938,126.27792358398438,0.0,126.27792358398438,0.6755205247279825,0.0,execution_chain_dominant
35/0.5 baseline,right,1777360961.4091651,15,0.13997888565063477,1.5843852763448503,0.018160039561313457,0,nan,-1000000000.0,nan,-0.0016467230453331922,0.0,0.0,135.2977752685547,0.0,135.2977752685547,0.16071899516476593,0.0,mixed_or_uncertain
35/0.5 baseline,left,1777360961.6990945,15,0.14010357856750488,1.5571526188727853,0.01800832143518594,0,nan,-1000000000.0,nan,-0.0017551717616180846,135.2977752685547,135.2977752685547,135.2977752685547,0.0,135.2977752685547,0.6382005091982288,0.0,execution_chain_dominant
35/0.5 baseline,left,1777360963.24914,15,0.13983917236328125,2.0395020435732465,0.14982639614595933,0,nan,-1000000000.0,nan,-0.01748016191698225,9.019851684570312,9.019851684570312,135.2977752685547,0.0,135.2977752685547,0.7029501596262001,0.0,execution_chain_dominant
50/0.8 right_roll,left,1777364003.9219308,15,0.14006710052490234,1.5296291963954483,0.016778318897651388,0,nan,-0.6832388179211457,nan,0.0010719906321227538,37.024497985839844,37.024497985839844,138.8418674468994,18.512248992919922,138.8418674468994,0.7788280845788522,0.0,execution_chain_dominant
50/0.8 right_roll,right,1777364003.9319282,15,0.13994240760803223,2.0861607599695233,0.05170366730156934,0,nan,-0.4466243654830314,nan,0.0059071795252070985,37.024497985839844,37.024497985839844,138.8418674468994,37.024497985839844,138.8418674468994,0.06666680594925595,0.0,mixed_or_uncertain
50/0.8 right_roll,right,1777364004.0917618,15,0.14002299308776855,1.678883976515883,0.2088389078037185,0,nan,0.06634324342908511,nan,0.10006358236384623,27.768373489379883,27.768373489379883,138.8418674468994,0.0,138.8418674468994,0.6800485924538081,0.0,execution_chain_dominant
50/0.8 right_roll,left,1777364004.4120104,14,0.13012003898620605,1.598655784359204,0.1637473612151109,0,nan,-1000000000.0,nan,0.028389126535599468,18.512248992919922,18.512248992919922,129.58574295043945,18.512248992919922,129.58574295043945,1.0054261561776336,0.0,execution_chain_dominant
40/0.8 right_roll,left,1777364593.4569552,15,0.14001083374023438,1.5699479785379509,0.012769662223318984,0,nan,-0.475301026273122,nan,-0.0012207059735363087,18.542766571044922,18.542766571044922,139.0707492828369,139.0707492828369,139.0707492828369,0.0,0.0,output_chain_dominant
40/0.8 right_roll,left,1777364593.9670818,15,0.14010024070739746,1.5500099413283792,0.017422781666373593,0,nan,0.07207427914235683,nan,0.0005320870565400639,0.0,0.0,139.0707492828369,9.271383285522461,139.0707492828369,0.3341969407319745,0.0,output_chain_dominant
