window,cases,mean_abs_lag_gap_ms,mean_abs_gain_gap,lag_left_worse_count,lag_right_worse_count,lag_balanced_count,gain_left_worse_count,gain_right_worse_count,gain_balanced_count,shape_left_worse_count,shape_right_worse_count,shape_balanced_count,dominant_lag_side,dominant_gain_side,dominant_shape_side
swing,4,33.917432030042015,1.0547499268799134,3,1,0,2,2,0,1,3,0,left_worse,right_worse,right_worse
touchdown,4,24.337410926818848,0.6927258628756486,4,0,0,3,1,0,2,2,0,left_worse,left_worse,right_worse
