case_label,diag_csv,window,events,mean_action_abs,mean_action_signed,mean_action_joint_lag_ms,mean_action_joint_corr
35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv,swing,4,0.07932479143181818,0.04521285931060606,151.08251571655273,0.6153478186662202
35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv,touchdown,4,0.39766720071428574,-0.33525152380952383,81.17866516113281,0.09307241078361739
50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv,swing,4,0.07228281126173686,0.04361011011081216,60.164809226989746,0.2820830271709437
50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv,touchdown,4,0.48269227580357144,-0.4310352971130952,30.082404613494873,0.294414151798987
40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv,swing,4,0.08714855062378454,0.004686407731273394,85.76029539108276,0.3581873898948602
40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv,touchdown,4,0.46115654895833336,-0.4227229166666666,37.085533142089844,0.13289774213690256
25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv,swing,4,0.077221904595254,0.0067045988777851995,89.21509981155396,0.2870696198366808
25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv,touchdown,4,0.4263726602232143,-0.38078391150297614,59.47673320770264,0.21278932603593786
25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv,swing,4,0.10571813549197862,-0.005305322270053475,73.06164503097534,0.3923849984250989
25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv,touchdown,4,0.5688127000000001,-0.56844246,47.136545181274414,0.2883051257393407
25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv,swing,4,0.14471650607481062,-0.049646930525568185,60.75906753540039,0.2536942829679654
25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv,touchdown,4,0.4542369701041667,-0.39327251239583333,8.679866790771484,0.28590806625938125
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,swing,4,0.09318665864962121,0.04818435232102272,76.29382610321045,0.36425063686174913
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,touchdown,4,0.3982048458190476,-0.35726700877142853,20.195424556732178,0.30958050252254615
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,4,0.08538721846827652,0.025562255802556826,99.46739673614502,0.32610921629031575
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,4,0.3546296157142857,-0.2926897938095238,23.682713508605957,0.09972823361102735
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,swing,3,0.13887720857872846,0.029738608355317882,61.79650624593099,0.49980126634988337
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,touchdown,3,0.42280932247222225,-0.2856531824722222,15.449126561482748,0.010081742972658354
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,swing,4,0.07290816266808713,-0.007014951209753786,54.91304397583008,0.2925694630091649
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,touchdown,4,0.5456177135416667,-0.522498666875,32.03260898590088,0.28050706590761815
