dataset,kp_case,window,role,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,kp25_kd0.4,swing,event_leg,ankle_pitch,1,6,29.260241160663494,5.73148192496109,5.556754223242301,3.031378870323494,25.613212198373684,4.1846895212983215,0.3514675333333333,0.3808958666666667,3.301087358469069,1.7511864762923421,0.1526048430312754
real,kp25_kd0.4,swing,event_leg,ankle_roll,1,6,35.41177039734999,11.950218731523654,4.041529011491017,3.031378870323494,33.86497799368722,10.908501398444642,0.44082394999999996,0.2414339,3.053160979249603,1.582760282455532,0.16672927076928865
real,kp25_kd0.4,swing,event_leg,hip_pitch,1,6,36.99623977200388,3.6312453663340585,3.031378870323494,3.031378870323494,36.99623977200388,2.6053116292107936,1.0937201666666667,0.23773866666666665,11.129613142275213,1.1056140849525706,0.3682572163166851
real,kp25_kd0.4,swing,event_leg,hip_roll,1,6,30.79226826488379,5.683112840580589,3.5364539409072555,3.031378870323494,27.145239302593993,2.0844529626712895,1.3955263333333334,0.07324879095,8.938631416537318,0.30039384770536576,0.44232394523984314
real,kp25_kd0.4,swing,event_leg,knee_pitch,1,6,27.565286614319394,3.647028962289801,3.031378870323494,3.031378870323494,27.565286614319394,3.647028962289801,0.9278163333333334,0.8325489999999999,5.082449667863657,4.11393340344321,0.497518318499307
real,kp25_kd0.4,swing,opposite_leg,ankle_pitch,1,6,15.073334137734127,9.948756934684171,7.182464606683783,3.521598791772439,11.427323471957601,4.771737461200616,0.439956,0.25027818333333335,3.403094243948173,0.9506337691330596,0.347958167617729
real,kp25_kd0.4,swing,opposite_leg,ankle_roll,1,6,29.276024756619233,19.31250252249259,3.552237536862998,3.031378870323494,28.75516609007973,16.218917715167056,0.60675005,0.14834965000000003,3.9057374000928267,0.9388639484860709,0.28476485697503384
real,kp25_kd0.4,swing,opposite_leg,hip_pitch,1,6,41.84587691646994,4.6887462953688095,3.031378870323494,3.5364539409072555,41.84587691646994,2.100236558627032,1.3819356833333334,0.2144731666666667,14.609590607029398,0.8902215676447657,0.4277946133591801
real,kp25_kd0.4,swing,opposite_leg,hip_roll,1,6,29.765316231247255,9.361708994781877,3.552237536862998,3.031378870323494,26.134070864913195,4.672962699413067,1.4674646666666666,0.11249342,11.047809043486025,0.5016399038778783,0.6097022431274706
real,kp25_kd0.4,swing,opposite_leg,knee_pitch,1,6,35.527347051606554,4.657179103457324,3.5364539409072555,3.031378870323494,35.00648838506705,2.0844529626712895,0.88667455,0.4172185,5.251929580645704,1.5226739993219074,0.266245641093319
real,kp25_kd0.4,touchdown,landing_leg,ankle_pitch,1,6,21.270875829727547,8.516897756162438,12.331949000163874,6.676912049163545,20.159710674443275,6.135829566267563,0.23226043333333332,0.25057355000000003,3.233840023634107,2.1055958484156876,0.3110166809224873
real,kp25_kd0.4,touchdown,landing_leg,ankle_roll,1,6,33.39600768903838,18.993597791699887,8.899242359732096,7.867446144110982,32.20547359409093,16.691898541468174,0.45772995666666666,0.16141675,7.238298608729916,1.6556979615505376,0.36772126838400904
real,kp25_kd0.4,touchdown,landing_leg,hip_pitch,1,6,46.34535546023588,2.4726477356600625,8.899242359732094,6.676912049163545,46.34535546023588,2.4726477356600625,0.8864605499999999,0.15381616666666667,14.284198186290917,1.1234712055888965,0.32117611829966325
real,kp25_kd0.4,touchdown,landing_leg,hip_roll,1,6,34.757490269414156,10.635437914863774,10.01040751501637,6.676912049163545,28.792609188574954,5.873301535074025,1.2418594666666667,0.06254264999999999,18.9194550097643,0.5415576049057763,0.9689815063248602
real,kp25_kd0.4,touchdown,landing_leg,knee_pitch,1,6,36.967609973880684,3.6631818306075004,10.020328632474264,6.676912049163545,36.967609973880684,2.4726477356600625,0.2700458333333334,0.3307376666666667,4.485662084205724,2.4244488956677817,0.20353899779519455
real,kp25_kd0.4,touchdown,stance_leg,ankle_pitch,1,6,32.364211473417264,6.044250020502375,6.676912049163545,6.676912049163545,32.364211473417264,3.6631818306074995,0.2714614,0.16748465,3.617707296500521,1.374372181651328,0.23072335052871407
real,kp25_kd0.4,touchdown,stance_leg,ankle_roll,1,6,39.25709861801038,7.076046236123489,8.899242359732094,6.676912049163545,36.87603042811549,7.076046236123489,0.16104584833333332,0.1784575833333333,2.84024076253297,1.44583077320584,0.09189198314402101
real,kp25_kd0.4,touchdown,stance_leg,hip_pitch,1,6,33.4082182951404,3.49223334517915,9.05798023905842,6.676912049163545,33.4082182951404,1.1905340949474374,0.8308863999999999,0.11521016666666667,14.067304481713734,0.8933511914181672,0.34010597107413193
real,kp25_kd0.4,touchdown,stance_leg,hip_roll,1,6,40.88110922957969,9.3777454863552,8.978611299395256,6.676912049163545,38.579409979347986,5.964881080839213,0.37996946666666664,0.05305092333333333,8.081333276326907,0.41671667002590845,0.1288824591865687
real,kp25_kd0.4,touchdown,stance_leg,knee_pitch,1,6,26.399330392578047,2.381068189894875,6.676912049163545,6.676912049163545,26.399330392578047,1.1905340949474374,0.6727003333333332,0.4271241666666666,7.5196077670636745,3.2563594369904187,0.4834628061643364
real,kp30_kd0.4,swing,event_leg,ankle_pitch,1,6,27.458692829473478,5.244289563203723,4.088928545555826,3.06298257760869,25.89507989271633,3.159811750411875,0.42005435,0.4140334666666667,4.166695334032524,1.9926992680644797,0.17776872459682627
real,kp30_kd0.4,swing,event_leg,ankle_roll,1,6,33.225883886018,12.134165909735065,5.114874513502962,3.58384745364339,30.57115322751856,11.091417849012613,0.39412838333333333,0.25530241666666664,3.250916277634641,1.5726422472320711,0.1662095164275226
real,kp30_kd0.4,swing,event_leg,hip_pitch,1,6,38.45337135644641,3.6648928423243112,3.553208343288407,3.06298257760869,38.45337135644641,2.084477812791849,1.3295369833333335,0.3211825,12.8997087156313,1.2691770913915974,0.3980020414540401
real,kp30_kd0.4,swing,event_leg,hip_roll,1,6,36.51909406997933,5.831344501686626,5.667306957782189,3.06298257760869,32.804813257982126,3.7142808119972,1.1230431666666665,0.08846081666666668,10.992804102742886,0.37312006385640534,0.38355153889825794
real,kp30_kd0.4,swing,event_leg,knee_pitch,1,6,33.27730847299699,3.6806766264465747,4.104712329678089,3.06298257760869,32.73964150418698,3.143009657636562,0.8765750666666666,0.8099861666666667,6.5133851880701235,3.918332852676453,0.4633947136483099
real,kp30_kd0.4,swing,opposite_leg,ankle_pitch,1,6,15.848446721732264,8.453489283288489,5.66730695778219,3.06298257760869,15.31077975292225,4.772812656841913,0.42815386666666666,0.2747047333333333,3.5752833515949836,1.0786591098650038,0.300336767141972
real,kp30_kd0.4,swing,opposite_leg,ankle_roll,1,6,29.496837598551583,18.40338313223287,3.06298257760869,3.06298257760869,28.99175650663915,16.82296810270041,0.6135766133333334,0.20371295166666667,4.580417564349172,1.0577117744969435,0.2675158840046115
real,kp30_kd0.4,swing,opposite_leg,hip_pitch,1,6,40.670229294134664,4.2351456880319,4.0731447614335625,3.06298257760869,40.670229294134664,2.6389468743771745,1.4148158499999999,0.3150783333333333,14.506181360070395,1.2473518724545105,0.4764205465030964
real,kp30_kd0.4,swing,opposite_leg,hip_roll,1,6,32.67039651577963,8.958570375200923,3.58384745364339,4.0731447614335625,28.485657106073663,5.244289563203723,1.4688473833333335,0.10098845,12.740473643126391,0.45295429759040357,0.5835580018176023
real,kp30_kd0.4,swing,opposite_leg,knee_pitch,1,6,33.244722596099415,4.218343595256588,3.5838474536433895,3.06298257760869,33.244722596099415,2.655748967152488,0.7628105,0.5482458333333333,5.502863633243995,2.0229075091733177,0.2718717560169311
real,kp30_kd0.4,touchdown,landing_leg,ankle_pitch,1,6,16.6676760331104,5.952741440396571,14.445319228695679,7.77824881545152,15.477127745031085,3.5716448642379426,0.3178954166666666,0.26076376833333337,4.14707513989962,1.9617502407732494,0.3397737185479421
real,kp30_kd0.4,touchdown,landing_leg,ankle_roll,1,6,36.906996930458746,17.858224321189713,12.22296242428096,7.778248815451519,36.906996930458746,17.858224321189713,0.42758773333333333,0.17400627833333335,7.738135965649842,1.632248884344013,0.30093141463703127
real,kp30_kd0.4,touchdown,landing_leg,hip_pitch,1,6,53.574672963569135,2.3810965761586282,7.778248815451519,6.6670704132441605,53.574672963569135,1.1905482880793141,0.7374851666666666,0.21143683333333332,14.117437904499857,1.532727343201054,0.4287134178129963
real,kp30_kd0.4,touchdown,landing_leg,hip_roll,1,6,39.28809350661737,10.714934592713826,6.6670704132441605,6.6670704132441605,33.3353520662208,4.7621931523172565,1.1916656166666666,0.04432638333333333,18.420495276135522,0.37781621324813325,0.8027604205821613
real,kp30_kd0.4,touchdown,landing_leg,knee_pitch,1,6,38.09754521853805,1.1905482880793141,12.22296242428096,6.6670704132441605,38.09754521853805,0.0,0.26234033333333334,0.4102183166666667,4.790525820476968,2.9433209806663747,0.1998177246327999
real,kp30_kd0.4,touchdown,stance_leg,ankle_pitch,1,6,30.954255490062167,5.952741440396571,15.556497630903038,6.6670704132441605,30.954255490062167,3.5716448642379426,0.22208116666666666,0.14253089666666666,3.3839727848465606,1.31724848463977,0.23593146255788033
real,kp30_kd0.4,touchdown,stance_leg,ankle_roll,1,6,45.24083494701393,10.714934592713826,15.55649763090304,7.778248815451519,42.859738370855304,9.524386304634513,0.20900343833333332,0.18375940000000002,3.4253358849644706,1.5371041320615542,0.10909286744779521
real,kp30_kd0.4,touchdown,stance_leg,hip_pitch,1,6,41.669190082776,7.143289728475885,11.1117840220736,7.778248815451519,41.669190082776,3.5716448642379426,0.9665106666666666,0.09728166666666666,15.572557333610368,0.8104240779199103,0.3352582465434962
real,kp30_kd0.4,touchdown,stance_leg,hip_roll,1,6,36.90699693045874,7.143289728475885,11.1117840220736,7.77824881545152,32.14480377814149,4.7621931523172565,0.3708851983333333,0.04704273666666667,7.3767943929353885,0.36731607737755473,0.1517271233660827
real,kp30_kd0.4,touchdown,stance_leg,knee_pitch,1,6,32.14480377814149,5.952741440396571,7.77824881545152,6.6670704132441605,30.95425549006217,3.5716448642379426,0.6922041666666665,0.31498333333333334,8.209923369635328,2.591092626499786,0.44675200499457973
