dataset,phase,role,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,complete_support,support_leg,ankle_pitch,4,24,0.31166134277979535,15.676797384332202,7.622367801818371,13.797127223194495,5.079229754584415,3.2404961011206477,3.491679567054934,0.40879705,0.21983450875,3.5872995524581857,1.1064495789127131,0.3577476947119156
real,complete_support,support_leg,ankle_roll,4,24,0.31166134277979535,30.04000268777911,13.808141005693045,29.74004515350852,11.814417534344399,3.5465513092660057,3.6567436599402683,0.6427527870833333,0.2355110625,4.989549500352955,1.6493435038317683,0.2518990144338994
real,complete_support,support_leg,hip_pitch,4,24,0.31166134277979535,44.83383726187383,3.0757361474972034,44.83383726187383,1.687478547381585,4.762839124353868,3.5168310255450854,1.3760385625,0.29011854583333335,14.870544608965382,1.2197164797435693,0.44636050743725225
real,complete_support,support_leg,hip_roll,4,24,0.31166134277979535,26.920544006997773,9.13602889502151,23.599387258164338,5.082261802843202,3.756072561996922,3.3977780334889567,1.4626860833333335,0.11956441916666666,12.550784403391077,0.5271147164958128,0.6357925563413723
real,complete_support,support_leg,knee_pitch,4,24,0.31166134277979535,34.776643411865656,3.0318743502992693,34.207216891528944,1.7791350728819861,3.52406110323979,3.3977780334889567,0.7906379208333334,0.3684008916666666,5.348367380064047,1.6497559268076099,0.23500152947552724
real,complete_swing,swing_leg,ankle_pitch,4,20,0.31149266958236693,28.260487227865816,7.127893610699642,25.63180647285671,5.310255783217958,4.251213469111592,3.2483065427815054,0.37872096,0.40926326,3.3062284716219508,1.992585220717785,0.18883195125564198
real,complete_swing,swing_leg,ankle_roll,4,20,0.31149266958236693,32.222834038821475,9.616135012019985,31.132837925191392,8.933928194638776,3.984417223957332,4.010355565819045,0.49437599,0.32421840999999996,3.629008758884658,2.5643010127157426,0.16802849048478097
real,complete_swing,swing_leg,hip_pitch,4,20,0.31149266958236693,38.209752715888,4.834308725790226,38.0878649584137,3.4827883497515044,3.698071345120796,3.456776650531013,1.157993711,0.2700422,11.423947537192984,1.1917071459060673,0.38679239037451085
real,complete_swing,swing_leg,hip_roll,4,20,0.31149266958236693,32.50297122516632,8.3972359570712,29.312092797893634,4.020895074326677,3.6353045814634717,3.456776650531013,1.20396605,0.059893321,8.604223584744279,0.278651486383936,0.37506946107164346
real,complete_swing,swing_leg,knee_pitch,4,20,0.31149266958236693,29.905166875129602,2.6945755977118493,29.687632849651852,2.533310050978989,3.456776650531013,3.456776650531013,0.9391382050000001,0.7988229,6.044501907737217,4.045041374908791,0.4903062051062868
sim,complete_support,support_leg,ankle_pitch,4,24,0.3697165946165721,17.639018993528605,10.31773816909064,14.368247391900043,9.298251321136942,3.1257968185080607,3.2707214591354536,0.7259425624999999,0.15201720833333332,3.8070853638294118,0.9293654379416657,0.366608878350136
sim,complete_support,support_leg,ankle_roll,4,24,0.3697165946165721,24.416733829203498,12.52445638822586,21.868151521603313,8.751711388388191,2.778394089824389,2.904655895775895,0.40930640125,0.15963642075,1.7199909869545416,0.7858034820953694,0.17415820283954142
sim,complete_support,support_leg,hip_pitch,4,24,0.3697165946165721,31.462934787639597,3.2271874241946783,31.09798395458751,2.1681015048409202,2.778394089824389,2.778394089824389,0.7984597504166667,0.2597535,4.359669820676466,1.150840012135786,0.27387184746902016
sim,complete_support,support_leg,hip_roll,4,24,0.3697165946165721,22.543967376526044,6.032178928676828,19.20291248893101,3.796030192330019,2.778394089824389,2.778394089824389,0.9558237083333334,0.12700819291666668,5.320733716163694,0.6119475711413084,0.3840389751581427
sim,complete_support,support_leg,knee_pitch,4,24,0.3697165946165721,13.431964258050764,4.285714722010202,13.075231408692433,1.468039817212316,2.778394089824389,2.778394089824389,1.0388802125,0.4483504166666667,4.41779876724346,1.3786433315609437,0.27178777151759087
sim,complete_swing,swing_leg,ankle_pitch,4,19,0.3431583078284013,20.799801428375833,7.696018210140793,18.971740424091593,7.086175045267833,4.107353210170238,3.1723313830469437,0.432028947368421,0.22380755210526318,2.8759472814269302,1.1357960680471362,0.17961590543883355
sim,complete_swing,swing_leg,ankle_roll,4,19,0.3431583078284013,27.71300029331744,14.033825774054522,26.141365228510107,7.929033082954865,3.164432832784135,3.6359481926761377,0.4119270052631579,0.08514352423157895,2.2950629010390795,0.43189734648114503,0.14132705519945865
sim,complete_swing,swing_leg,hip_pitch,4,19,0.3431583078284013,23.62401535673202,3.5603841091497843,23.207824870822865,1.5706727930457454,6.154867445494666,2.8799360326991272,0.6700510578947368,0.19947563157894735,5.142682652260912,0.8242085751227054,0.19073753305147376
sim,complete_swing,swing_leg,hip_roll,4,19,0.3431583078284013,28.46086613749283,8.605166187420021,25.90347204224906,5.372497304502124,2.8799360326991272,2.8799360326991272,1.6183007368421052,0.09960926531578947,8.877091618584467,0.5005242800106223,0.6103149891429561
sim,complete_swing,swing_leg,knee_pitch,4,19,0.3431583078284013,20.6985684375726,7.5343165793990705,20.241430906824935,6.130937828910725,2.8799360326991272,2.8799360326991272,0.6503687368421053,0.41008478947368426,2.9633362657834224,1.4030986426302494,0.26086451128129595
