dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,phase,role,side,start_time_sec,end_time_sec,duration_sec,sample_count,start_event_side,end_event_side,joint,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,complete_support,support_leg,left,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,ankle_pitch,42.84589829007928,4.760655365564364,42.84589829007928,4.760655365564364,4.544261939856893,4.544261939856893,0.668166,0.2511658,1.529866,0.35829380000000005,7.283164781494492,1.7057133014184456,0.2147735516037444
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,complete_support,support_leg,left,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,ankle_roll,42.84589829007928,4.760655365564364,42.84589829007928,0.0,4.544261939856893,4.544261939856893,0.4974269,0.157726,0.73161352,0.2578633,3.4829598295074318,1.2275983027271336,0.2361904436559041
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,complete_support,support_leg,left,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,knee_pitch,33.324587558950554,0.0,33.324587558950554,0.0,4.544261939856893,4.544261939856893,0.6688179999999999,0.571033,1.092914,0.571033,5.202986898200412,2.7184913153643158,0.20062146432115294
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,complete_support,support_leg,left,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,hip_pitch,38.085242924514915,4.760655365564364,38.085242924514915,4.760655365564364,22.72130969928447,4.544261939856893,1.1848649,0.30124,3.5677887999999998,0.302966,16.985012893920445,1.4423167134835733,0.46895686943794396
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,complete_support,support_leg,left,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,hip_roll,28.563932193386186,9.521310731128729,23.803276827821822,9.521310731128729,4.544261939856893,4.544261939856893,0.7016260000000001,0.0456367,1.7193948000000001,0.04717130000000001,8.185446080143468,0.22456630244564638,0.1935521046378738
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,complete_swing,swing_leg,right,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,ankle_pitch,33.324587558950554,9.521310731128729,28.563932193386186,4.760655365564364,9.088523879713787,4.544261939856893,0.533567,0.329162,1.8647288,0.35899549999999997,8.8773311670424,1.7090538532884618,0.1627393977246039
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,complete_swing,swing_leg,right,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,ankle_roll,42.84589829007928,14.281966096693093,42.84589829007928,14.281966096693093,4.544261939856893,4.544261939856893,0.619157,0.20601419999999998,1.8458449,0.37685097,8.787431427184618,1.7940575923486355,0.1350099059646567
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,complete_swing,swing_leg,right,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,knee_pitch,47.606553655643644,0.0,47.606553655643644,0.0,4.544261939856893,4.544261939856893,0.32521700000000003,0.9041029999999999,0.9608670000000001,0.9041029999999999,4.574356639143735,4.3041227979728385,0.5213188456343637
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,complete_swing,swing_leg,right,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,hip_pitch,28.563932193386186,4.760655365564364,28.563932193386186,4.760655365564364,4.544261939856893,4.544261939856893,0.620561,0.21955400000000003,2.6483060000000003,0.2814890000000001,12.607672168556302,1.3400721181973478,0.30100605355933235
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,complete_swing,swing_leg,right,1777514424.878831,1777514425.088886,0.21005511283874512,22,left,right,hip_roll,38.085242924514915,9.521310731128729,33.324587558950554,9.521310731128729,4.544261939856893,4.544261939856893,1.7,0.05388180000000001,3.7781232,0.08264520000000003,17.986342483843206,0.39344531481814016,0.8077314476084292
