kp_case,phase,side,joint,joint dominant hz real,joint dominant hz sim,joint dominant hz sim-real,joint dominant hz sim/real,joint dir hz real,joint dir hz sim,joint dir hz sim-real,joint dir hz sim/real,joint path/s real,joint path/s sim,joint path/s sim-real,joint path/s sim/real,joint range real,joint range sim,joint range sim-real,joint range sim/real
kp25_kd0.4,complete_support,left,hip_pitch,3.1912491459079084,2.6724761899715395,-0.518772955936369,0.8374389048872652,3.3068720997201537,4.390879136791256,1.084007037071102,1.3278043433136821,1.380176437522234,0.7934678364508092,-0.5867086010714249,0.5749031898235306,0.34745200000000004,0.21507475000000004,-0.13237725,0.6190056468231584
kp25_kd0.4,complete_support,left,hip_roll,3.1912491459079084,2.6724761899715395,-0.518772955936369,0.8374389048872652,12.567699683001527,5.7989881020753655,-6.768711580926161,0.4614200090983079,0.4912663591407383,0.625202801118907,0.13393644197816873,1.2726350776642503,0.1117905,0.13853533,0.02674483000000001,1.239240633148613
kp25_kd0.4,complete_support,left,knee_pitch,3.1912491459079084,2.6724761899715395,-0.518772955936369,0.8374389048872652,3.307976077795607,5.1997347549849895,1.8917586771893826,1.5718779799792344,1.8540154693088482,1.2578008662335656,-0.5962146030752826,0.6784198336287112,0.4430713333333334,0.42048225000000006,-0.022589083333333315,0.94901705067807
kp25_kd0.4,complete_support,left,ankle_pitch,3.966778706338957,2.9412935809726606,-1.0254851253662962,0.741481640070428,5.952851505485764,9.312512233313274,3.35966072782751,1.564378386514675,1.3646279092978757,0.9224274695412465,-0.44220043975662915,0.675955301262929,0.31667993333333333,0.18043125,-0.13624868333333334,0.5697590248324333
kp25_kd0.4,complete_support,left,ankle_roll,3.1912491459079084,2.6724761899715395,-0.518772955936369,0.8374389048872652,11.642811233176735,10.550427700020544,-1.092383533156191,0.9061752774928281,1.6005128231092185,0.6550711426217466,-0.9454416804874719,0.4092882813329667,0.2541671,0.141136975,-0.11303012499999998,0.5552920696659797
kp25_kd0.4,complete_support,right,hip_pitch,4.104554638914285,2.6262682919946556,-1.4782863469196297,0.6398424489457746,4.236208064446816,3.8352488452838056,-0.4009592191630107,0.9053494981683885,0.5630954309448981,1.409161830614166,0.8460663996692679,2.502527552478152,0.11255766666666667,0.26580899999999996,0.1532513333333333,2.36153616072354
kp25_kd0.4,complete_support,right,hip_roll,3.152130702465255,2.6262682919946556,-0.5258624104705993,0.8331723966714557,9.320285106663789,9.2329875392175,-0.08729756744628858,0.9906335947401573,0.4039630157999641,0.6698450396469074,0.26588202384694337,1.6581840748971035,0.08731046666666666,0.1367255,0.049415033333333344,1.5659691812436387
kp25_kd0.4,complete_support,right,knee_pitch,3.152130702465255,2.6262682919946556,-0.5258624104705993,0.8331723966714557,5.216644469614935,3.8352488452838056,-1.3813956243311294,0.7351946002114466,1.1066730766932584,1.2525021219074528,0.14582904521419437,1.1317724703757426,0.209456,0.40448500000000004,0.19502900000000004,1.9311215720724164
kp25_kd0.4,complete_support,right,ankle_pitch,3.152130702465255,2.6262682919946556,-0.5258624104705993,0.8331723966714557,11.062213826778546,8.096608040900541,-2.9656057858780045,0.7319157058147713,0.7737075983737186,0.7721470563522483,-0.001560542021470268,0.9979830338686728,0.15131206666666666,0.164366,0.01305393333333335,1.0862715949950676
kp25_kd0.4,complete_support,right,ankle_roll,4.342316908681647,4.14140996341273,-0.20090694526891628,0.9537327768806463,21.628070193406376,10.369367037534458,-11.258703155871919,0.4794402341405248,0.861451768505911,0.36871226690787384,-0.49273950159803714,0.4280126646525584,0.10971036666666667,0.055632089999999995,-0.054078276666666675,0.5070814335078028
kp25_kd0.4,complete_swing,left,hip_pitch,3.2139152139981326,2.6262682919946556,-0.587646922003477,0.817155437254849,3.322055372977677,2.6988693469668474,-0.6231860260108295,0.8124095007326005,1.3179062707720675,0.7767177888833364,-0.541188481888731,0.5893573815597013,0.259821,0.191227,-0.06859400000000002,0.7359951659026791
kp25_kd0.4,complete_swing,left,hip_roll,3.2139152139981326,2.6262682919946556,-0.587646922003477,0.817155437254849,1.4706546077521794,8.096608040900541,6.6259534331483625,5.505444989069048,0.31496424290930747,0.6111293828069513,0.2961651398976438,1.940313532615584,0.08791755,0.13483784999999998,0.046920299999999984,1.5336852539680643
kp25_kd0.4,complete_swing,left,knee_pitch,3.2139152139981326,2.6262682919946556,-0.587646922003477,0.817155437254849,3.322055372977677,6.534118192250652,3.212062819272975,1.9668902106209893,3.8931589167089573,1.8000322304605447,-2.0931266862484126,0.46235775856336836,0.749171,0.46727300000000005,-0.281898,0.6237200852675825
