dataset,axis,case_label,joint_count,reliable_joint_count,median_f_modal_candidate_hz,mean_f_modal_candidate_hz,median_zeta_bandwidth,mean_zeta_bandwidth,std_zeta_bandwidth,median_f_n_equiv_hz,median_residual_target_power_ratio,median_output_target_gain_at_peak,source_rule
real,pitch,20260428_152240,2,2,2.880587407919517,2.880587407919517,0.03376436781609196,0.03376436781609196,0.011175538208408138,2.882334253139207,1.6136711173279674,0.2608448690102024,reliable_only
real,pitch,20260428_155015,2,2,2.8564480366211287,2.8564480366211287,0.008547008547008548,0.008547008547008548,0.0,2.856552376037693,1.0,0.0,reliable_only
real,pitch,20260428_155055,2,1,2.85672047497556,2.85672047497556,0.008547008547008603,0.008547008547008603,0.0,2.856824824343665,1.0,0.0,reliable_only
real,pitch,20260428_161322,2,1,2.8565842493025917,2.8565842493025917,0.01709401709401707,0.01709401709401707,0.0,2.857001695490602,1.0044127360069717,0.0022939028029882362,reliable_only
real,pitch,20260428_162312,2,2,2.8801754344147024,2.8801754344147024,0.04224137931034481,0.04224137931034481,0.010972346604618833,2.88285190966859,1.3177336443271104,0.15343148504240645,reliable_only
real,pitch,20260428_163825,2,2,2.8321689993085526,2.8321689993085526,0.06071428571428571,0.06071428571428571,0.01515228816828314,2.837504880006244,3.379007863947178,0.8486930766365514,reliable_only
real,pitch,20260428_164817,2,2,2.868928682133575,2.868928682133575,0.017003476749239497,0.017003476749239497,0.005915604318922644,2.8693695026673973,23.45711161809993,3.8679135031122978,reliable_only
real,pitch,20260429_161248,2,2,2.8564480366211287,2.8564480366211287,0.01282051282051282,0.01282051282051282,0.0,2.8566828163886417,15.212962894921334,4.495046641810685,reliable_only
real,pitch,25/0.4 all_ankles,2,2,2.8321689993085526,2.8321689993085526,0.030255724055902485,0.030255724055902485,0.006833473205043969,2.8334922374071407,1.6008337895590858,0.32060608623126197,reliable_only
real,pitch,30/0.4 all_ankles,2,2,3.56462649912973,3.56462649912973,0.012124542124542143,0.012124542124542143,0.0009842511972559765,3.5648834239939293,1.2501458202718725,0.1258766645075455,reliable_only
real,pitch,35/0.5 all_ankles,2,1,2.856516141338038,2.856516141338038,0.017094017094017068,0.017094017094017068,0.0,2.8569335775731086,1.00085880072898,0.00044771525216893217,reliable_only
real,pitch,40/0.8 all_ankles,2,1,2.929969717923651,2.929969717923651,0.033333333333333326,0.033333333333333326,0.0,2.931598836602726,1.2844837893782122,0.18274636142620782,reliable_only
real,roll,20260428_152240,2,0,3.5885283810522806,3.5885283810522806,0.021234591679506906,0.021234591679506906,0.005924334549617638,3.5893062354086736,0.9475614180241807,0.058666933019544815,all_unreliable
real,roll,20260428_155015,2,1,2.8564480366211287,2.8564480366211287,0.008547008547008548,0.008547008547008548,0.0,2.856552376037693,1.0,0.0,reliable_only
real,roll,20260428_155055,2,2,3.5770046972984577,3.5770046972984577,0.008534867909867901,0.008534867909867901,1.7169453700231384e-05,3.5771349116490265,1.0,0.0,reliable_only
real,roll,20260428_161322,2,0,2.8565842493025917,2.8565842493025917,0.01709401709401707,0.01709401709401707,0.0,2.857001695490602,0.9975823605292252,0.0029109616595978218,all_unreliable
real,roll,20260428_162312,2,0,2.8313589016280125,2.8313589016280125,0.05172413793103446,0.05172413793103446,0.0,2.835154007972864,0.9724884000202781,0.01793275643051833,all_unreliable
real,roll,20260428_163825,2,2,2.7833384993204744,2.7833384993204744,0.052955665024630505,0.052955665024630505,0.026124634772902024,2.787682452429669,1.1086559625795855,0.28953776556530286,reliable_only
