kp_case,dataset,phase,role,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
kp25_kd0.4,real,complete_support,support_leg,ankle_pitch,1,6,0.3200136423110962,24.308089545708143,8.507532666132155,21.94712561296055,6.2701054970487915,2.576596821078386,3.5594547044021057,0.434069,0.233996,4.072144933644757,1.069167753835797,0.34735539553721995
kp25_kd0.4,real,complete_support,support_leg,ankle_roll,1,6,0.3200136423110962,30.164697530837575,16.635440713291555,29.70170131688745,14.557785399814982,3.766783027294777,3.766783027294777,0.6531057666666666,0.18193873333333332,4.816089175590709,1.230982295807565,0.27771957687530835
kp25_kd0.4,real,complete_support,support_leg,hip_pitch,1,6,0.3200136423110962,49.72360735018419,3.771540082083485,49.72360735018419,1.900794351919953,6.201197884091177,3.6479018924110966,1.2150238666666666,0.23000483333333333,15.114501476145984,0.9716359342335661,0.37399605787530693
kp25_kd0.4,real,complete_support,support_leg,hip_roll,1,6,0.3200136423110962,29.940131051236943,10.943992394832657,25.498417957583985,8.120032248134942,4.271543307194694,3.1716899241865817,1.5192543333333333,0.09955048333333333,12.804385678505517,0.4476146874703512,0.5958118789573292
kp25_kd0.4,real,complete_support,support_leg,knee_pitch,1,6,0.3200136423110962,41.12256898171912,4.262310273705271,39.59128270184148,1.5043490659751193,3.1716899241865817,3.1716899241865817,0.8613012166666666,0.3262636666666667,5.340168676353627,1.4803442730010534,0.2358830750545754
kp25_kd0.4,real,complete_swing,swing_leg,ankle_pitch,1,5,0.3199795722961426,30.583293183843136,6.3617272419352,26.0533907387507,3.7893421390022355,4.823279684845212,3.2003155731439983,0.31069058,0.4674543,3.6941231055935972,2.0941168036592894,0.176596864814434
kp25_kd0.4,real,complete_swing,swing_leg,ankle_roll,1,5,0.3199795722961426,36.5158569448896,11.817855751157875,35.45119837180965,11.262260294417729,3.2003155731439983,3.740894936458736,0.55970596,0.27632804,4.23977082919852,1.8605636923515771,0.16345260960394253
kp25_kd0.4,real,complete_swing,swing_leg,hip_pitch,1,5,0.3199795722961426,38.11012892203762,4.8213343257214545,38.11012892203762,3.3129454090231634,3.2003155731439983,3.2003155731439983,1.0189229,0.2290648,10.421869130314402,1.1097824044695455,0.31303845134187147
kp25_kd0.4,real,complete_swing,swing_leg,hip_roll,1,5,0.3199795722961426,34.51929839886323,7.494087469400566,31.20635298984007,2.8570556061838905,3.914427296873833,3.2003155731439983,1.3988095999999999,0.062625698,9.571151832925704,0.27638149309612003,0.4895129407871197
kp25_kd0.4,real,complete_swing,swing_leg,knee_pitch,1,5,0.3199795722961426,30.346779633378056,2.36081433591029,30.346779633378056,2.36081433591029,3.2003155731439983,3.2003155731439983,0.9228852,0.8508359999999999,5.11909621418134,4.171223710419573,0.48403057726989307
