dataset,case_label,ankle_kp,ankle_kd,diag_csv,source_path,joint,side,axis,sample_count,duration_sec,sample_rate_hz,target_column,residual_peak_hz,f_modal_candidate_hz,zeta_bandwidth,f_n_equiv_hz,half_power_bandwidth_hz,half_power_f1_hz,half_power_f2_hz,residual_peak_prominence,residual_target_power_ratio,output_target_gain_at_residual_peak,target_peak_hz,pos_peak_hz,target_rms_rad,pos_rms_rad,residual_rms_rad,frequency_source,reliable_zeta_bandwidth
real,20260428_152240,nan,nan,t27_tracking_lag_b1_diag_20260428_152240.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_152240.csv,left_ankle_pitch_joint,left,pitch,1473,14.731390714645386,99.99055951557918,pos_des_raw_left_ankle_pitch_joint,2.9294109233079837,2.9294109233079837,0.04166666666666672,2.9319571305886014,0.24411757694233227,2.734116861754118,2.9782344386964503,632.7273989154917,2.0237522725127257,0.4245760303044714,2.831763892531051,2.8805874079195175,0.14351079871854616,0.17014493993561605,0.26618470171244896,t27_walking_residual_fft_half_power,True
real,20260428_152240,nan,nan,t27_tracking_lag_b1_diag_20260428_152240.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_152240.csv,left_ankle_roll_joint,left,roll,1473,14.731390714645386,99.99055951557918,pos_des_raw_left_ankle_roll_joint,4.296469354185043,4.296469354185043,0.017045454545454523,4.297093654489244,0.146470546165399,4.19882232340811,4.345292869573509,5132.746554443372,0.9404084867558755,0.08976048117728211,4.296469354185043,4.1011752926311775,0.22410061687563373,0.0716500765429795,0.22793329846700722,t27_walking_residual_fft_half_power,False
real,20260428_152240,nan,nan,t27_tracking_lag_b1_diag_20260428_152240.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_152240.csv,right_ankle_pitch_joint,right,pitch,1473,14.731390714645386,99.99055951557918,pos_des_raw_right_ankle_pitch_joint,2.831763892531051,2.831763892531051,0.02586206896551721,2.832711375689813,0.146470546165399,2.7829403771425847,2.9294109233079837,6196.078899358401,1.2035899621432093,0.09711370771593338,2.8805874079195175,2.001764130927122,0.16416482987776085,0.0772036737303816,0.1770183960049106,t27_walking_residual_fft_half_power,True
real,20260428_152240,nan,nan,t27_tracking_lag_b1_diag_20260428_152240.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_152240.csv,right_ankle_roll_joint,right,roll,1473,14.731390714645386,99.99055951557918,pos_des_raw_right_ankle_roll_joint,2.8805874079195175,2.8805874079195175,0.02542372881355929,2.881518816328103,0.146470546165399,2.7829403771425847,2.9294109233079837,17051.908235188996,0.9547143492924859,0.027573384861807528,2.8805874079195175,4.345292869573509,0.19237157659548704,0.0600135759556175,0.19118412607890153,t27_walking_residual_fft_half_power,False
real,20260428_155015,nan,nan,t27_tracking_lag_b1_diag_20260428_155015.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155015.csv,left_ankle_pitch_joint,left,pitch,4000,39.999961853027344,100.00009536752259,pos_des_raw_left_ankle_pitch_joint,2.8564480366211287,2.8564480366211287,0.008547008547008548,2.856552376037693,0.04882817156617314,2.832033950838042,2.8808621224042152,1040643691.8159783,1.0,0.0,2.8564480366211287,nan,0.2696916158525403,0.0,0.2696916158525403,t27_walking_residual_fft_half_power,True
real,20260428_155015,nan,nan,t27_tracking_lag_b1_diag_20260428_155015.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155015.csv,left_ankle_roll_joint,left,roll,4000,39.999961853027344,100.00009536752259,pos_des_raw_left_ankle_roll_joint,4.296879097823236,4.296879097823236,0.008522727272727272,4.297035162271371,0.07324225734925971,4.248050926257063,4.321293183606323,299224754.87606436,0.9999999999999998,0.0,4.296879097823236,nan,0.11175283512404965,0.0,0.11175283512404967,t27_walking_residual_fft_half_power,False
real,20260428_155015,nan,nan,t27_tracking_lag_b1_diag_20260428_155015.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155015.csv,right_ankle_pitch_joint,right,pitch,4000,39.999961853027344,100.00009536752259,pos_des_raw_right_ankle_pitch_joint,2.8564480366211287,2.8564480366211287,0.008547008547008548,2.856552376037693,0.04882817156617314,2.832033950838042,2.8808621224042152,180721453.98002788,1.0,0.0,2.8564480366211287,nan,0.26375608686878704,0.0,0.26375608686878704,t27_walking_residual_fft_half_power,True
real,20260428_155015,nan,nan,t27_tracking_lag_b1_diag_20260428_155015.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155015.csv,right_ankle_roll_joint,right,roll,4000,39.999961853027344,100.00009536752259,pos_des_raw_right_ankle_roll_joint,2.8564480366211287,2.8564480366211287,0.008547008547008548,2.856552376037693,0.04882817156617314,2.832033950838042,2.8808621224042152,10474530972.269363,1.0,0.0,2.8564480366211287,nan,0.16279526188112628,0.0,0.16279526188112628,t27_walking_residual_fft_half_power,True
real,20260428_155055,nan,nan,t27_tracking_lag_b1_diag_20260428_155055.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155055.csv,left_ankle_pitch_joint,left,pitch,4000,39.99614715576172,100.00963303846062,pos_des_raw_left_ankle_pitch_joint,2.85672047497556,2.85672047497556,0.008547008547008603,2.856824824343665,0.048832828632061176,2.832304060659529,2.8811368892915903,983670686.1927569,1.0,0.0,2.85672047497556,nan,0.2699371670923829,0.0,0.2699371670923829,t27_walking_residual_fft_half_power,True
real,20260428_155055,nan,nan,t27_tracking_lag_b1_diag_20260428_155055.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155055.csv,left_ankle_roll_joint,left,roll,4000,39.99614715576172,100.00963303846062,pos_des_raw_left_ankle_roll_joint,4.297288919621355,4.297288919621355,0.0085227272727272,4.297444998954388,0.07324924294809065,4.248456090989294,4.321705333937385,284263751.34285355,1.0,0.0,4.297288919621355,nan,0.11188003816917519,0.0,0.1118800381691752,t27_walking_residual_fft_half_power,True
real,20260428_155055,nan,nan,t27_tracking_lag_b1_diag_20260428_155055.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155055.csv,right_ankle_pitch_joint,right,pitch,4000,39.99614715576172,100.00963303846062,pos_des_raw_right_ankle_pitch_joint,2.85672047497556,2.85672047497556,0.008547008547008603,2.856824824343665,0.048832828632061176,2.832304060659529,2.8811368892915903,197205229.3792842,0.9999999999999996,0.0,2.85672047497556,nan,0.2637556066437215,0.0,0.2637556066437215,t27_walking_residual_fft_half_power,False
real,20260428_155055,nan,nan,t27_tracking_lag_b1_diag_20260428_155055.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_155055.csv,right_ankle_roll_joint,right,roll,4000,39.99614715576172,100.00963303846062,pos_des_raw_right_ankle_roll_joint,2.85672047497556,2.85672047497556,0.008547008547008603,2.856824824343665,0.048832828632061176,2.832304060659529,2.8811368892915903,9977996433.741564,1.0,0.0,2.85672047497556,nan,0.16250723565924374,0.0,0.16250723565924374,t27_walking_residual_fft_half_power,True
real,20260428_161322,nan,nan,t27_tracking_lag_b1_diag_20260428_161322.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_161322.csv,left_ankle_pitch_joint,left,pitch,2788,27.87864398956299,100.00486397558475,pos_des_raw_left_ankle_pitch_joint,2.8565842493025917,2.8565842493025917,0.01709401709401707,2.857001695490602,0.09766099997615685,2.8077537493145135,2.9054147492906703,1146553.0447645225,0.9931851916865135,0.005069189300990253,2.8565842493025917,2.758923249326435,0.21753336053808126,0.037837516332838515,0.22061731485412095,t27_walking_residual_fft_half_power,False
real,20260428_161322,nan,nan,t27_tracking_lag_b1_diag_20260428_161322.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_161322.csv,left_ankle_roll_joint,left,roll,2788,27.87864398956299,100.00486397558475,pos_des_raw_left_ankle_roll_joint,2.8565842493025917,2.8565842493025917,0.01709401709401707,2.857001695490602,0.09766099997615685,2.8077537493145135,2.9054147492906703,3428727.667220457,0.999042113193714,0.0021405167544072483,2.8565842493025917,2.7345079993323957,0.2703054725194264,0.06048189046273494,0.2706093983842002,t27_walking_residual_fft_half_power,False
real,20260428_161322,nan,nan,t27_tracking_lag_b1_diag_20260428_161322.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_161322.csv,right_ankle_pitch_joint,right,pitch,2788,27.87864398956299,100.00486397558475,pos_des_raw_right_ankle_pitch_joint,2.8565842493025917,2.8565842493025917,0.01709401709401707,2.857001695490602,0.09766099997615685,2.8077537493145135,2.9054147492906703,1766405.1900013168,1.0044127360069717,0.0022939028029882362,2.8565842493025917,2.7345079993323957,0.2924115657551538,0.037786085033320975,0.28734307264762615,t27_walking_residual_fft_half_power,True
real,20260428_161322,nan,nan,t27_tracking_lag_b1_diag_20260428_161322.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_161322.csv,right_ankle_roll_joint,right,roll,2788,27.87864398956299,100.00486397558475,pos_des_raw_right_ankle_roll_joint,2.8565842493025917,2.8565842493025917,0.01709401709401707,2.857001695490602,0.09766099997615685,2.8077537493145135,2.9054147492906703,622935.686574984,0.9961226078647364,0.0036814065647883957,2.8565842493025917,5.615507498629027,0.17499493727361903,0.06747396636516802,0.18348871463581065,t27_walking_residual_fft_half_power,False
real,20260428_162312,nan,nan,t27_tracking_lag_b1_diag_20260428_162312.csv,test_logs/data_csv/t27_tracking_lag_b1_diag_20260428_162312.csv,left_ankle_pitch_joint,left,pitch,955,9.552267789840698,99.97625914714085,pos_des_raw_left_ankle_pitch_joint,2.928991967201392,2.928991967201392,0.049999999999999975,2.9326600863183914,0.2928991967201391,2.733725836054633,3.026625032774772,1311.2936123617142,1.4046564160420953,0.18569485652282264,2.8313589016280125,2.8313589016280125,0.1866117138303438,0.08357681014040483,0.2207613581791538,t27_walking_residual_fft_half_power,True
