dataset,case_label,diag_csv,step_index,touchdown_side,window,role,joint,phase_bin,norm_phase,pos_target_rad,joint_pos_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,13,0.65,0.6536744,0.2748748
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,14,0.7,0.4860228000000001,0.24028220000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,15,0.75,0.455897,0.209487
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,16,0.8,0.47549600000000003,0.1922296
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,17,0.85,0.460397,0.1842146
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,18,0.9,0.49243539999999997,0.18559540000000002
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,19,0.95,0.495707,0.1943006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,20,1.0,0.495649,0.207762
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,0,0.0,-0.291534,-0.276031
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,1,0.05,-0.289613,-0.2805786
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,2,0.1,-0.28934980000000005,-0.28223560000000003
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,3,0.15,-0.27064900000000003,-0.2839076
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,4,0.2,-0.2447974,-0.2822556
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,5,0.25,-0.210417,-0.280185
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,6,0.3,-0.17733700000000002,-0.2768598
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,7,0.35,-0.13851400000000003,-0.2710298
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,8,0.4,-0.09674567999999999,-0.2627026
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,9,0.45,-0.119892,-0.2517742
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,10,0.5,-0.24968,-0.209294
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,11,0.55,0.3191280000000001,-0.1052248999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,12,0.6,0.23747320000000002,-0.012220300000000022
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,13,0.65,0.21794840000000001,0.02596074000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,14,0.7,0.13104044000000012,0.029514560000000002
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,15,0.75,0.1195,0.0172849
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,16,0.8,0.2381214000000002,-0.005795008000000017
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,17,0.85,0.34461759999999997,-0.017802439999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,18,0.9,0.35,-0.0242254
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,19,0.95,0.14165184000000028,-0.02824871999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,20,1.0,-0.0702937,-0.0346979
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,0,0.0,-0.0245242,0.00631462
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,1,0.05,-0.01895802,0.011173684
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,2,0.1,-0.01742814,0.010809735999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,3,0.15,-0.021231659999999996,0.009731103999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,4,0.2,-0.02849376,0.003976493999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,5,0.25,-0.0384866,-0.000354486
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,6,0.3,-0.04534168,-0.005620005999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,7,0.35,-0.040182040000000016,-0.015054119999999997
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,8,0.4,0.013590760000000032,-0.027090520000000007
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,9,0.45,0.12239502000000002,-0.04003814000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,10,0.5,0.246423,-0.0533224
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,11,0.55,0.40961020000000015,-0.04804607999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,12,0.6,0.5249698,-0.032639020000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,13,0.65,0.5619226,-0.0237091
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,14,0.7,0.4369478000000001,-0.02311134
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_roll,15,0.75,0.397225,-0.0182271
