dataset,kp_case,window,role,step_index,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,kp25_kd0.4,swing,event_leg,1,ankle_pitch,1,1,34.37667199160726,6.250303998474047,3.030450423502568,3.030450423502568,31.251519992370234,6.250303998474047,0.641534,0.3154128,6.101800838167902,1.217273267494814,0.1952995359034915
real,kp25_kd0.4,swing,event_leg,1,ankle_roll,1,1,28.12636799313321,18.75091199542214,3.030450423502568,3.030450423502568,28.12636799313321,18.75091199542214,0.6296726,0.0665162,3.759061580944661,0.4668281428025084,0.3759978871333276
real,kp25_kd0.4,swing,event_leg,1,hip_pitch,1,1,34.37667199160726,3.1251519992370236,3.030450423502568,3.030450423502568,34.37667199160726,0.0,1.5074830000000001,0.337097,14.640080805321759,1.260817572876183,0.5238020135294671
real,kp25_kd0.4,swing,event_leg,1,hip_roll,1,1,18.75091199542214,0.0,3.030450423502568,3.030450423502568,12.500607996948094,0.0,1.7,0.130199,11.091895730860017,0.40808984842516866,0.8098514682959421
real,kp25_kd0.4,swing,event_leg,1,knee_pitch,1,1,28.12636799313321,6.250303998474047,3.030450423502568,3.030450423502568,28.12636799313321,6.250303998474047,0.591305,0.940919,4.779469960945137,3.2599085534441232,0.5149626906186623
real,kp25_kd0.4,swing,event_leg,2,ankle_pitch,1,1,21.876063994659162,6.250303998474047,6.060900847005136,3.030450423502568,15.625759996185117,3.1251519992370236,0.533567,0.329162,6.1239537906296935,1.3537302169046999,0.13169516492397174
real,kp25_kd0.4,swing,event_leg,2,ankle_roll,1,1,37.50182399084428,12.500607996948094,3.030450423502568,3.030450423502568,34.37667199160726,9.37545599771107,0.573896,0.20601419999999998,5.375447385231635,1.3002876175961469,0.09491068177000564
real,kp25_kd0.4,swing,event_leg,2,hip_pitch,1,1,21.876063994659162,3.1251519992370236,3.030450423502568,3.030450423502568,21.876063994659162,3.1251519992370236,1.27795,0.25253500000000006,13.899391655134597,1.4184189881977067,0.46197865433333213
real,kp25_kd0.4,swing,event_leg,2,hip_roll,1,1,40.626975990081306,9.37545599771107,3.030450423502568,3.030450423502568,37.50182399084428,6.250303998474047,1.7,0.0617438,12.838028783214515,0.4386541474929067,0.5852612801430023
real,kp25_kd0.4,swing,event_leg,2,knee_pitch,1,1,34.37667199160726,3.1251519992370236,3.030450423502568,3.030450423502568,34.37667199160726,3.1251519992370236,0.684488,0.879558,4.803811769867195,4.669942758827877,0.5012549262663085
real,kp25_kd0.4,swing,event_leg,3,ankle_pitch,1,1,34.37667199160726,6.250303998474047,15.152252117512841,3.030450423502568,31.251519992370234,3.1251519992370236,0.35604719999999995,0.3444693,3.4648228949428956,1.801551060241768,0.1574778574624671
real,kp25_kd0.4,swing,event_leg,3,ankle_roll,1,1,40.626975990081306,6.250303998474047,3.030450423502568,3.030450423502568,37.50182399084428,6.250303998474047,0.4595439,0.374813,2.153343170491881,2.237067242612241,0.18719362688512234
real,kp25_kd0.4,swing,event_leg,3,hip_pitch,1,1,40.626975990081306,3.1251519992370236,3.030450423502568,3.030450423502568,40.626975990081306,3.1251519992370236,0.888466,0.289927,8.41411924080017,1.402843230633509,0.2928300692192477
real,kp25_kd0.4,swing,event_leg,3,hip_roll,1,1,21.876063994659162,0.0,3.030450423502568,3.030450423502568,18.75091199542214,0.0,1.21835,0.0726733,6.611143423761952,0.23190721686178206,0.298277931758009
real,kp25_kd0.4,swing,event_leg,3,knee_pitch,1,1,21.876063994659162,3.1251519992370236,3.030450423502568,3.030450423502568,21.876063994659162,3.1251519992370236,0.9133089999999999,0.8703600000000001,4.799177169452325,3.6722286076154593,0.40694944924020854
real,kp25_kd0.4,swing,event_leg,4,ankle_pitch,1,1,18.75091199542214,3.1251519992370236,3.030450423502568,3.030450423502568,15.625759996185117,3.1251519992370236,0.14399799999999996,0.3452978,1.1515497583748597,1.9105923012231465,0.11863087750829922
real,kp25_kd0.4,swing,event_leg,4,ankle_roll,1,1,46.87727998855535,15.625759996185117,9.091351270507705,3.030450423502568,46.87727998855535,12.500607996948094,0.2951728,0.1219535,2.371955990748909,0.8818863301494957,0.06132075795755817
real,kp25_kd0.4,swing,event_leg,4,hip_pitch,1,1,31.251519992370234,3.1251519992370236,3.030450423502568,3.030450423502568,31.251519992370234,3.1251519992370236,0.905274,0.18810800000000005,10.231469506974081,0.9006750564841091,0.3447199788491488
real,kp25_kd0.4,swing,event_leg,4,hip_roll,1,1,25.00121599389619,9.37545599771107,6.060900847005136,3.030450423502568,21.876063994659162,0.0,1.7,0.0542655,9.008306890536707,0.23250662101523561,0.4089952174145111
real,kp25_kd0.4,swing,event_leg,4,knee_pitch,1,1,28.12636799313321,3.1251519992370236,3.030450423502568,3.030450423502568,28.12636799313321,3.1251519992370236,1.31753,0.728269,5.747754555780739,4.451228996161275,0.5242249640229938
real,kp25_kd0.4,swing,event_leg,5,ankle_pitch,1,1,41.93752360266457,6.451926708102242,3.1251519992370236,3.1251519992370236,38.71156024861345,6.451926708102242,0.25523999999999997,0.39065750000000005,1.8499093296004905,1.5135620028024008,0.12539534125604881
real,kp25_kd0.4,swing,event_leg,5,ankle_roll,1,1,29.03367018646009,6.451926708102242,3.1251519992370236,3.1251519992370236,29.03367018646009,6.451926708102242,0.10939289999999999,0.453157,1.6516506222982665,3.2171274404243753,0.16516994886915506
real,kp25_kd0.4,swing,event_leg,5,hip_pitch,1,1,48.38945031076681,3.225963354051121,3.1251519992370236,3.1251519992370236,48.38945031076681,3.225963354051121,0.9806549999999998,0.18254599999999999,12.241963159073695,0.9693116609184487,0.30760145429958347
real,kp25_kd0.4,swing,event_leg,5,hip_roll,1,1,45.163486956715694,3.225963354051121,3.1251519992370236,3.1251519992370236,41.93752360266457,3.225963354051121,0.354808,0.09184835570000001,5.372029475041791,0.386608983329372,0.1611020679210978
real,kp25_kd0.4,swing,event_leg,5,knee_pitch,1,1,22.581743478357847,3.225963354051121,3.1251519992370236,3.1251519992370236,22.581743478357847,3.225963354051121,1.033075,0.6490739999999999,6.473092253668173,3.4411512395831005,0.5149015382056674
real,kp25_kd0.4,swing,event_leg,6,ankle_pitch,1,1,24.243603388020546,6.060900847005136,2.9413195286936693,2.9413195286936693,21.213152964517977,3.030450423502568,0.17841899999999997,0.5603758,1.114487539098575,2.7104100090872243,0.187130281133374
real,kp25_kd0.4,swing,event_leg,6,ankle_roll,1,1,30.304504235025682,12.121801694010273,2.9413195286936693,2.9413195286936693,27.274053811523114,12.121801694010273,0.5772655,0.2261495,3.007507125782264,1.3933649211484245,0.11578272200056305
