dataset,case_label,kp_case,diag_csv,side,joint,signal,band_low_hz,band_high_hz,sample_count,duration_sec,sample_rate_hz,alignment_lag_samples,alignment_lag_ms,alignment_corr,alignment_applied,welch_segment_sec,welch_segment_count,vibration_peak_hz,vibration_peak_power,vibration_band_power,target_peak_hz,target_peak_power,target_band_power,target_power_at_vibration_peak,residual_target_power_ratio,residual_target_power_ratio_db,closed_loop_dominant
real,25/0.4 all_ankles,kp25_kd0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1419,14.179108381271362,100.00628825667074,0,0.0,0.020750123743481067,False,2.0,13,7.027223313396753,12.903855492362089,92.74221585218278,7.040718094544542,11.724028637234465,88.62805403643821,11.66539752455645,1.1061650891192178,0.43819947893649597,False
real,25/0.4 all_ankles,kp25_kd0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1419,14.179108381271362,100.00628825667074,0,0.0,0.09916337368228591,False,2.0,13,5.451798399916057,5.276220958761113,35.422112129063144,6.9550229279789235,3.8672832642578334,29.48378441157853,3.2103963901856387,1.643479594884549,2.157643163372927,False
real,25/0.4 all_ankles,kp25_kd0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1419,14.179108381271362,100.00628825667074,0,0.0,0.030903923306196686,False,2.0,13,5.4865011337713385,14.58392947103121,79.31591072957036,5.49563901422436,13.309254705276345,73.24648364552382,13.30829805069639,1.095852333294269,0.39752036670158303,False
real,25/0.4 all_ankles,kp25_kd0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1419,14.179108381271362,100.00628825667074,0,0.0,0.0498289160983618,False,2.0,13,5.0003144128335375,12.127227411555888,62.7136626089378,7.068353016578409,5.601295390906887,37.67957596295551,2.657142546906008,4.564010849051701,6.593466681032513,True
real,30/0.4 all_ankles,kp30_kd0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2415,24.13919472694397,100.00333595658488,0,0.0,0.023615664074766375,False,2.0,23,5.689569975810356,2.880141287813282,15.722616701818396,5.667089294395135,2.6676163077278083,14.592280363620617,2.413433752802697,1.1933790535864521,0.7677841075656723,False
real,30/0.4 all_ankles,kp30_kd0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2415,24.13919472694397,100.00333595658488,0,0.0,0.12798041291062232,False,2.0,23,5.666282714962426,3.503960326402325,14.265111308396007,5.658926896033916,3.237848298830146,13.005690178810394,3.0404228220762453,1.1524582373742147,0.6162519644211744,False
real,30/0.4 all_ankles,kp30_kd0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2415,24.13919472694397,100.00333595658488,0,0.0,0.01349709170795762,False,2.0,23,5.611629346881893,4.623965992131091,25.532480136533568,5.667037816547372,4.325946945029965,23.81911478109966,3.9441261814758444,1.1723676625378296,0.6906383077026569,False
real,30/0.4 all_ankles,kp30_kd0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2415,24.13919472694397,100.00333595658488,0,0.0,0.04585344108933724,False,2.0,23,5.553864059380838,16.270990349668786,59.888808349154544,5.6904437093776075,12.018098577186617,42.94717576291191,10.55130592775683,1.5420830806227925,1.8810777221303137,False
real,35/0.5 all_ankles,kp35_kd0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2206,22.049260139465332,100.00335548916375,0,0.0,0.01485804522397336,False,2.0,21,10.002622175886092,17.848908551489956,93.36738847807634,10.003569835311225,17.86913590380186,92.8186179313292,17.86813753784733,0.998923839358375,-0.004676222918065759,False
real,35/0.5 all_ankles,kp35_kd0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2200,22.049260139465332,100.00335548916375,6,59.99798677405533,0.21614553051218652,True,2.0,21,5.709467041589592,3.5660300199906834,15.909755145457545,5.719966797279201,3.7406643942891415,13.809463815303259,3.2583211546283044,1.094437856417343,0.3919110680733723,False
real,35/0.5 all_ankles,kp35_kd0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2206,22.049260139465332,100.00335548916375,0,0.0,0.05877070928828793,False,2.0,21,5.688531653077654,22.853266359154084,98.26037204702098,5.68601513364125,23.24716417736623,96.94959793544474,21.332677537692227,1.0712797921768218,0.2990291278244308,False
real,35/0.5 all_ankles,kp35_kd0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,2206,22.049260139465332,100.00335548916375,0,0.0,0.05498504649999858,False,2.0,21,5.614171554235619,10.574439774423881,65.54270160392016,10.00657904268642,10.098424554161975,62.842022809364146,9.26582869229253,1.1412297945050371,0.5737310141845788,False
real,40/0.8 all_ankles,kp40_kd0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,930,9.289199352264404,100.00861912534367,0,0.0,0.09009524622552774,False,2.0,8,5.556200176262084,11.459274602377077,53.80057896913869,5.490663078333261,9.70127815907959,46.67868277063935,9.700377359915823,1.1813225586181233,0.7236849736044675,False
real,40/0.8 all_ankles,kp40_kd0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,930,9.289199352264404,100.00861912534367,0,0.0,0.1580326994577535,False,2.0,8,5.266887982718637,11.895295106746952,41.87792695202484,5.630838785667386,5.884162786055382,24.95567268122547,5.758334564789767,2.065752688196095,3.1507832658301202,False
real,40/0.8 all_ankles,kp40_kd0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,930,9.289199352264404,100.00861912534367,0,0.0,0.048893090781785546,False,2.0,8,5.9580365174346195,3.8652801502021497,19.477567496935315,5.933000213727791,2.6644798634094835,14.84164152057398,2.6116098489275466,1.4800373615490157,1.7027267871236986,False
real,40/0.8 all_ankles,kp40_kd0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,930,9.289199352264404,100.00861912534367,0,0.0,0.11116189792954426,False,2.0,8,5.000430956267183,34.44473699800492,119.75497288603651,5.604502439064748,1.8354083039465754,17.16897159389917,1.6315843817410063,21.111220102052062,13.245133336523377,True
sim,2504,kp25_kd0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1488,14.86527705192566,100.03177167877762,0,0.0,0.1045679901851159,False,2.0,13,5.72213338184806,15.437879307330144,66.33071915797488,5.721387510812696,10.649689224314452,51.67652006409003,8.965869402220239,1.7218496739989573,2.359952327143019,False
sim,2504,kp25_kd0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1488,14.86527705192566,100.03177167877762,0,0.0,0.18714133704925381,False,2.0,13,5.716987791663108,3.0399096245841832,16.503070881012277,5.697956218073852,2.8590300609482404,16.00861211504117,2.5107965482785,1.210735145652667,0.8304914945043484,False
sim,2504,kp25_kd0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1487,14.86527705192566,100.03177167877762,0,0.0,0.12371306841219513,False,2.0,13,5.714925549280227,7.882651599849046,43.37209858098719,5.719104916189026,10.226722127254499,43.76453198037689,8.624626608543947,0.913970187653125,-0.39067970074592595,False
sim,2504,kp25_kd0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,ankle_roll,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1487,14.86527705192566,100.03177167877762,0,0.0,0.3044421214139146,False,2.0,13,7.134830076088211,1.5772767768636264,17.594177392080102,7.133936734437023,1.6466399267588023,18.63857762620039,1.519800076878861,1.0378185926288426,0.16121446859757,False
sim,3505,kp35_kd0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,ankle_pitch,delay_aligned_joint_pos_minus_pos_des_raw,5.0,30.0,1554,15.52578616142273,100.02714090309797,0,0.0,0.1841833071394129,False,2.0,14,5.710362134376128,20.184360240765628,60.287364075590794,5.7060854925802875,14.361296815879589,45.986859310950734,11.977981157648381,1.6851220564725276,2.2663136309026743,False
