kp_case,dataset,phase,role,side,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
kp25_kd0.4,real,complete_support,support_leg,left,ankle_pitch,1,3,0.32994914054870605,23.013898863955045,5.952851505485764,21.29391188608968,3.4388699776552776,3.1912491459079084,3.966778706338957,0.3732453333333334,0.31667993333333333,3.3905898193496817,1.3646279092978757,0.33433046178715936
kp25_kd0.4,real,complete_support,support_leg,left,ankle_roll,1,3,0.32994914054870605,26.851873735845526,11.642811233176735,25.925881307945286,8.467937011391705,3.1912491459079084,3.1912491459079084,0.6481788666666667,0.2541671,3.7752642419481908,1.6005128231092185,0.3046415366943915
kp25_kd0.4,real,complete_support,support_leg,left,hip_pitch,1,3,0.32994914054870605,42.19885535441977,3.3068720997201537,42.19885535441977,1.5868851218547881,9.2502650657171,3.1912491459079084,1.2905781333333333,0.34745200000000004,15.638129268184622,1.380176437522234,0.4777207834421153
kp25_kd0.4,real,complete_support,support_leg,left,hip_roll,1,3,0.32994914054870605,27.383177181812382,12.567699683001527,21.56232355426174,9.921720277235915,3.1912491459079084,3.1912491459079084,1.3672086666666665,0.1117905,11.755057924278221,0.4912663591407383,0.49897560507976974
kp25_kd0.4,real,complete_support,support_leg,left,knee_pitch,1,3,0.32994914054870605,37.17199627683425,3.307976077795607,37.17199627683425,0.793994549965121,3.1912491459079084,3.1912491459079084,1.0149857666666666,0.4430713333333334,5.890442897767564,1.8540154693088482,0.289941741806383
kp25_kd0.4,real,complete_support,support_leg,right,ankle_pitch,1,3,0.31007814407348633,25.60228022746124,11.062213826778546,22.600339339831425,9.101341016442307,1.9619444962488635,3.152130702465255,0.49489266666666665,0.15131206666666666,4.753700047939831,0.7737075983737186,0.36038032928728053
kp25_kd0.4,real,complete_support,support_leg,right,ankle_roll,1,3,0.31007814407348633,33.47752132582962,21.628070193406376,33.47752132582962,20.64763378823826,4.342316908681647,4.342316908681647,0.6580326666666666,0.10971036666666667,5.8569141092332275,0.861451768505911,0.2507976170562252
kp25_kd0.4,real,complete_support,support_leg,right,hip_pitch,1,3,0.31007814407348633,57.248359345948614,4.236208064446816,57.248359345948614,2.214703581985118,3.152130702465255,4.104554638914285,1.1394696,0.11255766666666667,14.590873684107345,0.5630954309448981,0.2702713323084986
kp25_kd0.4,real,complete_support,support_leg,right,hip_roll,1,3,0.31007814407348633,32.4970849206615,9.320285106663789,29.434512360906226,6.318344219033971,5.35183746848148,3.152130702465255,1.6712999999999998,0.08731046666666666,13.853713432732812,0.4039630157999641,0.6926481528348889
kp25_kd0.4,real,complete_support,support_leg,right,knee_pitch,1,3,0.31007814407348633,45.07314168660398,5.216644469614935,42.01056912684871,2.214703581985118,3.152130702465255,3.152130702465255,0.7076166666666667,0.209456,4.789894454939688,1.1066730766932584,0.1818244083027678
kp25_kd0.4,real,complete_swing,swing_leg,left,ankle_pitch,1,2,0.30502521991729736,35.78111678780781,4.792709980729857,30.607660649604636,3.322055372977677,4.9991945233227195,3.2139152139981326,0.2675856,0.40340005,2.4799967336662228,2.0400132503121013,0.15375273510113444
kp25_kd0.4,real,complete_swing,swing_leg,left,ankle_roll,1,2,0.30502521991729736,33.548969865109,8.114765353707533,32.07831525735682,8.114765353707533,3.2139152139981326,3.2139152139981326,0.36417449999999996,0.4137615,2.1138077954833334,2.6937488486100296,0.20797589564969982
