kp_case,dataset,window,joint,curve_count,gain_curve_count,mean_target_dir_chg_hz,mean_joint_dir_chg_hz,mean_target_amp_rad,mean_joint_amp_rad,mean_amplitude_gain,median_amplitude_gain
kp25_kd0.4,real,swing,ankle_pitch,12,11,22.16678764919881,7.840119429822631,0.3957117666666667,0.31558702499999997,1.0661805497782753,0.6169084669779054
kp25_kd0.4,real,swing,ankle_roll,12,12,32.34389757698461,15.631360627008123,0.523787,0.194891775,0.635874031988357,0.328212088938903
kp25_kd0.4,real,touchdown,ankle_pitch,12,11,26.817543651572407,7.280573888332406,0.25186091666666666,0.2090291,1.340348320781632,0.8272561310445232
kp25_kd0.4,real,touchdown,ankle_roll,12,12,36.32655315352437,13.034822013911688,0.3093879025,0.16993716666666667,1.2307728291775788,0.7169782874819131
kp25_kd0.4,sim,swing,ankle_pitch,12,12,17.337707964960156,8.249081262179685,0.4902446916666667,0.180160325,0.567816326464948,0.3310435354598593
kp25_kd0.4,sim,swing,ankle_roll,12,12,24.463661730496213,11.824404401427136,0.42600933416666664,0.05363579333333333,0.14610574883118005,0.11480064185099309
kp25_kd0.4,sim,touchdown,ankle_pitch,12,10,15.000014305128389,8.690484478368035,0.17059629166666668,0.05707158333333332,0.4669290483411565,0.48441920110003245
kp25_kd0.4,sim,touchdown,ankle_roll,12,12,26.54764436542564,9.880961804171875,0.08783732583333333,0.04388712166666667,0.7026605979197812,0.6286339163422601
kp30_kd0.4,real,swing,ankle_pitch,12,12,21.65356977560287,6.848889423246106,0.4241041083333333,0.3443691,1.2521817577873062,0.8039126990473251
kp30_kd0.4,real,swing,ankle_roll,12,12,31.36136074228479,15.268774520983968,0.5038524983333333,0.22950768416666667,0.5785043208504613,0.44252378359100897
kp30_kd0.4,real,touchdown,ankle_pitch,12,11,23.810965761586285,5.952741440396571,0.26998829166666666,0.2016473325,1.457408606129139,0.5258870482435237
kp30_kd0.4,real,touchdown,ankle_roll,12,12,41.07391593873634,14.28657945695177,0.31829558583333334,0.17888283916666667,1.0778424955448551,0.4768251757295723
kp35_kd0.5,real,swing,ankle_pitch,12,11,20.15112707033309,4.942066459619083,0.5066000666666667,0.2967078833333333,0.6716088273895742,0.48112048466407076
kp35_kd0.5,real,swing,ankle_roll,12,12,31.690676605771056,8.101180746415869,0.5046866875,0.26293818333333335,0.8596762593163499,0.49236955485331707
kp35_kd0.5,real,touchdown,ankle_pitch,12,8,19.880971340924134,4.087305485259852,0.21581176241666666,0.1885712416666667,0.7375483538554937,0.5376110288505843
kp35_kd0.5,real,touchdown,ankle_roll,12,12,31.428601401221385,6.3888949818139436,0.3450068741666667,0.20474701666666664,0.8702089181460512,0.6692163344915936
kp35_kd0.5,sim,swing,ankle_pitch,12,12,15.048999260841063,9.227004706408463,0.525772325,0.18950471666666666,0.5033643482730682,0.37912775057452097
kp35_kd0.5,sim,swing,ankle_roll,12,12,24.496470418958765,13.942084558725844,0.40915760333333334,0.10410807261666667,0.2605243937468117,0.23425681438582266
kp35_kd0.5,sim,touchdown,ankle_pitch,12,11,11.539297898096182,2.5642884217991515,0.13871399166666668,0.06019541666666666,0.5586592597419924,0.5694781251038101
kp35_kd0.5,sim,touchdown,ankle_roll,12,12,21.659078991267833,6.777047971897757,0.07422265583333333,0.05498736466666667,1.308372734467748,0.7126238824800492
kp40_kd0.5,sim,swing,ankle_pitch,12,12,17.09322686596064,10.377466910774812,0.5663132,0.18911441666666665,0.4558847829216681,0.31506715521028644
kp40_kd0.5,sim,swing,ankle_roll,12,12,25.89237181311951,14.757310359809047,0.41306756333333333,0.12809564833333334,0.29751296506164043,0.24673552338481947
kp40_kd0.5,sim,touchdown,ankle_pitch,12,12,12.301892333555108,1.7460750408916923,0.17320925833333334,0.06682358333333331,0.5099822632895105,0.5031084346870462
kp40_kd0.5,sim,touchdown,ankle_roll,12,12,30.357895597321473,5.238225122675078,0.07146419416666668,0.06542135583333333,1.7306628938494202,0.7636851197809251
kp40_kd0.8,real,swing,ankle_pitch,12,12,25.18061864758488,11.479804020472534,0.38537098333333336,0.2274105333333333,0.710308663652154,0.6956581857336072
kp40_kd0.8,real,swing,ankle_roll,12,12,34.06287897026443,16.142551528566084,0.39028713500000006,0.31163315416666665,1.6950560766805172,0.4857496626793204
kp40_kd0.8,real,touchdown,ankle_pitch,12,12,24.288053737911866,8.096017912637288,0.31235128333333334,0.2560702833333333,3.881001204653071,0.8356936601698808
kp40_kd0.8,real,touchdown,ankle_roll,12,12,37.70204420100698,12.263085955906481,0.3423555016666667,0.33001665916666667,1.321722273520175,1.0046256047232496
kp50_kd0.8,sim,swing,ankle_pitch,12,12,17.456123728147407,10.421482807379654,0.5357105,0.18828930749999997,0.48376619516190106,0.3678740405977933
kp50_kd0.8,sim,swing,ankle_roll,12,12,23.707893206283302,15.387306380886765,0.3872825633333333,0.15954487333333334,0.38790204576332704,0.3755242865817871
kp50_kd0.8,sim,touchdown,ankle_pitch,12,11,10.688097500286922,1.7462415795955784,0.17105077166666668,0.06824516666666666,0.5545757622442066,0.606874152037166
kp50_kd0.8,sim,touchdown,ankle_roll,12,12,20.4450696827825,7.894721546912877,0.0790806275,0.05131935633333334,1.368534387925486,0.586136610868244
