dataset,condition_group,joint,kp,kd,amp_rad,n,zeta_n,zeta_mean,zeta_std,zeta_median,fn_all_n,fn_all_median_hz,fn_all_iqr_hz,fn_reliable_n,fn_reliable_median_hz,fn_reliable_iqr_hz,tracking_ratio_mean,peak_time_mean_sec,ringdown_overshoot_mean,primary_peak_effort_mean
real,air,right_ankle_roll_joint,35.0,0.5,0.05,3,3,0.08476066666666666,0.010801621421496556,0.089228,3,17.063499,7.736585,0,nan,nan,0.9510956666666667,0.09535966666666666,1.0688666666666666,2.5280186666666666
real,air,right_ankle_roll_joint,35.0,0.5,0.1,3,3,0.20451699999999998,0.03957685168125429,0.201689,3,14.767582,8.430922000000002,1,14.767582,0.0,0.9636693333333334,0.09198566666666667,0.9940066666666666,4.795120666666667
real,air,right_ankle_roll_joint,35.0,0.5,0.15,3,3,0.14031533333333335,0.02544613576426355,0.125624,3,16.258876,6.132941000000001,2,15.76786,0.49101599999999834,0.9207076666666666,0.09280666666666666,0.9804889999999999,7.105809000000001
real,ground,right_ankle_roll_joint,35.0,0.5,0.05,3,2,0.0108305,0.012120517336318611,0.0108305,2,19.521101,7.2373499999999975,0,nan,nan,0.13839966666666667,0.16857133333333332,0.38342666666666664,4.842398
real,ground,right_ankle_roll_joint,35.0,0.5,0.1,3,3,0.04588866666666667,0.01000619229943805,0.043891,3,11.187961,4.631029500000001,1,11.868555,0.0,0.200107,0.251624,0.19286,7.220788
real,ground,right_ankle_roll_joint,35.0,0.5,0.15,3,3,0.0051136666666666665,0.0036821268763220717,0.004262,3,8.453806,3.2794204999999987,2,7.1214045,3.2794205000000005,0.37659466666666663,0.3820423333333333,0.3255666666666666,9.342239666666666
real,ground,right_ankle_roll_joint,35.0,0.5,0.2,3,3,0.023579,0.012385609028223036,0.021733,3,13.761295,2.978056500000001,3,13.761295,2.978056500000001,0.5215553333333333,0.45229199999999997,0.5582283333333333,11.613189666666665
real,ground,right_ankle_roll_joint,35.0,0.5,0.25,1,1,0.036954,0.0,0.036954,1,15.005001,0.0,1,15.005001,0.0,0.679407,0.498859,0.740904,15.330791
sim,sim,left_ankle_roll_joint,30.0,0.5,0.015000000000000001,3,3,0.10908126198829583,7.56844533471624e-05,0.1091249584278093,3,29.588465853190268,0.0010843506773170475,3,29.588465853190268,0.0010843506773170475,0.9470990962962963,0.4500066666666663,0.9793999999999997,0.48486199999999996
