dataset,window,role,step_index,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,swing,event_leg,1,ankle_pitch,4,4,29.688999908855035,9.375623666517994,3.030459458941139,3.030459458941139,25.782587846763214,4.687774574955279,0.560800075,0.34168845000000003,5.331538112880466,1.4792130248395712,0.18693054053020164
real,swing,event_leg,1,ankle_roll,4,4,32.81410534975848,17.188466412080757,3.030459458941139,3.030459458941139,32.032808035706424,14.844490637741837,0.57749825,0.1755277,3.496519033974158,1.0785320809397811,0.3059740959229008
real,swing,event_leg,1,hip_pitch,4,4,34.37668134937699,3.1251613170330494,3.030459458941139,3.030459458941139,34.37668134937699,2.3438733172237938,1.426776,0.283455,14.113541689506803,1.0927327169252685,0.42319090513045987
real,swing,event_leg,1,hip_roll,4,4,31.251594552504603,3.9063748073413342,3.030459458941139,3.030459458941139,27.3451452356623,1.5625014901175405,1.7,0.115194075,13.022300745333508,0.3710856183500298,0.7306738765972072
real,swing,event_leg,1,knee_pitch,4,4,31.251547971519088,6.250322634066099,3.7880359389981284,3.030459458941139,31.251547971519088,6.250322634066099,0.54235335,0.847825,5.084606098823521,3.102015038339773,0.470275316107403
real,swing,event_leg,2,ankle_pitch,4,4,26.74027920288736,4.712903201064045,7.623423230363048,3.0541351351245347,23.589952004995062,2.343864002981,0.4446023,0.276138475,4.203094431913993,1.3010543067010274,0.12273758498461144
real,swing,event_leg,2,ankle_roll,4,4,31.529043292671613,14.945508112177201,7.64718019362232,3.0541351351245347,29.94125483964734,11.013743884814003,0.32963675000000003,0.1732766125,2.8608890788154353,1.1793031526680395,0.07559448626420581
real,swing,event_leg,2,hip_pitch,4,4,27.52152994794613,3.931615201254789,3.0541351351245347,3.0541351351245347,27.52152994794613,2.343864002981,1.297040175,0.23738725,11.599005946261043,1.0684769067579354,0.44098822816332195
real,swing,event_leg,2,hip_roll,4,4,41.76116387070906,7.082091425255497,7.694549606529576,3.0541351351245347,35.43529701796547,4.738152909220294,0.76738195,0.0734884075,7.335907511468735,0.3807364340367646,0.24441065278564816
real,swing,event_leg,2,knee_pitch,4,4,26.816028320249647,3.150364456196019,3.0541351351245347,3.0541351351245347,26.816028320249647,2.3691137111372487,0.8763307499999999,0.765422,5.143152301995931,4.197529837453568,0.4480734320883167
