dataset,kp_case,window,joint,window_count,median_target_dominant_freq_hz,median_target_dir_chg_half_hz,median_f_modal_candidate_hz,median_freq_gap_hz,median_freq_ratio,mean_amplitude_gain,median_amplitude_gain,pct_amplitude_gain_gt_1,mean_residual_target_power_ratio,median_residual_target_power_ratio,closed_loop_dominant_full_log_any,freq_close_count,amplitude_gain_gt_1_count,residual_target_ratio_ge_3_count,resonance_candidate_count
real,kp25_kd0.4,swing,ankle_pitch,12,3.030450423502568,10.938031997329581,6.256862223584045,3.2236264596186994,0.5523466321457737,1.0661805497782753,0.6169084669779054,0.36363636363636365,1.1010087112067433,1.1010087112067435,false,2,4,0,0
real,kp25_kd0.4,swing,ankle_roll,12,3.030450423502568,17.18833599580363,5.226056406374797,2.373997188546261,0.5807300726314535,0.635874031988357,0.328212088938903,0.08333333333333333,3.103745221968125,3.1037452219681247,true,0,1,6,0
real,kp25_kd0.4,touchdown,ankle_pitch,12,6.66699093170565,12.500607996948094,6.256862223584045,0.9721463313185099,1.1771887597606803,1.340348320781632,0.8272561310445232,0.45454545454545453,1.1010087112067433,1.1010087112067435,false,6,5,0,0
real,kp25_kd0.4,touchdown,ankle_roll,12,6.66699093170565,17.85801142421156,5.226056406374797,1.458333052256311,1.2801147887943602,1.2307728291775788,0.7169782874819131,0.3333333333333333,3.103745221968125,3.1037452219681247,true,1,4,6,0
real,kp30_kd0.4,swing,ankle_pitch,12,3.1251892562081998,11.895881684921534,5.650599661346124,2.5727617575047157,0.5492839124037814,1.2521817577873062,0.8039126990473251,0.3333333333333333,1.182873358062141,1.182873358062141,false,2,4,0,0
real,kp30_kd0.4,swing,ankle_roll,12,3.1251892562081998,15.323508611085366,5.6100733871716315,2.541093458754226,0.5515413567268367,0.5785043208504613,0.44252378359100897,0.16666666666666666,1.3472706589985037,1.3472706589985037,false,0,2,0,0
real,kp30_kd0.4,touchdown,ankle_pitch,12,10.000605619866239,10.714934592713828,5.650599661346124,4.388976272984347,1.782121555377332,1.457408606129139,0.5258870482435237,0.36363636363636365,1.182873358062141,1.182873358062141,false,2,4,0,0
real,kp30_kd0.4,touchdown,ankle_roll,12,6.66707041324416,21.429869185427656,5.6100733871716315,1.1132063538633217,1.2004381709673004,1.0778424955448551,0.4768251757295723,0.3333333333333333,1.3472706589985037,1.3472706589985037,false,0,4,0,0
real,kp35_kd0.5,swing,ankle_pitch,12,3.030305920227957,11.718761175881554,7.845576914481873,6.877619195651011,0.41472750672741143,0.6716088273895742,0.48112048466407076,0.18181818181818182,1.0351018157675984,1.0351018157675984,false,0,2,0,0
real,kp35_kd0.5,swing,ankle_roll,12,3.030305920227957,15.070578888553051,5.661819297912606,2.62872817003738,0.5397601214985565,0.8596762593163499,0.49236955485331707,0.25,1.11783382546119,1.1178338254611901,false,0,3,0,0
real,kp35_kd0.5,touchdown,ankle_pitch,12,13.333346049003012,7.023816222242658,7.845576914481873,5.698715305670644,1.6037476656750438,0.7375483538554937,0.5376110288505843,0.375,1.0351018157675984,1.0351018157675984,false,3,3,0,0
real,kp35_kd0.5,touchdown,ankle_roll,12,6.666673024501506,17.261921224155685,5.661819297912606,1.052501470265887,1.1874722672968243,0.8702089181460512,0.6692163344915936,0.25,1.11783382546119,1.1178338254611901,false,5,3,0,0
real,kp40_kd0.8,swing,ankle_pitch,12,3.030594940559413,14.290691011292129,5.757118346848351,2.7237379329979836,0.5374225681539372,0.710308663652154,0.6956581857336072,0.16666666666666666,1.3306799600835695,1.3306799600835695,false,2,2,0,0
real,kp40_kd0.8,swing,ankle_roll,12,3.030594940559413,17.18915567848542,5.13365946949291,2.188939996212983,0.5908139554619266,1.6950560766805172,0.4857496626793204,0.4166666666666667,11.588486395124079,11.588486395124079,true,0,5,6,0
real,kp40_kd0.8,touchdown,ankle_pitch,12,6.667308869230708,10.358140564697706,5.757118346848351,0.7092723517960886,1.122011242592956,3.881001204653071,0.8356936601698808,0.4166666666666667,1.3306799600835695,1.3306799600835695,false,7,5,0,0
real,kp40_kd0.8,touchdown,ankle_roll,12,6.667308869230708,18.93039482513719,5.13365946949291,1.533649399737798,1.2996191888386726,1.321722273520175,1.0046256047232496,0.5,11.588486395124079,11.588486395124079,true,2,6,6,0
sim,kp25_kd0.4,swing,ankle_pitch,12,2.985742597871664,9.232963350694558,5.718529465564144,2.7327868676924796,0.522112497123945,0.567816326464948,0.3310435354598593,0.16666666666666666,1.3179099308260411,1.3179099308260411,false,1,2,0,0
sim,kp25_kd0.4,swing,ankle_roll,12,3.030305920227957,11.718761175881554,6.425908933875659,3.392817806000434,0.4762278655271207,0.14610574883118005,0.11480064185099309,0.0,1.1242768691407548,1.1242768691407548,false,1,0,0,0
sim,kp25_kd0.4,touchdown,ankle_pitch,12,6.666673024501506,5.1190525009565135,5.718529465564144,0.9445396426534458,1.1650677430291552,0.4669290483411565,0.48441920110003245,0.0,1.3179099308260411,1.3179099308260411,false,10,0,0,0
sim,kp25_kd0.4,touchdown,ankle_roll,12,6.458339492485834,13.333346049003012,6.425908933875659,0.7089211422125516,1.013809183531312,0.7026605979197812,0.6286339163422601,0.16666666666666666,1.1242768691407548,1.1242768691407548,false,12,2,0,0
sim,kp35_kd0.5,swing,ankle_pitch,12,3.077874597187902,7.258590613318566,5.714439894944856,2.636565297756954,0.5386078830536123,0.5033643482730682,0.37912775057452097,0.08333333333333333,1.3809973989926647,1.380997398992665,false,2,1,0,0
sim,kp35_kd0.5,swing,ankle_roll,12,3.077874597187902,12.70253357330749,5.689668098357906,2.6117935011700038,0.5409457022923492,0.2605243937468117,0.23425681438582266,0.0,0.9569831130791808,0.9569831130791808,false,0,0,0,0
sim,kp35_kd0.5,touchdown,ankle_pitch,12,7.143374889297636,1.9232163163493636,5.714439894944856,1.4248572337840528,1.2491654865155934,0.5586592597419924,0.5694781251038101,0.09090909090909091,1.3809973989926647,1.380997398992665,false,3,1,0,0
sim,kp35_kd0.5,touchdown,ankle_roll,12,7.143374889297636,11.539297898096182,5.689668098357906,1.4438039844956227,1.2533180143928355,1.308372734467748,0.7126238824800492,0.3333333333333333,0.9569831130791808,0.9569831130791808,false,4,4,0,0
sim,kp40_kd0.5,swing,ankle_pitch,12,3.030378170142607,7.670644743173472,5.699227439985194,2.668849269842587,0.5317173621597149,0.4558847829216681,0.31506715521028644,0.08333333333333333,1.0626801609610963,1.0626801609610963,false,1,1,0,0
sim,kp40_kd0.5,swing,ankle_roll,12,3.030378170142607,13.068505858739991,6.4175023485895775,3.431688563302009,0.4702936975979719,0.29751296506164043,0.24673552338481947,0.0,1.0625618454149934,1.0625618454149934,false,0,0,0,0
sim,kp40_kd0.5,touchdown,ankle_pitch,12,6.666831974313735,5.238225122675077,5.699227439985194,0.9672675501222505,1.169709030047408,0.5099822632895105,0.5031084346870462,0.0,1.0626801609610963,1.0626801609610963,false,12,0,0,0
sim,kp40_kd0.5,touchdown,ankle_roll,12,6.666831974313735,13.809866232507023,6.4175023485895775,0.7129337682182961,1.0153113066803845,1.7306628938494202,0.7636851197809251,0.4166666666666667,1.0625618454149934,1.0625618454149934,false,12,5,0,0
sim,kp50_kd0.8,swing,ankle_pitch,12,3.030667204256789,9.234064137969902,5.702453040511881,2.663357810446962,0.5322539322238065,0.48376619516190106,0.3678740405977933,0.08333333333333333,1.063785749598973,1.063785749598973,false,2,1,0,0
sim,kp50_kd0.8,swing,ankle_roll,12,3.030667204256789,11.291679422311585,6.409304605979516,3.375851862012933,0.47760883197801335,0.38790204576332704,0.3755242865817871,0.0,1.253434292543295,1.253434292543295,false,0,0,0,0
sim,kp50_kd0.8,touchdown,ankle_pitch,12,6.667467849364936,5.000600887023702,5.702453040511881,0.9650148088530548,1.1692305690753364,0.5545757622442066,0.606874152037166,0.09090909090909091,1.063785749598973,1.063785749598973,false,8,1,0,0
sim,kp50_kd0.8,touchdown,ankle_roll,12,6.667467849364936,11.127710765080217,6.409304605979516,0.8718905300232063,1.0501790355116132,1.368534387925486,0.586136610868244,0.25,1.253434292543295,1.253434292543295,false,9,3,0,0
