dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,window,role,touchdown_side,side,joint,sample_count,duration_sec,target_dominant_freq_hz,target_direction_change_rate_hz,target_dir_chg_half_hz,joint_dominant_freq_hz,target_range_rad,joint_range_rad,amplitude_gain,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad,frequency_source,f_modal_candidate_hz,f_residual_peak_hz,full_log_target_peak_hz,freq_gap_hz,freq_ratio,residual_target_power_ratio,residual_target_power_ratio_db,closed_loop_dominant_full_log,alignment_lag_ms_full_log,alignment_corr_full_log,freq_close,amplitude_gain_gt_1,residual_target_ratio_ge_3,resonance_candidate
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,swing,event_leg,left,left,ankle_pitch,33,0.32001543045043945,3.030450423502568,34.37667199160726,17.18833599580363,3.030450423502568,0.641534,0.3154128,0.4916540666589767,6.101800838167902,1.217273267494814,0.1952995359034915,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,3.996772889894185,0.4312443604467918,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,swing,event_leg,left,left,ankle_roll,33,0.32001543045043945,3.030450423502568,28.12636799313321,14.063183996566606,3.030450423502568,0.6296726,0.0665162,0.10563616711287738,3.759061580944661,0.4668281428025084,0.3759978871333276,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,2.4213479764134886,0.5558625248412027,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,swing,opposite_leg,left,right,ankle_pitch,33,0.32001543045043945,3.030450423502568,18.75091199542214,9.37545599771107,3.030450423502568,0.76,0.062247,0.08190394736842105,6.0019669200066765,0.27185384726162953,0.24515204669151325,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,2.4560507102687703,0.5523466321457737,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,swing,opposite_leg,left,right,ankle_roll,33,0.32001543045043945,3.030450423502568,34.37667199160726,17.18833599580363,3.030450423502568,0.4035521,0.0382167,0.09470078336849194,1.9043679359862664,0.26104675913306796,0.17352525273258348,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,1.9698639893309693,0.6060519745967928,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,touchdown,landing_leg,left,left,ankle_pitch,15,0.13980650901794434,6.66699093170565,21.429613709053875,10.714806854526937,6.66699093170565,0.5299499999999999,0.2304559,0.43486347768657424,5.046104715077982,1.646193637990783,0.15878446222544992,walking_residual_candidate,7.027223313396753,7.027223313396753,7.040718094544542,0.3602323816911035,0.948737592982942,1.1061650891192178,0.43819947893649597,false,0.0,0.020750123743481067,true,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,touchdown,landing_leg,left,left,ankle_roll,15,0.13980650901794434,6.66699093170565,14.28640913936925,7.143204569684625,6.66699093170565,0.272561,0.1711163,0.6278091876680817,1.9644884047318176,1.2223187361075252,0.42375999989851104,walking_residual_candidate,5.451798399916057,5.451798399916057,6.9550229279789235,1.2151925317895929,1.2228975546506458,1.643479594884549,2.157643163372927,false,0.0,0.09916337368228591,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,touchdown,stance_leg,left,right,ankle_pitch,15,0.13980650901794434,6.66699093170565,21.429613709053875,10.714806854526937,6.66699093170565,0.23532499999999998,0.05884099999999998,0.25004143206204177,2.91004868003011,0.7363215270430907,0.11713910505690801,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,1.1804897979343112,1.2151625907207022,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,false,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,touchdown,stance_leg,left,right,ankle_roll,15,0.13980650901794434,6.66699093170565,28.5728182787385,14.28640913936925,6.66699093170565,0.1099183,0.1419996,1.2918649578823544,0.9451852570583846,1.0143321916133887,0.036516736885054954,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,1.6666765188721122,1.3333143441129442,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,true,true,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,swing,event_leg,right,right,ankle_pitch,33,0.3198714256286621,6.060900847005136,21.876063994659162,10.938031997329581,3.030450423502568,0.533567,0.329162,0.6169084669779054,6.1239537906296935,1.3537302169046999,0.13169516492397174,walking_residual_candidate,5.4865011337713385,5.4865011337713385,5.49563901422436,0.5743997132337979,1.1046932642915475,1.095852333294269,0.39752036670158303,false,0.0,0.030903923306196686,true,false,false,false
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,swing,event_leg,right,right,ankle_roll,33,0.3198714256286621,3.030450423502568,37.50182399084428,18.75091199542214,3.030450423502568,0.573896,0.20601419999999998,0.3589747968272997,5.375447385231635,1.3002876175961469,0.09491068177000564,walking_residual_candidate,5.0003144128335375,5.0003144128335375,7.068353016578409,1.9698639893309693,0.6060519745967928,4.564010849051701,6.593466681032513,true,0.0,0.0498289160983618,false,false,true,false
