dataset,joint,curve_count,mean_vibration_peak_hz,median_vibration_peak_hz,std_vibration_peak_hz,mean_alignment_lag_ms,median_alignment_lag_ms,mean_alignment_corr,alignment_applied_count,mean_residual_target_power_ratio,median_residual_target_power_ratio,mean_residual_target_power_ratio_db,closed_loop_dominant_count,mean_vibration_band_power
real,ankle_pitch,8,6.377539286565098,5.6890508144440055,1.4466554580122688,0.0,0.0,0.03767298679399704,0,1.1624159612800131,1.1392663758285237,0.6268633658176174,0,59.77739130140955
real,ankle_roll,8,5.4079021402379865,5.502831229648447,0.2682177892228707,7.499748346756916,0.0,0.10789391477251127,1,4.289334025387975,1.5927813377536708,3.5762497769460473,2,51.92188137287382
sim,ankle_pitch,8,5.708662460251519,5.71062160034807,0.009474631491768446,31.24398228247591,49.987213164001076,0.23494334004587078,5,1.2063433100946939,1.1128201421191346,0.6946348750034391,0,53.19054071131678
sim,ankle_roll,8,6.235595996700665,5.710778186017195,0.6923352543664761,27.49421016819121,29.992327898400646,0.31425493334654503,6,1.099314030044556,1.0717810783212687,0.27765316264168977,0,15.690213020445725
