dataset,window,role,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,swing,event_leg,ankle_pitch,4,24,29.849224512992773,7.323849666629262,4.688668449239944,3.0437872327814324,27.500658848802672,5.370102085402515,0.4067688166666666,0.3461027374999999,3.422149862210359,1.6944131630312997,0.17492872367082216
real,swing,event_leg,ankle_roll,4,24,33.55263516247542,11.113180451204142,4.313811102422767,3.7069672312608994,32.23762479025002,9.676330114308112,0.3735486562500001,0.2949565520833333,2.612016570906171,2.22155994530879,0.16926827767798627
real,swing,event_leg,hip_pitch,4,24,37.16055172737097,3.521541253377009,3.2883310893247746,3.0432255114250375,37.030343269861184,2.2186319738822817,1.2697518125000002,0.28396654166666674,11.855040179011795,1.1614337890328723,0.4073402899061709
real,swing,event_leg,hip_roll,4,24,32.88668689317431,6.783106391014599,4.073112909980494,3.0432255114250375,28.9624156304491,3.139259912812426,1.0284131166666668,0.07546181565416665,8.263398619516225,0.3110402288149473,0.3473037054092363
real,swing,event_leg,knee_pitch,4,24,28.79147417676964,4.062867346296562,3.556195485308528,3.0432255114250375,28.52684897705734,3.529424685918881,0.9216708125,0.767097708333333,5.825070486042591,3.7819010752514983,0.4815787976858848
real,swing,opposite_leg,ankle_pitch,4,24,14.726827058367055,8.231589999950915,5.7698120323170246,3.423320343192335,12.635014879134431,4.588464339858244,0.4491246458333333,0.2459345333333333,3.3297714019675015,1.083639002353005,0.3327747259427369
real,swing,opposite_leg,ankle_roll,4,24,31.17677178517702,16.45875326028288,3.173440178059914,3.3072920954099505,30.659857511702082,13.857606355732434,0.5877580041666668,0.20452884624999998,4.24923555574823,1.1711081982890363,0.256047004643699
real,swing,opposite_leg,hip_pitch,4,24,41.63040269750841,4.176816183169462,4.053414792521109,3.169494279070978,41.500194239998606,1.827996023173679,1.4747515091666668,0.261452125,14.010256789021811,1.0499216073448148,0.4516100661683354
real,swing,opposite_leg,hip_roll,4,24,30.4516290143971,9.147517008591757,3.5562059754485396,3.2957660573812557,27.32914318939748,4.820248102221023,1.4759413625000002,0.10702064583333333,12.088577935128958,0.4816750742650721,0.6323393523475501
real,swing,opposite_leg,knee_pitch,4,24,32.32903614602149,4.038691592283243,3.299710498079653,3.0432255114250375,32.06441274905392,2.3574978425137307,0.7627954958333333,0.4421607916666666,5.005031904324383,1.7097820806715527,0.24958453831616548
real,touchdown,landing_leg,ankle_pitch,4,24,14.74288416360919,6.772363952022668,18.95170867820927,6.897034671107463,13.59203004270436,5.284203429058333,0.20645770416666662,0.26379747958333327,2.940645091756426,2.0053815848112087,0.3297800330018534
