dataset,case_label,step_index,window,side,axis,hist_type,bin_label,count,bar,mean_joint_amplitude_rad,mean_amplitude_gain,mean_tracking_err_rms_rad
real,25/0.4 all_ankles,1,swing,right,roll,amplitude,"[0.080,1.000)",1,############,0.0059816,0.029756243159884593,0.2477383337432836
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[8.00,12.00)",1,########################,0.128981,0.2519942716585815,0.185547469457006
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[12.00,20.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,frequency,"[20.00,1000.00)",1,########################,0.036176000000000014,0.6595225680834543,0.13122321435900738
real,25/0.4 all_ankles,1,touchdown,left,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,pitch,amplitude,"[0.040,0.080)",1,########################,0.036176000000000014,0.6595225680834543,0.13122321435900738
real,25/0.4 all_ankles,1,touchdown,left,pitch,amplitude,"[0.080,1.000)",1,########################,0.128981,0.2519942716585815,0.185547469457006
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[5.00,8.00)",1,########################,0.111066,0.6051719628612529,0.47541621027946956
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[12.00,20.00)",1,########################,0.0450946,0.6027239434360715,0.22768495764343438
real,25/0.4 all_ankles,1,touchdown,left,roll,frequency,"[20.00,1000.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,left,roll,amplitude,"[0.040,0.080)",1,########################,0.0450946,0.6027239434360715,0.22768495764343438
real,25/0.4 all_ankles,1,touchdown,left,roll,amplitude,"[0.080,1.000)",1,########################,0.111066,0.6051719628612529,0.47541621027946956
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[5.00,8.00)",1,########################,0.019098999999999977,0.09476718799618918,0.10888611729979629
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[12.00,20.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,frequency,"[20.00,1000.00)",1,########################,0.027119000000000004,1.8944463849109336,0.14421709800621194
real,25/0.4 all_ankles,1,touchdown,right,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,amplitude,"[0.010,0.020)",1,########################,0.027119000000000004,1.8944463849109336,0.14421709800621194
real,25/0.4 all_ankles,1,touchdown,right,pitch,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,pitch,amplitude,"[0.080,1.000)",1,########################,0.019098999999999977,0.09476718799618918,0.10888611729979629
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[5.00,8.00)",1,########################,0.0846547,2.345323880526719,0.03083462386908384
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[12.00,20.00)",1,########################,0.039758699999999994,1.1515048830500816,0.01240639420766566
real,25/0.4 all_ankles,1,touchdown,right,roll,frequency,"[20.00,1000.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,amplitude,"[0.020,0.040)",2,########################,0.0622067,1.7484143817884004,0.02162050903837475
real,25/0.4 all_ankles,1,touchdown,right,roll,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,touchdown,right,roll,amplitude,"[0.080,1.000)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[5.00,8.00)",1,############,0.028100999999999987,0.37449474993036763,0.23600478905489186
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[8.00,12.00)",2,########################,0.08694094999999999,0.38351357617651666,0.22327714649563427
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[12.00,20.00)",1,############,0.0140393,0.14033967092504845,0.17109881954447406
real,25/0.4 all_ankles,2,swing,left,pitch,frequency,"[20.00,1000.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,left,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
