dataset,case_label,diag_csv,step_index,touchdown_side,touchdown_time_sec,first_contact_time_sec,fc_to_stable_ms,touchdown_source,base_euler_x_rad,base_euler_y_rad,base_euler_z_rad,touchdown_leg_hip_pitch_rad,touchdown_leg_hip_roll_rad,touchdown_leg_hip_yaw_rad,touchdown_leg_knee_pitch_rad,touchdown_leg_ankle_pitch_rad,touchdown_leg_ankle_roll_rad,support_leg_hip_pitch_rad,support_leg_hip_roll_rad,support_leg_hip_yaw_rad,support_leg_knee_pitch_rad,support_leg_ankle_pitch_rad,support_leg_ankle_roll_rad,touchdown_leg_sole_roll_rad,touchdown_leg_sole_pitch_rad,support_leg_sole_roll_rad,support_leg_sole_pitch_rad,fc_touchdown_leg_sole_roll_rad,fc_touchdown_leg_sole_pitch_rad,fc_touchdown_leg_ankle_roll_rad
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,5,left,1777514596.3676941,1777514596.3676941,0.0,kinematic_fk_hip,-0.0479304,-0.0550933,1.50919,0.351383,-0.0714269,-0.254357,0.354451,-0.0501859,0.197767,-0.656266,-0.0346107,0.370174,1.26872,-0.52805,0.0280273,-0.03466435493295883,-0.21381037706664396,-0.14947348101407743,-0.024081407066543232,-0.03466435493295883,-0.21381037706664396,0.197767
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,6,right,1777514596.5476913,1777514596.537712,10.0,kinematic_fk_hip,-0.0346808,-0.000252145,1.568,-0.561733,-0.0601139,0.237675,0.367874,0.0427499,-0.0544491,0.672565,-0.036912,-0.337385,0.515521,0.00737171,-0.0066059,0.06741472872299448,-0.02832538839957643,0.01449384270278986,0.00047596494641551773,0.10935900304409851,-0.03744071365287084,-0.0691213
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,1,left,1777514825.9877677,1777514825.9877677,0.0,kinematic_fk_hip,-0.0153757,0.0102661,-1.27608,0.362504,-0.0666332,-0.313992,0.342946,-0.139107,0.166166,-0.575347,-0.10901,0.387815,1.1993,-0.429021,0.0888928,-0.10876940537392366,-0.19424579826707866,-0.25618559657351336,0.08095398714987773,-0.10876940537392366,-0.19424579826707866,0.166166
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,2,right,1777514826.1375866,1777514826.1375866,0.0,kinematic_fk_hip,-0.00676652,-0.0672906,-1.24896,-0.547736,-0.0890679,0.338536,0.523383,-0.173316,-0.101245,0.612547,-0.101148,-0.361162,0.632489,-0.122523,-0.0109375,0.21623222211591497,-0.08958415822055199,-0.04032107764295212,-0.054575807819249145,0.21623222211591497,-0.08958415822055199,-0.101245
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,1777514826.4476342,1777514826.4476342,0.0,kinematic_fk_hip,0.051702,-0.0527313,-1.28268,0.532587,-0.0213804,-0.209104,0.669113,-0.24961,-0.109887,-0.559816,-0.0461164,0.51974,0.231155,0.183589,-0.0240952,-0.10155054347416748,0.10661209446669062,0.1265932632177713,-0.06997730362236343,-0.10155054347416748,0.10661209446669062,-0.109887
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,1777514826.837477,1777514826.837477,0.0,kinematic_fk_hip,0.00299337,0.067004,-1.01829,-0.481965,-0.0501428,0.244386,0.677934,0.0,0.0,0.842648,0.0973134,-0.30402,0.491936,0.0271639,-0.013873,-0.30577009157164836,0.009997926284022362,-0.12456662207018132,0.13618029071565707,-0.30577009157164836,0.009997926284022362,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,5,left,1777514827.2476904,1777514827.2277038,20.0,kinematic_fk_hip,0.227959,0.179104,-0.593854,0.462215,0.173246,-0.2371,0.629421,-0.272962,0.0830918,0.176698,-0.0712352,0.478513,0.612164,0.0,0.0,0.07086900672878804,-0.11568768338518123,-0.625462417786184,0.4069561030176772,0.04225517360694697,-0.0764014304392513,0.0607269
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,6,right,1777514827.4775395,1777514827.4775395,0.0,kinematic_fk_hip,0.12732,0.11192,-0.598695,-0.893845,-0.0378704,0.500757,1.04955,0.0,0.0,0.3138,0.0464993,-0.329715,1.03267,-0.294605,0.0239871,-0.46375688180581776,0.02483741335823693,0.5451959842242275,-0.07293663599094524,-0.46375688180581776,0.02483741335823693,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,1,left,1777515244.5889251,1777515244.5889251,0.0,kinematic_fk_hip,-0.0225517,0.0440161,-0.103195,0.299227,-0.0384459,-0.329907,0.319169,-0.15001,0.133619,-0.595865,-0.0750699,0.353876,1.08598,-0.325429,0.0332777,0.004257870600449243,-0.1541453855671293,-0.338160162508117,0.019718243802962443,0.004257870600449243,-0.1541453855671293,0.133619
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,2,right,1777515244.758935,1777515244.758935,0.0,kinematic_fk_hip,-0.0108655,0.0099991,-0.11212,-0.51207,-0.0687423,0.313416,0.363463,-0.0875725,-0.0145142,0.422905,-0.0225306,-0.334892,0.613698,-0.217782,-0.0326209,0.11819869622259027,-0.004326829510226189,0.1068442845713442,0.00377011033193618,0.11819869622259027,-0.004326829510226189,-0.0145142
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,3,left,1777515245.0688696,1777515245.0688696,0.0,kinematic_fk_hip,0.0412277,-0.0222439,-0.190066,0.594139,0.0183125,-0.224444,0.391075,-0.188659,0.0347991,-0.468159,0.0351863,0.316484,0.494812,-0.155596,0.00367764,-0.2613877456293756,-0.02357722494351721,0.022875666232534453,-0.028063584315271506,-0.2613877456293756,-0.02357722494351721,0.0347991
