dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,touchdown_time_sec,lag_samples,lag_ms,corr,raw_sample_count,aligned_sample_count,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_hp_rms_rad,joint_vel_rms_radps,joint_direction_change_rate_hz,joint_extrema_rate_hz,joint_dominant_freq_hz,aligned_tracking_err_rms_rad,aligned_tracking_err_hp_rms_rad,aligned_tracking_err_path_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,1777514424.878831,5,49.997568130493164,0.63124208682104,33,28,0.6296726,0.06318111,1.1389901999999998,0.13788741000000004,0.0034327809996890376,0.6214375104908355,11.11165155284275,11.11165155284275,7.143204569684625,0.3278422431567948,0.030864361101652412,1.0886758099999998
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,1777514424.878831,1,9.999513626098633,0.37100133007605074,33,32,0.641534,0.3154128,1.8624379999999998,0.38745149999999995,0.008561454442966058,2.250964595067339,6.451926708102242,6.451926708102242,3.1251519992370236,0.18946439496899398,0.0758453096940124,1.8597189000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,roll,1777514424.878831,20,199.99027252197266,0.6683149379550061,33,13,0.22325,0.019817599999999998,0.239473,0.039303199999999996,0.0028623283815818134,0.4086000528255331,16.667477329264123,8.333738664632062,7.69268184427575,0.2914091396352439,0.018590204713791265,0.2472608000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,pitch,1777514424.878831,12,119.9941635131836,0.7562918049974321,33,21,0.76,0.057759000000000005,1.688488,0.07021700000000003,0.0021715577696691797,0.4378107450783652,15.000729596337713,5.000243198779238,4.76213637978975,0.2993052436044458,0.0645983264620592,1.6886789999999998
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,roll,1777514424.878831,0,0.0,0.011432187782624845,15,15,0.272561,0.1711163,0.27501500000000006,0.1711163,0.005091058419078019,1.3829404211244012,0.0,0.0,6.66699093170565,0.42375999989851104,0.016448718390448716,0.44367730000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,pitch,1777514424.878831,4,39.99805450439453,-0.18218788742653622,15,11,0.5299499999999999,0.212304,0.6526807999999998,0.21230400000000002,0.008376968693234833,2.2000078808995345,0.0,0.0,9.091351270507705,0.16322496982258455,0.05892095501466424,0.6359148000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,roll,1777514424.878831,2,19.999027252197266,0.06530354589484849,15,13,0.08544729999999999,0.1355592,0.09660039999999998,0.13555920000000002,0.004612881063295682,1.1785484834668298,0.0,0.0,7.69268184427575,0.02538289145098601,0.0052668318648968915,0.09655914000000002
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,pitch,1777514424.878831,4,39.99805450439453,-0.3471114450999301,15,11,0.23532499999999998,0.04423899999999997,0.27793,0.07209099999999996,0.005713974335289196,0.8353948443191082,10.000486397558475,10.000486397558475,9.091351270507705,0.11956177802025042,0.02111303179747132,0.3058329999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,roll,1777514425.088886,13,129.99367713928223,0.303137596433407,33,20,0.22663100000000003,0.157726,0.5563330000000002,0.23300430000000005,0.005566543453999746,1.3803941212543098,5.263413893451829,0.0,5.000243198779238,0.40174946946485635,0.034169286495963,0.5267537000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,pitch,1777514425.088886,5,49.997568130493164,0.48544204859306317,33,28,0.5299499999999999,0.29349220000000004,1.6966228,0.35937720000000006,0.005971369747246729,1.5958217809479476,3.7038838509475833,3.7038838509475833,3.5716022848423123,0.2518192279384952,0.06276927029984217,1.6669188
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,1777514425.088886,1,9.999513626098633,0.2368513649093632,33,32,0.573896,0.20601419999999998,1.5192705000000002,0.4136890999999999,0.010815099564327094,2.087863195614377,9.677890062153363,6.451926708102242,3.1251519992370236,0.09469254453834298,0.06681496646368631,1.5255571799999998
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,1777514425.088886,1,9.999513626098633,0.2997866648910775,33,32,0.533567,0.329162,1.9115089999999997,0.4331716000000001,0.009309271455437215,2.319107793410195,6.451926708102242,3.225963354051121,3.1251519992370236,0.13443487954974356,0.08347556764519096,2.013511
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,roll,1777514425.088886,4,39.99805450439453,-0.06708727104260874,15,11,0.03155242,0.1394447,0.08959667,0.14732760000000003,0.008156050560759156,1.684349728838041,10.000486397558475,10.000486397558475,9.091351270507705,0.07414407915336552,0.009708739983467248,0.17408943
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,pitch,1777514425.088886,4,39.99805450439453,-0.016466027820256447,15,11,0.09504000000000001,0.07092599999999999,0.2851459999999999,0.07927299999999998,0.005698984225708447,0.9571037880856815,10.000486397558475,0.0,9.091351270507705,0.1388647951485054,0.029220538402896973,0.2922689999999999
