kp_case,dataset,window,joint,psd_peak_hz,psd_peak_power,psd_band_power,target_dir_chg_hz,joint_dir_chg_hz,amplitude_gain,tracking_rms_rad,curve_count,psd_power_level,joint_dir_level,gain_level,tracking_rms_level,risk_score,interpretation
kp25_kd0.4,sim,swing,ankle_roll,6.425908933875659,2.3085932007239047,17.048624136546188,24.463661730496213,11.824404401427136,0.14610574883118005,0.21219958753061777,12,低,低,低,高,3,低振荡风险：频域能量和折返活跃度均低；但 gain 低，可能偏软或未跟上 target；tracking RMS 高，整体跟踪误差偏大
kp25_kd0.4,sim,touchdown,ankle_roll,6.425908933875659,2.3085932007239047,17.048624136546188,26.54764436542564,9.880961804171875,0.7026605979197812,0.18858240895094336,12,低,高,适中,低,3,碎动/chatter：频域峰不强但折返多，可能是接触碎动、噪声或传动间隙
kp40_kd0.5,sim,touchdown,ankle_pitch,6.430162521448622,17.19482590897834,66.81529132534209,12.301892333555108,1.7460750408916923,0.5099822632895105,0.15242925233620855,12,高,低,适中,低,3,低频/集中振荡：能量高但轨迹折返不碎，优先看幅值与残余包络
kp50_kd0.8,sim,touchdown,ankle_pitch,6.427698384006675,18.197661023699386,71.31697070855657,10.688097500286922,1.7462415795955784,0.5545757622442066,0.1753836166711078,12,高,低,适中,低,3,低频/集中振荡：能量高但轨迹折返不碎，优先看幅值与残余包络
kp30_kd0.4,real,swing,ankle_pitch,5.650599661346124,3.7520536399721864,20.62754841917598,21.65356977560287,6.848889423246106,1.2521817577873062,0.2390527458693991,12,低,低,高,低,2,低振荡风险：频域能量和折返活跃度均低；gain 高，存在过放大/过冲风险
kp35_kd0.5,sim,swing,ankle_roll,7.135199548593038,3.2969070871409003,17.00985426064475,24.496470418958765,13.942084558725844,0.2605243937468117,0.14881767192244447,12,低,低,低,低,2,低振荡风险：频域能量和折返活跃度均低；但 gain 低，可能偏软或未跟上 target
kp35_kd0.5,sim,touchdown,ankle_roll,7.135199548593038,3.2969070871409003,17.00985426064475,21.659078991267833,6.777047971897757,1.308372734467748,0.13367459081898375,12,低,低,高,低,2,低振荡风险：频域能量和折返活跃度均低；gain 高，存在过放大/过冲风险
kp40_kd0.5,sim,swing,ankle_roll,5.710844685960838,3.877109637356712,17.077343783366178,25.89237181311951,14.757310359809047,0.29751296506164043,0.14494621988219167,12,低,低,低,低,2,低振荡风险：频域能量和折返活跃度均低；但 gain 低，可能偏软或未跟上 target
kp40_kd0.5,sim,touchdown,ankle_roll,5.710844685960838,3.877109637356712,17.077343783366178,30.357895597321473,5.238225122675078,1.7306628938494202,0.1234739846751046,12,低,低,高,低,2,低振荡风险：频域能量和折返活跃度均低；gain 高，存在过放大/过冲风险
kp50_kd0.8,sim,touchdown,ankle_roll,5.713072043737284,4.883495974172656,18.403621458673033,20.4450696827825,7.894721546912877,1.368534387925486,0.089295731923094,12,低,低,高,低,2,低振荡风险：频域能量和折返活跃度均低；gain 高，存在过放大/过冲风险
kp25_kd0.4,sim,swing,ankle_pitch,5.718529465564144,11.660265453589595,54.851408869481034,17.337707964960156,8.249081262179685,0.567816326464948,0.24710753956899575,12,低,低,适中,低,1,低振荡风险：频域能量和折返活跃度均低
kp35_kd0.5,sim,touchdown,ankle_pitch,6.431331200832572,15.04577625451693,59.67297218311897,11.539297898096182,2.5642884217991515,0.5586592597419924,0.17428953439118763,12,低,低,适中,低,1,低振荡风险：频域能量和折返活跃度均低
