dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,window,role,side,joint,sample_count,duration_sec,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,left,ankle_pitch,33,0.32001543045043945,34.37667199160726,6.250303998474047,3.030450423502568,3.030450423502568,31.251519992370234,6.250303998474047,0.641534,0.3154128,1.9524812999999999,0.3895084999999999,6.101800838167902,1.217273267494814,0.1952995359034915
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,left,ankle_roll,33,0.32001543045043945,28.12636799313321,18.75091199542214,3.030450423502568,3.030450423502568,28.12636799313321,18.75091199542214,0.6296726,0.0665162,1.2028412000000002,0.14937774000000004,3.759061580944661,0.4668281428025084,0.3759978871333276
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,left,knee_pitch,33,0.32001543045043945,28.12636799313321,6.250303998474047,3.030450423502568,3.030450423502568,28.12636799313321,6.250303998474047,0.591305,0.940919,1.529356,1.0431199999999998,4.779469960945137,3.2599085534441232,0.5149626906186623
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,left,hip_pitch,33,0.32001543045043945,34.37667199160726,3.1251519992370236,3.030450423502568,3.030450423502568,34.37667199160726,0.0,1.5074830000000001,0.337097,4.684597999999999,0.40344199999999997,14.640080805321759,1.260817572876183,0.5238020135294671
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,left,hip_roll,33,0.32001543045043945,18.75091199542214,0.0,3.030450423502568,3.030450423502568,12.500607996948094,0.0,1.7,0.130199,3.5492339999999998,0.1305824,11.091895730860017,0.40808984842516866,0.8098514682959421
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,right,ankle_pitch,33,0.32001543045043945,18.75091199542214,18.75091199542214,3.030450423502568,3.030450423502568,9.37545599771107,3.1251519992370236,0.76,0.062247,1.920536,0.08698900000000004,6.0019669200066765,0.27185384726162953,0.24515204669151325
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,right,ankle_roll,33,0.32001543045043945,34.37667199160726,18.75091199542214,3.030450423502568,3.030450423502568,31.251519992370234,12.500607996948094,0.4035521,0.0382167,0.6093681,0.08353090000000002,1.9043679359862664,0.26104675913306796,0.17352525273258348
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,right,knee_pitch,33,0.32001543045043945,9.37545599771107,3.1251519992370236,3.030450423502568,3.030450423502568,9.37545599771107,0.0,1.135456,0.730191,2.1897800000000003,0.7370950000000002,6.84339534488925,2.303533912877614,0.3870374521620888
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,right,hip_pitch,33,0.32001543045043945,18.75091199542214,9.37545599771107,3.030450423502568,3.030450423502568,18.75091199542214,3.1251519992370236,1.69372,0.182164,4.9531058,0.19769599999999998,15.479208493302497,0.6178300496411625,0.5484541961847017
real,25/0.4 all_ankles,kp25_kd0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,right,hip_roll,33,0.32001543045043945,31.251519992370234,6.250303998474047,3.030450423502568,3.030450423502568,28.12636799313321,0.0,0.6647080000000001,0.13422542,1.7271892,0.15148271000000002,5.397728781440595,0.4734064940063423,0.2311896685216931
