source,kpkd,kp,kd,file,side,axis,reference,reference_valid_ratio,duration_s,fs_hz,n_td,e_rms_rad,e_rms_swing_rad,e_rms_stance_rad,fn_full_err_hz,fn_full_prominence,fn_swing_hz,fn_swing_prominence,fn_swing_resolution_hz,n_swing_freq_windows,fn_stance_hz,fn_stance_prominence,fn_stance_resolution_hz,n_stance_freq_windows,jeff_hat,transfer_gain,transfer_phase_deg,transfer_coherence,transfer_gain_delay_aligned,transfer_phase_delay_aligned_deg,transfer_coherence_delay_aligned,delay_ms_median,delay_ms_iqr,delay_lag_samples,e_rms_delay_aligned_rad,delay_corr_median,n_delay_valid,n_delay_total,zeta_hat,zeta_r2,tau_hat_ms,Mr_hat_zeta,PM_hat_deg,n_zeta_events,n_zeta_total,A_peak,n_A_peak,fn_theory_hz,zeta_theory,tau_theory_ms,Mr_theory,PM_theory_deg,quality_flags,DeltaLR_eRMS
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,ankle_pitch,lpf,0.0,15.52579,100.0064,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,ankle_roll,raw,0.99936,15.52579,100.0064,44,0.13886,0.13125,0.14607,4.25027,33.94601,4.16693,1.0,4.16693,1.0,4.3481,2.97738,1.07534,43.0,0.05106,0.18131,66.10791,0.92918,0.18056,-77.81106,0.9213,-144.99072,239.98464,-14.0,0.14588,0.78194,44.0,44.0,0.10465,0.59148,347.84174,4.80412,11.94802,1.0,44.0,1.61105,42.0,3.03103,0.13603,386.0,3.71008,15.49045,few_zeta_events,1.41107
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,ankle_roll,lpf,0.0,15.52579,100.0064,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,ankle_pitch,raw,0.99946,18.39806,100.00128,33,0.2745,0.27157,0.286,2.75004,54.27592,3.22585,1.51152,2.32561,24.0,3.26091,8.76574,1.07528,33.0,0.09737,0.17585,129.61253,0.88924,0.1762,8.01752,0.79728,-229.99706,49.99936,-23.0,0.20041,1.31268,33.0,33.0,0.13628,0.62597,354.78556,3.70337,15.5187,1.0,33.0,2.31195,32.0,3.24031,0.12725,386.0,3.96158,14.50157,few_zeta_events,1.10628
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,ankle_pitch,lpf,0.0,18.39806,100.00128,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.12725,386.0,3.96158,14.50157,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,ankle_roll,raw,0.99946,18.39806,100.00128,33,0.17275,0.1868,0.09707,2.75004,70.39424,3.22585,1.32395,2.32561,24.0,3.26091,4.59291,1.07528,33.0,0.09737,0.84033,66.64189,0.99495,0.83898,-34.83443,0.99534,99.99872,89.99885,10.0,0.16204,0.83495,33.0,33.0,0.1139,0.30359,425.73189,4.41871,12.99447,3.0,33.0,0.5154,32.0,3.24031,0.12725,386.0,3.96158,14.50157,low_zeta_r2,1.27437
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,ankle_roll,lpf,0.0,18.39806,100.00128,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.12725,386.0,3.96158,14.50157,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,right,ankle_pitch,raw,0.99946,18.39806,100.00128,53,0.24813,0.23535,0.26354,4.25005,21.41138,4.00005,1.0,4.00005,2.0,3.26091,2.2591,1.07528,52.0,0.06332,0.32127,-126.94921,0.92502,0.32119,-111.80648,0.92688,-9.99987,19.99974,-1.0,0.24598,0.82052,53.0,53.0,0.12291,0.37959,394.36955,4.09905,14.01275,10.0,52.0,3.46716,51.0,3.24031,0.12725,386.0,3.96158,14.50157,ok,1.10628
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,right,ankle_pitch,lpf,0.0,18.39806,100.00128,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.12725,386.0,3.96158,14.50157,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,right,ankle_roll,raw,0.99946,18.39806,100.00128,53,0.13555,0.11603,0.157,4.25005,37.54815,4.00005,1.0,4.00005,2.0,4.34788,2.39267,1.07528,52.0,0.06332,0.35016,56.11014,0.90696,0.35016,56.11014,0.90696,0.0,489.99373,0.0,0.13555,1.61148,53.0,53.0,0.09807,0.35347,371.4646,5.12321,11.20141,5.0,52.0,1.47445,51.0,3.24031,0.12725,386.0,3.96158,14.50157,ok,1.27437
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,right,ankle_roll,lpf,0.0,18.39806,100.00128,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.12725,386.0,3.96158,14.50157,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left,ankle_pitch,raw,0.99946,18.67551,100.01152,52,0.2672,0.2688,0.26277,2.75032,41.73169,2.32585,1.81033,2.32585,3.0,3.26125,6.79217,1.07539,52.0,0.23412,0.15813,-164.16843,0.84183,0.15661,167.41844,0.82685,39.99539,309.96429,4.0,0.26064,0.89245,52.0,52.0,0.12302,0.36457,393.68742,4.09551,14.02493,1.0,52.0,2.29682,51.0,3.62278,0.1821,241.25,2.79242,20.62993,few_zeta_events,1.12632
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left,ankle_pitch,lpf,0.0,18.67551,100.01152,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62278,0.1821,241.25,2.79242,20.62993,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left,ankle_roll,raw,0.99946,18.67551,100.01152,52,0.15271,0.16122,0.12644,2.75032,77.2416,2.32585,1.1288,2.32585,3.0,3.26125,4.37613,1.07539,52.0,0.23412,0.71104,48.13107,0.80519,0.71227,39.62915,0.80857,9.99885,172.48013,1.0,0.14518,0.86879,52.0,52.0,0.11942,0.29421,405.7416,4.21717,13.61838,7.0,52.0,0.94046,51.0,3.62278,0.1821,241.25,2.79242,20.62993,low_zeta_r2,1.3084
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left,ankle_roll,lpf,0.0,18.67551,100.01152,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62278,0.1821,241.25,2.79242,20.62993,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,right,ankle_pitch,raw,0.99946,18.67551,100.01152,53,0.23724,0.21877,0.25611,4.25049,19.89842,4.76245,1.0,4.00046,5.0,4.34833,1.9983,1.07539,53.0,0.05584,0.26724,-109.6405,0.90663,0.26724,-109.6405,0.90663,0.0,159.98157,0.0,0.23724,0.77994,53.0,53.0,0.12611,0.45498,287.91834,3.99672,14.37339,15.0,53.0,3.5317,52.0,3.62278,0.1821,241.25,2.79242,20.62993,weak_stance_peak,1.12632
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,right,ankle_pitch,lpf,0.0,18.67551,100.01152,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62278,0.1821,241.25,2.79242,20.62993,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,right,ankle_roll,raw,0.99946,18.67551,100.01152,53,0.11671,0.07594,0.14937,2.75032,24.28287,4.76245,1.0,4.00046,5.0,3.26125,2.244,1.07539,53.0,0.05584,0.50589,56.52826,0.65911,0.50589,56.52826,0.65911,0.0,479.9447,0.0,0.11671,1.38212,53.0,53.0,0.13506,0.4114,358.01942,3.73624,15.38132,13.0,53.0,1.84077,52.0,3.62278,0.1821,241.25,2.79242,20.62993,ok,1.3084
sim,50/0.8,50.0,0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,right,ankle_roll,lpf,0.0,18.67551,100.01152,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62278,0.1821,241.25,2.79242,20.62993,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
