kp_case,ankle_kp,ankle_kd,window,axis,delay_pct,tau_ms,omega_max_rads,omega_n_rads,zeta,omega_d_rads,freq_n_hz,freq_d_hz,stability_margin_rads,is_stable
kp40_kd0.5,40.0,0.5,swing,pitch,p75,120.0,13.091,19.871,0.124,19.717,3.163,3.138,-6.78,False
kp40_kd0.5,40.0,0.5,swing,pitch,p90,160.0,9.818,19.871,0.124,19.717,3.163,3.138,-10.052,False
kp40_kd0.5,40.0,0.5,swing,roll,p50,50.0,31.418,19.871,0.124,19.717,3.163,3.138,11.548,True
kp40_kd0.5,40.0,0.5,swing,roll,p75,100.0,15.709,19.871,0.124,19.717,3.163,3.138,-4.162,False
kp40_kd0.5,40.0,0.5,swing,roll,p90,150.0,10.473,19.871,0.124,19.717,3.163,3.138,-9.398,False
kp40_kd0.5,40.0,0.5,touchdown,pitch,p50,20.0,78.544,19.871,0.124,19.717,3.163,3.138,58.673,True
kp40_kd0.5,40.0,0.5,touchdown,pitch,p75,30.0,52.36,19.871,0.124,19.717,3.163,3.138,32.489,True
kp40_kd0.5,40.0,0.5,touchdown,pitch,p90,40.0,39.272,19.871,0.124,19.717,3.163,3.138,19.401,True
kp40_kd0.5,40.0,0.5,touchdown,roll,p50,30.0,52.364,19.871,0.124,19.717,3.163,3.138,32.493,True
kp40_kd0.5,40.0,0.5,touchdown,roll,p75,40.0,39.273,19.871,0.124,19.717,3.163,3.138,19.402,True
kp40_kd0.5,40.0,0.5,touchdown,roll,p90,40.0,39.271,19.871,0.124,19.717,3.163,3.138,19.4,True
kp50_kd0.8,50.0,0.8,swing,pitch,p50,70.0,22.443,22.216,0.178,21.862,3.536,3.48,0.226,True
kp50_kd0.8,50.0,0.8,swing,pitch,p75,120.0,13.091,22.216,0.178,21.862,3.536,3.48,-9.125,False
kp50_kd0.8,50.0,0.8,swing,pitch,p90,160.0,9.818,22.216,0.178,21.862,3.536,3.48,-12.398,False
kp50_kd0.8,50.0,0.8,swing,roll,p50,50.0,31.418,22.216,0.178,21.862,3.536,3.48,9.202,True
kp50_kd0.8,50.0,0.8,swing,roll,p75,100.0,15.709,22.216,0.178,21.862,3.536,3.48,-6.507,False
kp50_kd0.8,50.0,0.8,swing,roll,p90,150.0,10.473,22.216,0.178,21.862,3.536,3.48,-11.744,False
kp50_kd0.8,50.0,0.8,touchdown,pitch,p50,20.0,78.544,22.216,0.178,21.862,3.536,3.48,56.327,True
kp50_kd0.8,50.0,0.8,touchdown,pitch,p75,30.0,52.36,22.216,0.178,21.862,3.536,3.48,30.144,True
kp50_kd0.8,50.0,0.8,touchdown,pitch,p90,40.0,39.272,22.216,0.178,21.862,3.536,3.48,17.056,True
kp50_kd0.8,50.0,0.8,touchdown,roll,p50,30.0,52.364,22.216,0.178,21.862,3.536,3.48,30.148,True
kp50_kd0.8,50.0,0.8,touchdown,roll,p75,40.0,39.273,22.216,0.178,21.862,3.536,3.48,17.057,True
kp50_kd0.8,50.0,0.8,touchdown,roll,p90,40.0,39.271,22.216,0.178,21.862,3.536,3.48,17.055,True
