dataset,case_label,ankle_kp,ankle_kd,diag_csv,step_index,stance_side,window,side,role,axis,stance_start_sec,stance_end_sec,duration_sec,sample_count,lag_ms,corr,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_dominant_freq_hz,joint_direction_change_rate_hz,joint_extrema_rate_hz,tracking_err_rms_rad
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,stance,left,swing_leg,pitch,1777514426.4787,1777514426.7989,0.3202,33,20.0,0.1375,0.295622,0.479698,1.169044,0.809004,3.0301,6.2496,3.1248,0.2061
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,stance,left,swing_leg,roll,1777514426.4787,1777514426.7989,0.3202,33,190.01,0.6271,0.489018,0.204837,1.05513,0.502022,3.0301,12.4991,12.4991,0.052418
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,left,stance_leg,pitch,1777514594.9777,1777514595.1677,0.1901,20,170.0,1.0,0.649553,0.232244,1.745593,0.26395,5.0001,5.2633,5.2633,0.148207
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,left,stance_leg,roll,1777514594.9777,1777514595.1677,0.1901,20,170.0,1.0,0.541634,0.200141,0.64726,0.310967,5.0001,5.2633,5.2633,0.372548
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,right,swing_leg,pitch,1777514594.9777,1777514595.1677,0.1901,20,170.0,1.0,0.430199,0.481918,1.094527,0.491344,5.0001,5.2633,5.2633,0.268829
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,right,swing_leg,roll,1777514594.9777,1777514595.1677,0.1901,20,80.0,0.8902,0.547487,0.16894,1.483342,0.248843,5.0001,10.5266,5.2633,0.076238
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,right,stance_leg,pitch,1777514595.1677,1777514595.4576,0.2898,30,0.0,0.0,0.0,0.067511,0.0,0.127202,3.3334,6.8967,6.8967,0.454246
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,right,stance_leg,roll,1777514595.1677,1777514595.4576,0.2898,30,190.0,0.5121,0.803881,0.057179,2.188329,0.102751,3.3334,37.932,37.932,0.287961
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,left,swing_leg,pitch,1777514595.1677,1777514595.4576,0.2898,30,200.0,0.3016,0.203897,0.251881,0.81499,0.473604,3.3334,6.8967,6.8967,0.070041
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,left,swing_leg,roll,1777514595.1677,1777514595.4576,0.2898,30,200.0,0.4218,0.061967,0.348932,0.286621,0.835536,3.3334,6.8967,6.8967,0.143094
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,left,stance_leg,pitch,1777514595.4576,1777514595.8777,0.4201,43,170.0,0.3039,0.275981,0.42333,0.71907,0.658407,2.3256,7.143,4.762,0.440333
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,left,stance_leg,roll,1777514595.4576,1777514595.8777,0.4201,43,90.0,0.4825,0.82222,0.457938,2.276881,1.109556,2.3256,14.2861,14.2861,0.28336
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,right,swing_leg,pitch,1777514595.4576,1777514595.8777,0.4201,43,0.0,0.1404,0.470653,0.407722,1.54103,0.684364,2.3256,7.143,7.143,0.222722
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,right,swing_leg,roll,1777514595.4576,1777514595.8777,0.4201,43,80.0,0.2221,0.983525,0.244595,2.612115,0.70665,2.3256,9.524,7.143,0.117756
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,4,right,stance,right,stance_leg,pitch,1777514595.8777,1777514596.3677,0.49,50,90.0,0.1373,0.532969,0.491356,2.673314,0.678468,2.0,6.1226,2.0409,0.134383
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,4,right,stance,right,stance_leg,roll,1777514595.8777,1777514596.3677,0.49,50,10.0,0.5899,0.605157,0.101269,2.137387,0.290213,2.0,36.7356,34.6947,0.228107
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,4,right,stance,left,swing_leg,pitch,1777514595.8777,1777514596.3677,0.49,50,50.0,0.209,0.483762,0.724147,1.618966,1.529986,2.0,4.0817,4.0817,0.278251
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,4,right,stance,left,swing_leg,roll,1777514595.8777,1777514596.3677,0.49,50,180.0,0.2106,0.616603,0.550819,1.784361,1.443527,4.0001,4.0817,4.0817,0.102955
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,5,left,stance,left,stance_leg,pitch,1777514596.3677,1777514596.5477,0.18,19,10.0,0.7219,0.207717,0.07638,0.293596,0.099075,5.2633,16.6671,16.6671,0.338335
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,5,left,stance,left,stance_leg,roll,1777514596.3677,1777514596.5477,0.18,19,0.0,0.4826,0.572915,0.231175,0.769659,0.257977,5.2633,11.1114,11.1114,0.151185
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,5,left,stance,right,swing_leg,pitch,1777514596.3677,1777514596.5477,0.18,19,160.0,1.0,0.209429,0.572528,0.425415,0.574256,5.2633,5.5557,5.5557,0.260218
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,5,left,stance,right,swing_leg,roll,1777514596.3677,1777514596.5477,0.18,19,160.0,1.0,0.217,0.13172,0.502796,0.180963,5.2633,11.1114,11.1114,0.095408
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,6,right,stance,right,stance_leg,pitch,1777514596.5477,1777514596.8577,0.31,32,190.0,0.0137,0.240579,0.194626,0.450008,0.390405,3.1251,9.6777,3.2259,0.513751
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,6,right,stance,right,stance_leg,roll,1777514596.5477,1777514596.8577,0.31,32,10.0,0.39,0.460477,0.055686,1.650431,0.22208,6.2502,19.3553,19.3553,0.155392
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,6,right,stance,left,swing_leg,pitch,1777514596.5477,1777514596.8577,0.31,32,0.0,0.2902,0.156033,0.415641,0.519956,0.59772,3.1251,6.4518,6.4518,0.161974
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,6,right,stance,left,swing_leg,roll,1777514596.5477,1777514596.8577,0.31,32,180.0,0.3002,0.207254,0.151286,0.414937,0.368272,3.1251,12.9035,12.9035,0.049906
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,1,left,stance,left,stance_leg,pitch,1777514825.9878,1777514826.1376,0.1498,16,10.0,0.5922,0.253234,0.064678,0.421069,0.112772,6.2529,6.6698,6.6698,0.219292
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,1,left,stance,left,stance_leg,roll,1777514825.9878,1777514826.1376,0.1498,16,129.94,1.0,0.53806,0.362779,0.562419,0.548455,6.2529,6.6698,6.6698,0.420987
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,1,left,stance,right,swing_leg,pitch,1777514825.9878,1777514826.1376,0.1498,16,129.94,1.0,0.164254,0.272124,0.228378,0.288543,6.2529,6.6698,6.6698,0.083695
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,1,left,stance,right,swing_leg,roll,1777514825.9878,1777514826.1376,0.1498,16,79.96,0.9322,0.37621,0.316096,0.548894,0.442054,6.2529,13.3395,13.3395,0.089357
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,2,right,stance,right,stance_leg,pitch,1777514826.1376,1777514826.4476,0.31,32,0.0,0.0,0.0,0.39163,0.0,0.426533,3.1265,3.2273,3.2273,0.580539
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,2,right,stance,right,stance_leg,roll,1777514826.1376,1777514826.4476,0.31,32,29.99,0.3126,0.643639,0.16988,1.828426,0.372528,6.2529,12.9092,12.9092,0.185374
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,2,right,stance,left,swing_leg,pitch,1777514826.1376,1777514826.4476,0.31,32,10.0,0.0101,0.219424,0.387293,0.552535,0.6475,3.1265,6.4546,6.4546,0.120424
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,2,right,stance,left,swing_leg,roll,1777514826.1376,1777514826.4476,0.31,32,109.95,0.3899,0.185484,0.585308,0.474252,1.454589,3.1265,9.6819,6.4546,0.194662
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,stance,left,stance_leg,pitch,1777514826.4476,1777514826.8375,0.3898,40,10.0,0.0364,0.278653,0.280707,0.585041,0.320502,5.0023,12.8265,7.6959,0.353788
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,stance,left,stance_leg,roll,1777514826.4476,1777514826.8375,0.3898,40,109.95,0.4905,0.867869,0.349341,2.467148,0.681822,2.5012,15.3918,15.3918,0.200796
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,stance,right,swing_leg,pitch,1777514826.4476,1777514826.8375,0.3898,40,139.93,0.6534,0.380613,0.704612,1.544519,1.225635,2.5012,2.5653,2.5653,0.246485
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,3,left,stance,right,swing_leg,roll,1777514826.4476,1777514826.8375,0.3898,40,109.95,0.5155,0.735666,0.399206,1.7523,0.774317,2.5012,2.5653,2.5653,0.097402
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,stance,right,stance_leg,pitch,1777514826.8375,1777514827.2477,0.4102,42,0.0,0.0,0.76,0.0,2.236731,0.0,nan,0.0,0.0,0.312216
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,stance,right,stance_leg,roll,1777514826.8375,1777514827.2477,0.4102,42,0.0,0.0,0.619163,0.0,2.197472,0.0,nan,0.0,0.0,0.259408
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,stance,left,swing_leg,pitch,1777514826.8375,1777514827.2477,0.4102,42,119.94,0.4743,0.730898,0.497049,1.151577,0.717928,2.3821,4.8803,4.8803,0.094467
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,stance,left,swing_leg,roll,1777514826.8375,1777514827.2477,0.4102,42,0.0,0.2678,0.657041,0.202189,0.966361,0.501343,2.3821,4.8803,4.8803,0.232144
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,5,left,stance,left,stance_leg,pitch,1777514827.2477,1777514827.4775,0.2298,24,19.99,0.1788,0.706489,0.105669,1.258888,0.189695,4.1686,4.3499,4.3499,0.527755
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,5,left,stance,left,stance_leg,roll,1777514827.2477,1777514827.4775,0.2298,24,89.96,0.9025,0.609544,0.221345,1.173262,0.383585,4.1686,4.3499,4.3499,0.387888
real,35/0.5 all_ankles,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,5,left,stance,right,swing_leg,pitch,1777514827.2477,1777514827.4775,0.2298,24,0.0,0.0,0.76,0.0,0.76,0.0,nan,0.0,0.0,0.351941
