window,axis,delay_pct,tau_ms,omega_max_rads,kp_max_no_kd,kp_opt_80pct,kp_candidate,omega_n_rads,kd_min,kd_for_zeta_target,kd_recommended,zeta_with_kd_rec,stability_margin_rads,is_stable_with_kd_rec
touchdown,pitch,p75,30.0,52.36,277.73,177.75,30.0,17.209,0.0,2.4406,2.4406,0.7,35.151,True
touchdown,pitch,p75,30.0,52.36,277.73,177.75,35.0,18.587,0.0,2.6362,2.6362,0.7,33.773,True
touchdown,pitch,p75,30.0,52.36,277.73,177.75,40.0,19.871,0.0,2.8182,2.8182,0.7,32.489,True
touchdown,pitch,p75,30.0,52.36,277.73,177.75,50.0,22.216,0.0,3.1509,3.1509,0.7,30.144,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,99.99403933443344,31.417,0.0,4.4559,4.4559,0.7,7.854,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,156.24068646005222,39.272,0.0,5.5698,5.5698,0.7,0.0,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,25.0,15.709,0.0,2.228,2.228,0.7,23.563,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,30.0,17.209,0.0,2.4406,2.4406,0.7,22.063,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,35.0,18.587,0.0,2.6362,2.6362,0.7,20.684,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,40.0,19.871,0.0,2.8182,2.8182,0.7,19.401,True
touchdown,pitch,p90,40.0,39.272,156.24,99.99,50.0,22.216,0.0,3.1509,3.1509,0.7,17.056,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,177.7756583542213,41.891,0.0,5.9413,5.9413,0.7,10.473,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,277.77446617847073,52.364,0.0,7.4266,7.4266,0.7,0.0,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,25.0,15.709,0.0,2.228,2.228,0.7,36.654,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,30.0,17.209,0.0,2.4406,2.4406,0.7,35.155,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,35.0,18.587,0.0,2.6362,2.6362,0.7,33.776,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,40.0,19.871,0.0,2.8182,2.8182,0.7,32.493,True
touchdown,roll,p50,30.0,52.364,277.77,177.78,50.0,22.216,0.0,3.1509,3.1509,0.7,30.148,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,99.99880782424951,31.418,0.0,4.456,4.456,0.7,7.855,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,156.24813722538983,39.273,0.0,5.57,5.57,0.7,0.0,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,25.0,15.709,0.0,2.228,2.228,0.7,23.564,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,30.0,17.209,0.0,2.4406,2.4406,0.7,22.064,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,35.0,18.587,0.0,2.6362,2.6362,0.7,20.685,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,40.0,19.871,0.0,2.8182,2.8182,0.7,19.402,True
touchdown,roll,p75,40.0,39.273,156.25,100.0,50.0,22.216,0.0,3.1509,3.1509,0.7,17.057,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,99.98927118569075,31.417,0.0,4.4557,4.4557,0.7,7.854,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,156.23323622764178,39.271,0.0,5.5697,5.5697,0.7,0.0,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,25.0,15.709,0.0,2.228,2.228,0.7,23.562,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,30.0,17.209,0.0,2.4406,2.4406,0.7,22.062,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,35.0,18.587,0.0,2.6362,2.6362,0.7,20.684,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,40.0,19.871,0.0,2.8182,2.8182,0.7,19.4,True
touchdown,roll,p90,40.0,39.271,156.23,99.99,50.0,22.216,0.0,3.1509,3.1509,0.7,17.055,True
