source,kpkd,kp,kd,side,axis,e_rms_rad,e_rms_swing,e_rms_stance,fn_th_hz,fn_frf_hz,fn_err_hz,fn_stance_hz,jeff_hat,zeta_th,G_fn,zeta_frf,coh_at_fn,zeta_ld,G_fn_sw,zeta_frf_sw,coh_fn_sw,fn_frf_sw,tau_th_ms,tau_frf_ms,delay_ms,xcorr_peak,Mr_th,PM_th_deg,PM_frf_deg,PM_frf_sw_deg,A_peak,DeltaLR,n_td,n_lo,n_swing_segs,n_zeta_ld_ok
sim,35/0.5,35,0.5,left,ankle_roll,0.19594,0.21733,0.11782,3.031,3.75,2.75,3.334,0.06304,0.136,0.7959,0.6283,0.989,,0.1766,2.8318,0.493,3.125,386.0,83.6,40.0,0.462,3.71,13.6,62.83,283.18,0.426,1.411,40,43,7,0
sim,35/0.5,35,0.5,right,ankle_pitch,0.25503,0.26044,0.24948,3.031,4.25,2.75,4.636,0.04908,0.136,0.2367,2.1123,0.833,0.1279,,,,,386.0,24.9,30.0,0.487,3.71,13.6,211.23,,2.131,1.072,44,45,0,1
sim,35/0.5,35,0.5,right,ankle_roll,0.13886,0.13125,0.14607,3.031,4.25,4.25,4.0,0.04908,0.136,0.03,10.0,0.104,,,,,,386.0,5.3,20.0,0.463,3.71,13.6,1000.0,,1.099,1.411,44,45,0,0
sim,40/0.5,40,0.5,left,ankle_pitch,0.2745,0.27157,0.286,3.24,4.75,2.75,3.333,0.0449,0.1272,0.1465,3.4128,0.843,,0.4924,1.0154,0.615,3.125,386.0,14.4,120.0,0.355,3.962,12.72,341.28,101.54,3.277,1.106,33,39,26,0
sim,40/0.5,40,0.5,left,ankle_roll,0.17275,0.1868,0.09707,3.24,2.25,2.75,3.333,0.20013,0.1272,0.8136,0.6145,0.732,,0.2657,1.8816,0.561,3.125,386.0,79.9,30.0,0.598,3.962,12.72,61.45,188.16,0.539,1.274,33,39,26,0
sim,40/0.5,40,0.5,right,ankle_pitch,0.24813,0.23535,0.26354,3.24,3.5,4.25,4.667,0.08271,0.1272,0.3184,1.5705,0.909,,0.6855,0.7294,1.0,3.125,386.0,31.3,30.0,0.552,3.962,12.72,157.05,72.94,2.172,1.106,53,51,1,0
sim,40/0.5,40,0.5,right,ankle_roll,0.13555,0.11603,0.157,3.24,5.0,4.25,4.0,0.04053,0.1272,0.238,2.101,0.464,,0.5962,0.8386,1.0,3.125,386.0,23.4,30.0,0.516,3.962,12.72,210.1,83.86,0.586,1.274,53,51,1,0
sim,50/0.8,50,0.8,left,ankle_pitch,0.2672,0.2688,0.26277,3.623,4.751,2.75,3.312,0.05612,0.1821,0.1185,4.2201,0.778,,,,,3.125,241.2,10.4,110.0,0.192,2.792,18.21,422.01,,1.944,1.126,52,52,1,0
sim,50/0.8,50,0.8,left,ankle_roll,0.15271,0.16122,0.12644,3.623,5.501,2.75,3.334,0.04186,0.1821,0.7538,0.6633,0.697,,,,,3.125,241.2,66.2,0.0,0.637,2.792,18.21,66.33,,1.104,1.308,52,52,1,0
sim,50/0.8,50,0.8,right,ankle_pitch,0.23724,0.21877,0.25611,3.623,2.25,4.25,4.667,0.25012,0.1821,0.3596,1.3903,0.577,0.1509,,,,3.125,241.2,31.6,30.0,0.481,2.792,18.21,139.03,,2.29,1.126,53,49,3,1
sim,50/0.8,50,0.8,right,ankle_roll,0.11671,0.07594,0.14937,3.623,5.251,2.75,3.334,0.04594,0.1821,0.5441,0.9189,0.517,,,,,,241.2,47.8,20.0,0.529,2.792,18.21,91.89,,1.908,1.308,53,49,3,0
