joint,sim_rms_error_rad,real_rms_error_rad,real_minus_sim_rms_error_rad,real_over_sim_rms_error,sim_target_range_rad,real_target_range_rad,real_over_sim_target_range,sim_pos_range_rad,real_pos_range_rad,sim_pos_over_target,real_pos_over_target,sim_delay_ms,real_delay_ms,sim_corr,real_corr,corr_drop_real_minus_sim,sim_vel_p95_rad_s,real_vel_p95_rad_s
left_ankle_pitch_joint,0.3504622080305469,0.1641725884264853,-0.1862896196040616,0.46844591132683766,0.76,0.76,1.0,0.27607000000000004,0.62107,0.3632500000000001,0.8171973684210526,-139.99100529232308,59.99826807051763,0.6664899800337268,0.3489442502641221,-0.3175457297696047,2.68401,1.7024
left_ankle_roll_joint,0.16899015216261395,0.2274448184265024,0.058454666263888455,1.3459057555474556,1.047232,1.1805219999999998,1.1272783872150582,0.322045,0.662345,0.3075202056468863,0.5610611238079426,39.997430083520875,59.99826807051763,0.7749016487673391,0.4738146757965681,-0.301086972970771,1.61885,3.16395
left_hip_pitch_joint,0.2715623804114329,0.7169242551994105,0.4453618747879776,2.639998419932939,1.087201,2.621703,2.4114243824279042,0.373167,0.535559,0.3432364392600816,0.2042790506781279,129.99164777144284,139.9959588312078,0.9462336672328306,0.3363391325192194,-0.6098945347136113,2.27392,1.65403
left_hip_roll_joint,0.5515363656637461,0.5721717850634498,0.020635419399703703,1.0374144311860016,1.648,1.7,1.0315533980582525,0.237144,0.24313970000000001,0.14389805825242719,0.1430233529411765,189.98779289672416,99.99711345086273,0.8474150243417106,0.19705339440421574,-0.6503616299374948,1.05187,0.788659
left_hip_yaw_joint,0.18835688450745214,0.4160618943796663,0.22770500987221415,2.208901975989124,0.973313,2.56514,2.635472864330385,0.3512807,0.517343,0.36091236837481877,0.2016821693942631,59.996145125281316,59.99826807051763,0.661291807589955,0.4721769769203569,-0.1891148306695981,1.83455,1.53129
left_knee_pitch_joint,0.2319128939955156,0.400681649035114,0.1687687550395984,1.72772475963696,1.06176,1.10587,1.0415442284508738,0.3869790000000001,0.9856018000000001,0.3644693716094033,0.8912456256160309,79.99486016704175,139.9959588312078,0.9441620392274668,0.33580362913271555,-0.6083584100947512,2.17644,2.61761
right_ankle_pitch_joint,0.2840657257837047,0.3104202419719401,0.026354516188235422,1.09277612114424,0.76,0.76,1.0,0.29712700000000003,0.879467,0.39095657894736846,1.1571934210526316,-219.98586545936482,-129.99624748612155,0.3111098587631878,-0.31330348278027925,-0.6244133415434671,2.25827,2.18646
right_ankle_roll_joint,0.2790696623553327,0.321930682059945,0.04286101970461231,1.1535853784423131,0.746945,1.28,1.7136469217947774,0.4016845,0.566182,0.537769849185683,0.44232968749999996,89.99421768792197,59.99826807051763,0.9411909742150827,0.23774319066525484,-0.7034477835498278,2.82174,3.72431
right_hip_pitch_joint,0.24155038380772104,0.6221572428788082,0.3806068590710872,2.5756831062378187,1.1363159999999999,2.865344,2.5216084258252107,0.33660900000000005,0.962013,0.2962283378919245,0.33574083949431555,149.9903628132033,139.9959588312078,0.8107055674876174,0.01903909671521287,-0.7916664707724045,1.4108,2.43349
right_hip_roll_joint,0.5043169377312937,0.39735585300517756,-0.10696108472611615,0.7879089978470912,1.6757199999999999,1.7,1.0144892941541548,0.19523510000000002,0.279381,0.11650818752536225,0.16434176470588235,199.9871504176044,79.99769076069018,0.8161659264381295,0.25291740911623495,-0.5632485173218945,0.718426,0.782521
right_hip_yaw_joint,0.20381983829802,0.3054073927595132,0.10158755446149317,1.4984183841464662,0.8742909999999999,1.839422,2.1039013326226623,0.487476,0.522904,0.557567217322379,0.28427625634574344,-199.9871504176044,79.99769076069018,0.4415495184216521,0.268180889754876,-0.1733686286667761,1.21214,1.7952
right_knee_pitch_joint,0.2589038401831336,0.5910215805826126,0.33211774039947894,2.2827841416510393,1.0226165,1.67221,1.6352268910192627,0.431135,1.4112814,0.4215998861743381,0.8439618229767792,69.99550264616154,149.99567017629408,0.920478441247202,0.14559977494586487,-0.7748786663013372,2.73564,4.70434
