dataset,case_label,kp,kd,file,side,axis,reference_col,ref_valid_ratio,duration_s,fs_hz,n_td,fn_swing_hz,fn_swing_prominence,fn_swing_n_windows,fn_swing_resolution_hz,fn_stance_hz,fn_stance_prominence,fn_stance_n_windows,fn_full_hz,fn_full_prominence,zeta_theory,zeta_hat,zeta_hat_r2,zeta_hat_n_events,zeta_hat_n_total,zeta_hat_n_forced,zeta_BW,zeta_BW_peak_hz,zeta_BW_prominence,zeta_BW_bandwidth_hz,fn_equiv_BW_hz,Mr_theory,Mr_hat,PM_theory_deg,PM_hat_deg,tau_theory_ms,tau_hat_ms,fn_theory_hz,e_rms_rad,e_rms_swing_rad,e_rms_stance_rad,amplitude_gain_swing_median,amplitude_gain_swing_std,amplitude_gain_swing_n_valid,amplitude_gain_td_median,amplitude_gain_td_std,amplitude_gain_td_n_valid,n_self_excite_swing,n_self_excite_td,delay_ms_median,delay_ms_iqr,delay_corr_median,delay_n_valid,delay_n_total,delay_phase_loss_at_fn_deg,transfer_gain,transfer_phase_deg,transfer_coherence,A_peak,A_peak_n_events,target_dir_chg_swing_hz,target_dir_chg_td_hz,joint_dir_chg_swing_hz,joint_dir_chg_td_hz,jeff_hat,DeltaLR_e_rms_rad,DeltaLR_e_rms_swing_rad,DeltaLR_e_rms_stance_rad,DeltaLR_fn_swing_hz,DeltaLR_zeta_hat,DeltaLR_amplitude_gain_swing_median,DeltaLR_delay_ms_median
real,20260428_152240,,,t27_tracking_lag_b1_diag_20260428_152240.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,14.71893,99.99104,11,3.03003,1.76989,2,0.08992,3.26058,6.21037,11,2.75665,12.65431,,,,0,11,11,0.02381,2.85107,7289.70077,0.13577,2.85188,,,,,,,,0.18925,0.18294,0.26975,0.57831,0.50929,2,0.58965,0.18439,11,0,0,100.00896,115.0103,0.7929,11,11,109.09091,0.14562,81.91434,0.0676,1.47593,11,21.65573,31.51892,1.55998,6.52115,,2.58064,1.41514,1.94081,1.375,,1.18818,0.3
real,20260428_152240,,,t27_tracking_lag_b1_diag_20260428_152240.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,14.71893,99.99104,11,3.03003,1.44989,2,0.08992,4.34744,4.57464,11,2.75665,16.85329,,,,0,11,11,0.02381,2.85107,18193.03531,0.13577,2.85188,,,,,,,,0.20605,0.20594,0.20774,1.22763,1.08755,2,0.65136,0.36088,11,1,2,70.00627,285.02554,0.90741,11,11,76.36364,0.04088,105.24991,0.11263,2.06303,11,21.5481,35.16168,4.59001,13.18563,,1.55314,1.19831,1.60395,1.375,,0.61371,0.0
real,20260428_155015,,,t27_tracking_lag_b1_diag_20260428_155015.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,39.98984,99.99872,0,,,0,,,,0,2.75686,145.09982,,,,0,0,0,0.01316,2.84996,961237393.99385,0.075,2.85021,,,,,,,,0.41464,,0.41464,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.99477,,0.99477,,,,
real,20260428_155015,,,t27_tracking_lag_b1_diag_20260428_155015.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,39.98984,99.99872,0,,,0,,,,0,4.2606,98.65839,,,,0,0,0,0.00877,4.27495,320161407.62309,0.075,4.27511,,,,,,,,0.16314,,0.16314,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.61562,,0.61562,,,,
real,20260428_155015,,,t27_tracking_lag_b1_diag_20260428_155015.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,39.98984,99.99872,0,,,0,,,,0,2.75686,50.11434,,,,0,0,0,0.01316,2.84996,157119539.33978,0.075,2.85021,,,,,,,,0.41683,,0.41683,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.99477,,0.99477,,,,
real,20260428_155015,,,t27_tracking_lag_b1_diag_20260428_155015.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,39.98984,99.99872,0,,,0,,,,0,2.75686,410.00378,,,,0,0,0,0.01316,2.84996,9151955801.2625,0.075,2.85021,,,,,,,,0.265,,0.265,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.61562,,0.61562,,,,
real,20260428_155055,,,t27_tracking_lag_b1_diag_20260428_155055.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,39.99001,100.00896,0,,,0,,,,0,2.75025,115.90396,,,,0,0,0,0.01316,2.85026,898024486.27255,0.07501,2.8505,,,,,,,,0.41457,,0.41457,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.99461,,0.99461,,,,
real,20260428_155055,,,t27_tracking_lag_b1_diag_20260428_155055.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,39.99001,100.00896,0,,,0,,,,0,4.25038,103.8422,,,,0,0,0,0.00877,4.27538,300790263.24434,0.07501,4.27555,,,,,,,,0.16314,,0.16314,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.61646,,0.61646,,,,
real,20260428_155055,,,t27_tracking_lag_b1_diag_20260428_155055.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,39.99001,100.00896,0,,,0,,,,0,2.75025,44.54351,,,,0,0,0,0.01316,2.85026,185106951.58714,0.07501,2.8505,,,,,,,,0.41682,,0.41682,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.99461,,0.99461,,,,
real,20260428_155055,,,t27_tracking_lag_b1_diag_20260428_155055.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,39.99001,100.00896,0,,,0,,,,0,2.75025,339.78963,,,,0,0,0,0.01316,2.85026,9163362370.99203,0.07501,2.8505,,,,,,,,0.26464,,0.26464,,,0,,,0,0,0,,,,0,0,,0.0,0.0,,,0,,,,,,0.61646,,0.61646,,,,
real,20260428_161322,,,t27_tracking_lag_b1_diag_20260428_161322.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,27.8691,100.00384,9,4.00015,1.0,2,0.03983,3.22593,4.22862,9,2.75011,30.66826,,,,0,9,9,0.01875,2.86955,969794.16678,0.10761,2.87006,,,,,,,,0.22063,0.22064,0.22028,0.21817,0.12288,2,0.45524,0.28418,9,0,0,89.99654,219.99155,0.69975,9,9,129.6,0.0151,-108.26762,0.06943,1.77303,9,7.30574,32.2593,4.02007,8.69599,,0.52245,1.06694,0.50876,,,,
real,20260428_161322,,,t27_tracking_lag_b1_diag_20260428_161322.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,27.8691,100.00384,9,4.00015,1.0,2,0.03983,3.22593,6.25016,9,2.75011,146.39312,,,,0,9,9,0.01875,2.86955,2989256.27228,0.10761,2.87006,,,,,,,,0.37852,0.38234,0.23051,0.25862,0.05862,2,0.60011,0.20047,9,0,0,0.0,189.9927,0.87032,9,9,0.0,0.19498,117.46255,0.20073,1.91995,9,25.06747,34.78394,6.02014,10.86998,,1.48751,1.42249,0.9094,,,,0.0
real,20260428_161322,,,t27_tracking_lag_b1_diag_20260428_161322.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,27.8691,100.00384,9,,,0,,3.22593,3.80741,9,2.75011,65.06572,,,,0,9,9,0.01875,2.86955,1567280.43205,0.10761,2.87006,,,,,,,,0.4223,0.2068,0.43298,,,0,0.4116,0.19678,9,0,0,0.0,239.99078,0.78752,9,9,,0.00771,83.46873,0.00764,1.30754,9,,36.95794,,13.04398,,0.52245,1.06694,0.50876,,,,
real,20260428_161322,,,t27_tracking_lag_b1_diag_20260428_161322.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,27.8691,100.00384,9,,,0,,5.37655,9.70962,9,2.75011,19.16073,,,,0,9,9,0.01875,2.86955,530812.99122,0.10761,2.87006,,,,,,,,0.25447,0.26878,0.25347,,,0,1.12624,0.2257,9,0,6,29.99885,299.98848,0.75037,9,9,,0.02893,56.2319,0.0423,1.66954,9,,36.95794,,10.86998,,1.48751,1.42249,0.9094,,,,0.0
real,20260428_162312,,,t27_tracking_lag_b1_diag_20260428_162312.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,9.53941,99.97697,10,,,0,,3.26012,4.80453,10,3.00683,17.65151,,,,0,10,10,0.05357,2.93126,1285.00081,0.31406,2.93548,,,,,,,,0.22309,0.24702,0.21536,,,0,0.70867,0.58148,10,0,0,70.01613,130.02995,0.75409,9,9,,0.09395,13.95059,0.07764,2.16397,10,,21.07392,,10.25944,,0.65374,0.70164,0.9699,,,,-1.0
real,20260428_162312,,,t27_tracking_lag_b1_diag_20260428_162312.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,9.53941,99.97697,10,,,0,,3.26012,4.90656,10,2.75626,21.62328,,,,0,10,10,0.05556,2.82657,1674.57033,0.31406,2.83095,,,,,,,,0.29753,0.18539,0.32378,,,0,0.47857,0.23891,10,0,0,-65.01498,212.54896,0.79273,10,10,,0.03099,66.60064,0.03778,1.14183,10,,32.96926,,14.58874,,1.14783,0.70377,1.48593,,,,-6.5
real,20260428_162312,,,t27_tracking_lag_b1_diag_20260428_162312.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,9.53941,99.97697,10,5.7679,1.3335,3,0.1658,3.26012,6.32862,10,2.25512,5.44832,,,,0,10,10,0.03704,2.82657,799.59163,0.20938,2.82851,,,,,,,,0.34125,0.35207,0.22204,0.56432,0.47585,3,0.6271,0.43871,10,0,0,-70.01613,225.05184,0.7922,10,10,145.38462,0.0569,-135.48821,0.10039,1.84978,10,30.76214,30.42777,6.66513,11.41041,,0.65374,0.70164,0.9699,,,,-1.0
real,20260428_162312,,,t27_tracking_lag_b1_diag_20260428_162312.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,9.53941,99.97697,10,5.7679,1.41754,3,0.1658,5.43353,9.54116,10,2.75626,4.68749,,,,0,10,10,0.05556,2.82657,1508.75463,0.31406,2.83095,,,,,,,,0.25921,0.26343,0.2179,0.62694,0.49983,3,1.03448,0.32161,10,1,5,10.0023,330.07603,0.96393,10,10,20.76923,1.62068,-171.17321,0.41195,1.73204,10,34.60741,36.74352,9.61317,11.28772,,1.14783,0.70377,1.48593,,,,-6.5
