joint,sample_window_s,gait_hz,fn_probe_hz,pos_amp_at_gait_hz_rad,target_amp_at_gait_hz_rad,pos_amp_at_fn_rad,target_amp_at_fn_rad,pos_target_ratio_at_fn,peak1_hz,peak1_amp_rad,peak2_hz,peak2_amp_rad,peak3_hz,peak3_amp_rad
left_ankle_pitch_joint,6.6000000000000005,1.8181818181818181,3.0,0.04369053726500058,0.12544576470869198,0.005371647391951266,0.05142385727701457,0.10445827435726578,1.210322379817989,0.058729734698001065,0.6051611899089945,0.04894985874844027,1.8154835697269833,0.04369053726500058
left_ankle_roll_joint,6.6000000000000005,1.8181818181818181,3.0,0.08630130996140647,0.2130562055641161,0.005725781560691828,0.024278436060823364,0.23583815474552636,1.8154835697269833,0.08630130996140647,2.420644759635978,0.03851752847616042,5.9003216016126965,0.03310853223558362
right_ankle_pitch_joint,6.6000000000000005,1.8181818181818181,3.0,0.0757945856693932,0.054017855811268695,0.019720364848763564,0.0698297773723138,0.2824062397280722,0.6051611899089945,0.08570894132535643,1.8154835697269833,0.0757945856693932,1.210322379817989,0.048229429272103136
right_ankle_roll_joint,6.6000000000000005,1.8181818181818181,3.0,0.08189250020475988,0.21891825937754358,0.009478279195395784,0.020896978170807733,0.4535717613294238,1.8154835697269833,0.08189250020475988,1.210322379817989,0.032919339515531595,3.6309671394539667,0.027043950117255036
