joint,rms_error_rad,max_abs_error_rad,target_range_rad,pos_range_rad,range_ratio_pos_over_target,vel_abs_p95_rad_s,best_delay_ms,best_delay_corr
left_hip_pitch_joint,0.7099267968226737,1.6027879999999999,2.621703,0.535559,0.2042790506781279,1.65403,159.99538152138035,0.07056177284615478
left_hip_roll_joint,0.5684024161076281,1.5975051,1.7,0.24313970000000001,0.1430233529411765,0.788659,59.99826807051763,0.202754176139934
left_hip_yaw_joint,0.41014254357305024,1.1814360000000002,2.56514,0.517343,0.2016821693942631,1.53129,49.998556725431364,0.29220322371213814
left_knee_pitch_joint,0.3748921312544385,0.611588,1.10587,0.9856018000000001,0.8912456256160309,2.61761,129.99624748612155,0.1188185036965588
left_ankle_pitch_joint,0.1576850371780725,0.8226089999999999,0.76,0.62107,0.8171973684210526,1.7024,59.99826807051763,0.14661145531884395
left_ankle_roll_joint,0.22011045001404733,0.609064,1.1805219999999998,0.662345,0.5610611238079426,3.16395,59.99826807051763,0.18124074537109322
right_hip_pitch_joint,0.5996887176567597,1.31609,2.865344,0.962013,0.33574083949431555,2.43349,129.99624748612155,0.12983355112421086
right_hip_roll_joint,0.3944888371032828,1.5513183000000001,1.7,0.279381,0.16434176470588235,0.782521,59.99826807051763,0.14643184091574485
right_hip_yaw_joint,0.2945907431093047,1.0104014,1.839422,0.522904,0.28427625634574344,1.7952,49.998556725431364,0.28289242497995953
right_knee_pitch_joint,0.5462093082707339,1.365313,1.67221,1.4112814,0.8439618229767792,4.70434,149.99567017629408,0.10325856580711765
right_ankle_pitch_joint,0.3101887905776298,0.838813,0.76,0.879467,1.1571934210526316,2.18646,59.99826807051763,0.04062842038756196
right_ankle_roll_joint,0.3176790763738946,0.7281405,1.28,0.566182,0.44232968749999996,3.72431,69.9979794156039,0.10017992342762909
