step_index,window,risk_level_joint_stream_only,mean_lag_ms,mean_corr,mean_tracking_err_rms_rad,max_tracking_err_rms_rad,mean_amplitude_gain,max_amplitude_gain,max_velocity_self_excitation_ratio,joint_lock_count,watch_or_worse_count,risk_or_fail_count
1,full_step,watch,67.52479950000011,0.4489259783702542,0.16990224720355468,0.2298721467794895,0.3142226287937863,0.5145640548813041,0.7867476316045688,0,4,0
1,swing_approx,risk,70.00904050000007,0.6364081933162646,0.17869121627627496,0.28652314834289555,0.38715650449444433,0.6802365495880531,1.013333905436163,0,4,1
1,touchdown_approx,watch,35.004065250000075,0.5682980169627785,0.2604098574075844,0.5585623636067051,0.2629354151130904,0.41311622939976006,0.24110538907725423,0,4,0
2,full_step,fail,92.42881200000008,0.3154344850067995,0.25632279431117044,0.3037363675906684,0.32086489446437594,0.40682642412480163,0.26899878851916903,0,4,2
2,swing_approx,watch,112.26998250000003,0.5799780217575871,0.22090076187043953,0.341656673298493,0.4146720701104323,0.6169160414245287,0.4555179724747785,0,4,0
2,touchdown_approx,risk,37.47601500000017,0.2728350016714702,0.16753735160225983,0.27441657223582727,0.9177796090624737,3.038470412947007,0.8499162601219693,0,4,1
3,full_step,watch,129.93817199999947,0.28614433329194394,0.1728912220245593,0.19955080582232362,0.3966611761357004,0.5359435420913059,0.39334250515135555,0,4,0
3,swing_approx,watch,124.89383749999806,0.5465000313926625,0.16874067340526244,0.21796266795330757,0.6816959161008009,1.392893452623018,0.677763986650887,0,4,0
3,touchdown_approx,watch,37.482164999999846,0.6025035939231285,0.136883991273415,0.18352446137776837,0.36947312480537914,0.5331697229377367,0.40414468209974047,0,4,0
4,full_step,watch,117.55262237499964,0.3794599784390949,0.2430660645132389,0.3957966897021051,0.46947614182843256,0.535208334281376,0.5392827663132252,0,4,0
4,swing_approx,watch,130.0855984999989,0.5160826876787334,0.2321340832528639,0.3247139776222915,0.3189691004377573,0.3440823223701434,0.2871616201416066,0,4,0
4,touchdown_approx,fail,37.555723124999275,0.44416392537224886,0.45448823664072996,0.6302461499226513,0.25632201285843054,0.5627498716943936,0.4838286301749623,0,4,1
5,full_step,watch,97.47440625000192,0.3811212285211293,0.3858700715903127,0.6165721551799459,0.48901681986951184,0.6507187167551195,0.6512625559290308,0,4,0
5,swing_approx,fail,52.48122075000017,0.42161484318471165,0.36189938614507394,0.6829005349630034,0.37837361116058144,0.5831827635011609,0.5545651156325923,0,4,1
5,touchdown_approx,fail,37.448669999999574,0.30244695716250025,0.22610459192110433,0.4835824559811984,0.721190504212818,1.444090599455041,0.8291821937355577,0,4,1
6,full_step,fail,79.9740240000002,0.3201257116757537,0.2200457928776139,0.3128041666817684,0.5269198114647127,0.6795328947368422,0.3599085682833505,0,4,1
6,swing_approx,watch,157.51895512499826,0.23031714579086418,0.22676918811844926,0.2921568885904034,0.33519823631139944,0.4856130585226418,0.24316288463888425,0,4,0
6,touchdown_approx,fail,17.52061499999985,0.511549972906736,0.19018447921603748,0.3750870380482376,1.032507062910835,1.90346779802476,0.7809236199210241,0,4,1
7,full_step,fail,62.549050000000605,0.25409839015616076,0.22231404260448046,0.27446463406804383,0.824890970322364,1.4656056023546131,0.4895122827097,0,4,2
7,swing_approx,fail,120.09417600000116,0.3219530797976948,0.2869871518463747,0.44130150616920044,0.8531090339370316,1.4194633410455866,0.3788666297012633,0,4,1
7,touchdown_approx,watch,24.983989999999846,0.39559742334531106,0.1274689905612475,0.21305809129628303,0.5574893316967445,1.136317664130865,0.9176808156069638,0,4,0
8,full_step,watch,84.95514974999786,0.2614568890803489,0.2449839008863895,0.31111386120030693,0.5124978863278111,0.9619345936301154,0.5353962320231864,0,4,0
8,swing_approx,watch,132.43008637499665,0.589746414374493,0.2241945999320829,0.2719768482355241,0.3204376795388853,0.7120395838998902,0.926217752552297,0,4,0
8,touchdown_approx,watch,37.55315250000058,0.35699311332912653,0.23772739706463278,0.5961366865477246,0.6621359277932212,1.447571823763879,0.9190661979516944,0,4,0
9,full_step,fail,107.6424267500048,0.2621554053356448,0.2288980144596669,0.3083328820270796,0.40410942074766026,0.5021241775533085,0.32180132666710237,0,4,1
9,swing_approx,watch,167.92929412499757,0.4454403932244706,0.20720098775876655,0.2825212747002215,0.6320556374770024,0.8843624406284256,0.5753103272875449,0,4,0
9,touchdown_approx,fail,24.92232875,0.3859747079814621,0.2663299484090641,0.28476163447719743,0.08766681532897613,0.14397651687041144,0.14097797298421935,0,4,1
