case_code,case_label,group,joint_count,mean_action_to_raw_lag_ms,mean_raw_to_lpf_lag_ms,mean_tau_raw_to_tau_lpf_lag_ms,mean_raw_to_pos_lag_ms
2504,25/0.4,ankle,4,0.0,0.0,10.712623596191406,144.62041854858398
2504,25/0.4,hip,6,0.0,10.712623596191406,0.0,57.133992513020836
2504,25/0.4,knee,2,0.0,10.712623596191406,0.0,29.459714889526367
3505,35/0.5,ankle,4,0.0,0.0,11.746406555175781,30.834317207336426
3505,35/0.5,hip,6,0.0,11.746406555175781,0.0,62.647501627604164
3505,35/0.5,knee,2,0.0,11.746406555175781,0.0,32.3026180267334
4005,40/0.5,ankle,4,0.0,0.0,16.402244567871094,32.80448913574219
4005,40/0.5,hip,6,0.0,16.402244567871094,0.0,57.40785598754883
4005,40/0.5,knee,2,0.0,16.402244567871094,0.0,45.10617256164551
5008,50/0.8,ankle,4,0.0,0.0,11.463165283203125,30.090808868408203
5008,50/0.8,hip,6,0.0,11.463165283203125,0.0,58.27109018961588
5008,50/0.8,knee,2,0.0,11.463165283203125,0.0,31.523704528808594
