group,joint_count,mean_target_to_pos_lag_ms,mean_target_to_current_lag_ms,mean_current_to_pos_lag_ms,mean_target_pos_rms_err_rad,mean_effective_delay_flattening_intent_ratio,mean_high_err_flattening_intent_ratio
ankle,4,39.99519348144531,19.997596740722656,69.9915885925293,0.21581606834040612,0.40455911823647295,0.39995177910842084
hip,6,73.32452138264973,18.331130345662434,59.99279022216797,0.30036575954027595,0.3957915831663327,0.38832273955092517
knee,2,54.993391036987305,9.998798370361328,99.98798370361328,0.27478381348678527,0.6948897795591182,0.7574772030580426
