dataset,case_label,kp,kd,file,side,axis,reference_col,ref_valid_ratio,duration_s,fs_hz,n_td,frf_gain_at_fn_swing,frf_coherence_swing,zeta_frf_swing,fn_frf_swing_hz,n_swing_segs,damping_status,tracking_lag_ms,xcorr_coeff,range_gain_phase,fn_swing_hz,fn_swing_prominence,fn_swing_n_windows,fn_swing_resolution_hz,fn_stance_hz,fn_stance_prominence,fn_frf_hz,zeta_theory,G_fn,zeta_frf,coh_at_fn,zeta_hat,zeta_hat_r2,zeta_hat_n_events,zeta_hat_n_total,zeta_hat_n_forced,zeta_BW,zeta_BW_peak_hz,fn_stance_n_windows,fn_full_hz,fn_full_prominence,fn_equiv_BW_hz,Mr_theory,PM_theory_deg,PM_frf_deg,tau_theory_ms,tau_frf_ms,fn_theory_hz,e_rms_rad,e_rms_swing_rad,e_rms_stance_rad,amplitude_gain_swing_median,amplitude_gain_swing_std,amplitude_gain_swing_n_valid,amplitude_gain_td_median,amplitude_gain_td_std,amplitude_gain_td_n_valid,n_self_excite_swing,n_self_excite_td,delay_ms_median,delay_ms_iqr,delay_corr_median,delay_n_valid,delay_n_total,delay_phase_loss_at_fn_deg,transfer_gain,transfer_phase_deg,transfer_coherence,A_peak,A_peak_n_events,target_dir_chg_swing_hz,target_dir_chg_td_hz,joint_dir_chg_swing_hz,joint_dir_chg_td_hz,jeff_hat,DeltaLR_e_rms_rad,DeltaLR_e_rms_swing_rad,DeltaLR_e_rms_stance_rad,DeltaLR_fn_swing_hz,DeltaLR_zeta_hat,DeltaLR_amplitude_gain_swing_median,DeltaLR_delay_ms_median
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,14.17911,100.00384,23,0.21118,0.09107,2.36765,,11,unknown_low_gain,109.99578,0.79445,0.34974,2.5642,1.15549,3,0.15061,3.29683,4.4928,4.50017,0.12876,0.11808,4.2344,0.2405,,,0,23,23,0.03659,2.88947,23,2.75011,19.26758,2.89141,3.91565,14.67259,423.4404,482.5,14.67241,2.56169,0.32392,0.32892,0.30235,0.34974,0.31557,3,0.49746,0.39661,23,0,0,109.99578,194.99251,0.79445,23,23,101.53846,0.05503,108.4041,0.04061,1.9214,23,25.64201,23.91396,4.54563,9.78298,0.03127,1.01129,1.06157,0.92605,0.58974,,0.65415,1.375
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,14.17911,100.00384,23,0.28469,0.26882,1.7563,4.50017,11,unknown_low_gain,29.99885,0.9084,0.89995,2.5642,1.27358,3,0.15061,3.29683,6.0122,3.25012,0.12876,0.13196,3.78909,0.25179,,,0,23,23,0.0375,2.81899,23,2.75011,15.36928,2.82098,3.91565,14.67259,378.90947,482.5,16.39677,2.56169,0.28308,0.29281,0.23861,0.89995,0.81701,3,0.3593,0.15922,23,1,0,29.99885,289.98886,0.9084,23,23,27.69231,0.07202,-2.69121,0.17731,1.91114,23,20.51361,31.52295,9.09126,13.04398,0.05995,0.90767,1.26944,0.67757,0.58974,,0.24981,0.42857
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,14.17911,100.00384,21,0.22514,0.06715,2.22087,,9,unknown_low_gain,79.99693,0.77477,0.53465,4.34799,1.0,5,3.33346,3.29683,6.54025,4.00015,0.12876,0.16957,2.94858,0.16251,,,0,21,21,0.0375,2.81899,21,2.75011,11.94108,2.82098,3.91565,14.67259,294.85773,482.5,21.07081,2.56169,0.32031,0.30984,0.3265,0.53465,0.3446,5,0.66636,0.39168,21,0,0,79.99693,149.99424,0.77477,21,21,125.21739,0.11258,113.14163,0.09068,1.55029,21,40.00154,30.77041,9.09126,8.69599,0.03958,1.01129,1.06157,0.92605,0.58974,,0.65415,1.375
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,14.17911,100.00384,21,0.67839,0.05788,0.73704,4.50017,9,underdamped_timedomain,69.99731,0.83833,3.60247,4.34799,1.0,5,3.33346,4.39577,6.74605,,0.12876,0.15708,3.18315,0.08511,,,0,21,21,0.02439,2.88947,21,2.75011,13.52765,2.89033,3.91565,14.67259,318.31525,482.5,19.51804,2.56169,0.31188,0.23066,0.35216,3.60247,3.00402,5,0.59277,0.32738,21,4,1,69.99731,349.98656,0.83833,21,21,109.56522,0.19114,-179.37022,0.0444,1.79853,21,34.78394,36.26513,4.54563,9.89049,,0.90767,1.26944,0.67757,0.58974,,0.24981,0.42857
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,24.13919,100.00512,19,0.18833,0.02028,2.65493,,8,underdamped_timedomain,0.0,0.797,1.68882,3.44845,1.25033,3,3.22597,3.26104,6.67352,2.0001,0.11755,0.37366,1.33812,0.2747,0.08892,0.27491,1,19,17,0.01456,4.26523,19,3.00015,13.64123,4.26568,4.28337,13.40692,133.81197,482.5,42.3846,2.80619,0.4063,0.27428,0.43246,1.68882,0.95373,3,1.24776,0.65084,19,0,0,0.0,389.98003,0.797,17,17,0.0,0.89955,-130.28984,0.38461,2.25833,19,32.25972,21.74024,3.44845,10.87012,0.18996,1.79707,1.2663,1.30196,1.31034,,3.25568,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,24.13919,100.00512,19,0.26289,0.02839,1.90193,,8,unknown_low_gain,-19.99898,0.88255,0.99346,3.44845,1.18304,3,3.22597,3.26104,6.9675,,0.11755,0.81952,0.61012,0.53019,,,0,19,19,0.01456,4.26523,19,4.25022,6.4559,4.26568,4.28337,13.40692,61.01163,482.5,92.95878,2.80619,0.48884,0.23722,0.53252,0.99346,0.11795,3,0.51771,0.18614,19,0,0,-19.99898,184.99053,0.88255,19,19,24.82759,0.76671,-152.58979,0.26314,1.447,19,33.33504,32.61037,16.12986,11.95713,,2.00245,0.96243,2.55977,0.65517,,0.96724,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,24.13919,100.00512,19,0.79397,0.07983,0.62975,4.75024,11,unknown_low_gain,0.0,0.7091,0.51873,2.63171,1.09894,9,0.05791,3.26104,5.21132,2.0001,0.11755,0.35969,1.3901,0.15589,,,0,19,19,0.01449,2.85729,19,2.75014,5.41488,2.85759,4.28337,13.40692,139.01045,482.5,40.79957,2.80619,0.22609,0.2166,0.33216,0.51873,0.68085,9,0.71255,0.47669,19,0,0,0.0,259.98669,0.7091,17,18,0.0,0.13789,-124.95708,0.0328,1.88861,19,25.58271,23.91427,9.09137,6.52207,0.18996,1.79707,1.2663,1.30196,1.31034,,3.25568,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,24.13919,100.00512,19,0.81689,0.21518,0.61208,,11,underdamped_timedomain,0.0,0.74145,1.02711,5.26343,1.04707,9,0.05791,4.34805,5.2228,,0.11755,0.06202,8.06133,0.01816,,,0,19,19,0.01449,2.85729,19,2.75014,5.33122,2.85759,4.28337,13.40692,806.13262,482.5,7.03553,2.80619,0.24412,0.24648,0.20803,1.02711,2.03411,9,0.33463,0.29331,19,1,0,0.0,137.49296,0.74145,18,19,0.0,0.6887,-167.94817,0.11514,1.75487,19,34.21228,35.48569,9.5243,13.04415,,2.00245,0.96243,2.55977,0.65517,,0.96724,
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,22.04926,100.00128,9,0.03754,0.07498,10.0,5.00006,3,unknown_low_gain,99.99872,0.83321,0.07786,4.27757,1994.3177,1,0.05217,3.26091,5.20821,,0.13603,0.21866,2.28665,0.17665,,,0,9,9,0.01587,2.85588,9,4.25005,77.14326,2.85624,3.71008,15.49045,228.66467,386.0,22.9631,3.03103,0.58713,0.59532,0.31175,0.07786,0.0,1,0.47919,0.51356,9,0,0,99.99872,222.49715,0.83321,8,8,153.99061,0.00145,-126.82139,0.01129,1.41298,9,5.79037,20.43037,0.05217,8.69576,,1.72272,1.98174,0.90694,,,,1.0
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,22.04926,100.00128,9,0.38428,0.73535,1.30113,4.00005,3,overdamped,-99.99872,0.94727,0.31986,2.8691,2646.13699,1,0.05217,3.26091,6.71593,3.75005,0.13603,0.44408,1.12591,0.98261,,,0,9,9,0.01587,2.85588,9,2.75004,5.8839,2.85624,3.71008,15.49045,112.59147,386.0,46.6363,3.03103,0.15942,0.15591,0.23176,0.31986,0.0,1,0.53424,0.20456,9,0,0,-99.99872,219.99718,0.94727,9,9,103.28638,0.14501,-55.79792,0.19533,1.51196,9,15.70182,27.47288,0.05217,8.79132,0.06304,0.48798,0.7788,0.69292,,,,5.0
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,22.04926,100.00128,9,0.25705,0.1348,1.94518,4.25005,4,unknown,99.99872,1.128,,,,0,,3.29675,6.46576,3.50004,0.13603,0.08273,6.04344,0.91615,,,0,9,9,0.01587,2.85588,9,2.75004,17.17012,2.85624,3.71008,15.49045,604.34382,386.0,8.68851,3.03103,0.34082,0.3004,0.34374,,,0,0.0,1.11004,9,0,1,99.99872,349.99552,1.128,5,5,,0.00148,-41.77565,0.00672,1.19188,9,,18.4785,,0.0,0.07237,1.72272,1.98174,0.90694,,,,1.0
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,22.04926,100.00128,9,0.15345,0.04916,3.2583,,4,unknown,-19.99974,0.81052,,,,0,,3.29675,5.08612,,0.13603,0.05347,9.35117,0.04324,,,0,9,9,0.01587,2.85588,9,4.25005,40.40072,2.85624,3.71008,15.49045,935.11669,386.0,5.61518,3.03103,0.32669,0.20019,0.33446,,,0,0.0,0.33235,9,0,0,-19.99974,129.99834,0.81052,5,5,,0.00234,-153.80593,0.00665,1.63661,9,,31.86854,,0.0,,0.48798,0.7788,0.69292,,,,5.0
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,9.2892,100.00896,10,0.10707,0.08794,4.66981,4.25038,5,unknown_low_gain,49.99552,0.68483,0.25614,4.28121,54.95214,1,0.17125,3.26116,4.54464,3.50031,0.20359,0.21334,2.34366,0.71139,,,0,10,10,0.05556,2.90349,10,3.00027,3.66956,2.90798,2.5084,22.99647,234.3655,241.25,20.95752,3.24031,0.19894,0.18307,0.29535,0.25614,0.0,1,0.35398,0.46023,10,0,0,49.99552,134.9879,0.68483,10,10,77.05479,0.0963,-134.84293,0.28514,1.48491,10,10.44614,27.16774,0.17125,11.41407,0.0827,0.4589,0.73496,0.61549,1.0274,,0.04467,1.0
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,9.2892,100.00896,10,0.47538,0.32153,1.05178,2.50022,5,unknown_low_gain,29.99731,0.90639,0.17139,2.91122,65.74794,1,0.17125,5.43527,5.5438,5.00045,0.20359,0.11313,4.41986,0.24257,,,0,10,10,0.05556,2.90349,10,2.75025,5.22867,2.90798,2.5084,22.99647,441.98552,241.25,11.11285,3.24031,0.23239,0.23287,0.22858,0.17139,0.0,1,0.55936,0.22829,10,0,0,29.99731,154.98611,0.90639,10,10,31.43836,0.07013,-32.70527,0.11167,2.02863,10,10.95989,34.2422,0.17125,12.57279,0.04052,1.1857,0.82526,1.45861,0.69863,,0.00956,-0.33333
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,9.2892,100.00896,11,0.55993,0.48027,0.89297,5.00045,3,critical,49.99552,0.75738,5.73374,4.16704,1.0,1,4.16704,3.297,6.81818,3.75034,0.20359,1.192,0.41946,0.90196,0.17807,0.7739,1,11,10,,2.15073,11,2.2502,5.24413,,2.5084,22.99647,41.94642,241.25,117.09512,3.24031,0.43352,0.24908,0.47986,5.73374,0.0,1,0.68506,0.46152,11,1,0,49.99552,229.97939,0.75738,11,11,75.0,0.4749,177.59961,0.11562,1.48131,11,45.83744,32.61162,16.66816,11.95759,0.07204,0.4589,0.73496,0.61549,1.0274,,0.04467,1.0
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,roll,pos_des_raw_right_ankle_roll_joint,1.0,9.2892,100.00896,11,2.18744,0.38097,0.22858,5.00045,3,underdamped_timedomain,-89.99194,0.82804,17.93035,4.16704,1.0,1,4.16704,5.495,7.08494,3.75034,0.20359,2.00128,0.24984,0.59497,,,0,11,11,0.03659,4.409,11,5.25047,3.18507,4.41195,2.5084,22.99647,24.98395,241.25,196.59505,3.24031,0.19599,0.28217,0.15671,17.93035,0.0,1,0.96131,0.36608,11,1,6,-89.99194,154.98611,0.82804,11,11,135.0,0.53973,-76.49454,0.2263,1.95412,11,37.50336,38.04689,8.33408,11.82902,0.07204,1.1857,0.82526,1.45861,0.69863,,0.00956,-0.33333
