dataset,case_label,side,axis,phase,n_samples,duration_sec,pos_peak1_hz,pos_peak1_amp,pos_peak2_hz,pos_peak2_amp,pos_peak3_hz,pos_peak3_amp,pos_energy_2-4Hz,pos_energy_4-8Hz,pos_energy_8-15Hz,pos_energy_15-20Hz,pos_osc_rad,des_peak1_hz,des_peak1_amp,des_peak2_hz,des_peak2_amp,des_peak3_hz,des_peak3_amp,des_energy_2-4Hz,des_energy_4-8Hz,des_energy_8-15Hz,des_energy_15-20Hz,des_osc_rad,err_peak1_hz,err_peak1_amp,err_peak2_hz,err_peak2_amp,err_peak3_hz,err_peak3_amp,err_energy_2-4Hz,err_energy_4-8Hz,err_energy_8-15Hz,err_energy_15-20Hz,err_osc_rad
sim,3505,left,roll,stance,412,4.12,6.311,0.02278,6.068,0.02267,12.379,0.01436,0.011,0.349,0.2277,0.1108,0.0664,6.311,0.03168,6.068,0.02618,6.554,0.02107,0.0638,0.2847,0.1396,0.0523,0.13226,1.942,0.01374,6.554,0.01341,6.311,0.01244,0.0861,0.1749,0.1321,0.1056,0.11195
sim,3505,right,pitch,all,1554,15.54,1.416,0.04188,1.48,0.02778,1.351,0.01526,0.0049,0.0032,0.0008,0.0001,0.06889,1.416,0.10079,1.48,0.06639,2.832,0.05507,0.1534,0.1212,0.0533,0.005,0.21129,1.416,0.07965,1.48,0.05221,2.832,0.04327,0.0565,0.0835,0.035,0.0035,0.19553
sim,3505,right,pitch,swing,778,7.78,2.828,0.04573,2.956,0.03462,2.699,0.01582,0.0457,0.0038,0.0022,0.0004,0.07551,2.828,0.09106,2.956,0.06824,8.612,0.0375,0.4102,0.0896,0.1563,0.055,0.21177,2.828,0.06986,2.956,0.05307,5.784,0.04233,0.1471,0.0674,0.0751,0.0394,0.19949
sim,3505,right,pitch,stance,776,7.76,2.835,0.03385,2.964,0.02124,2.706,0.01587,0.0205,0.003,0.0028,0.0012,0.06107,2.835,0.1036,2.964,0.06231,5.67,0.05401,0.4605,0.1436,0.0965,0.0231,0.21041,2.835,0.07872,2.964,0.04598,5.67,0.04261,0.1603,0.0567,0.0637,0.0155,0.1914
sim,3505,right,roll,all,1554,15.54,1.417,0.00866,1.481,0.00574,4.315,0.00416,0.0113,0.1441,0.0525,0.0113,0.01956,1.417,0.07155,1.481,0.04617,1.352,0.0275,0.0354,0.0698,0.028,0.0082,0.12614,1.417,0.06292,1.481,0.04044,1.352,0.02433,0.0459,0.0761,0.0311,0.0091,0.11388
sim,3505,right,roll,swing,778,7.78,2.832,0.0091,2.96,0.00673,2.703,0.00318,0.5902,0.0627,0.1274,0.0242,0.02074,2.832,0.06871,2.96,0.05062,5.792,0.03883,0.4377,0.1866,0.0251,0.006,0.13085,2.832,0.05968,2.96,0.04392,5.792,0.03641,0.4041,0.2024,0.0294,0.0059,0.11593
sim,3505,right,roll,stance,776,7.76,2.835,0.0077,2.964,0.00468,2.706,0.00389,0.3304,0.0561,0.0199,0.0256,0.01786,2.835,0.05769,2.964,0.03391,5.67,0.02979,0.1966,0.0617,0.0378,0.0258,0.11762,2.835,0.05053,2.964,0.02942,5.67,0.02923,0.1787,0.0713,0.046,0.0301,0.10887
sim,4005,left,pitch,all,1841,18.41,1.413,0.03223,1.467,0.02402,2.88,0.01626,0.005,0.0017,0.0009,0.0003,0.06025,1.413,0.09722,2.88,0.0936,2.826,0.08558,0.1623,0.0599,0.0137,0.0029,0.22917,1.413,0.12094,2.88,0.10395,2.826,0.09505,0.3477,0.133,0.033,0.004,0.26961
sim,4005,left,pitch,swing,1476,14.76,1.695,0.03299,1.763,0.02496,1.627,0.01262,0.002,0.0021,0.0009,0.0005,0.05775,1.695,0.10031,1.763,0.07557,3.458,0.0754,0.1233,0.0558,0.0248,0.0023,0.2255,1.695,0.13042,1.763,0.0983,3.458,0.07761,0.2363,0.1405,0.056,0.0041,0.26768
sim,4005,left,pitch,stance,365,3.65,1.918,0.00555,14.521,0.00501,14.247,0.00455,0.0004,0.0011,0.0014,0.0006,0.05883,8.767,0.06258,8.219,0.05897,8.493,0.04992,0.003,0.0407,0.1499,0.108,0.24315,8.767,0.06674,8.219,0.06072,8.493,0.05187,0.0086,0.0611,0.2633,0.1847,0.27612
sim,4005,left,roll,all,1841,18.41,1.413,0.05138,1.467,0.03852,2.88,0.02964,0.1487,0.0229,0.0107,0.0006,0.09193,1.413,0.11639,1.467,0.08735,1.359,0.03643,0.0362,0.0271,0.0134,0.002,0.19044,1.413,0.07675,1.467,0.05769,2.88,0.03775,0.0987,0.0575,0.0308,0.0049,0.1425
sim,4005,left,roll,swing,1476,14.76,1.695,0.05315,1.763,0.04034,3.458,0.02546,0.1147,0.0148,0.0198,0.001,0.09562,1.695,0.1198,1.763,0.09131,1.627,0.04504,0.0049,0.0286,0.0147,0.0032,0.1964,1.695,0.08167,1.763,0.06225,1.627,0.0309,0.0474,0.0482,0.0259,0.0076,0.14657
sim,4005,left,roll,stance,365,3.65,8.767,0.01696,8.219,0.01625,7.945,0.01407,0.0085,0.1238,0.2333,0.1839,0.06727,1.918,0.01866,1.644,0.01787,8.493,0.01751,0.0626,0.2002,0.1502,0.1083,0.1166,1.918,0.01471,1.644,0.01329,8.767,0.01187,0.0887,0.1542,0.1947,0.1104,0.09399
sim,4005,right,pitch,all,1841,18.41,1.413,0.04002,1.467,0.02979,2.88,0.0166,0.0064,0.0036,0.0012,0.0002,0.06899,1.413,0.09964,1.467,0.07462,2.88,0.04888,0.1266,0.1263,0.0584,0.007,0.20516,1.413,0.07785,1.467,0.05818,4.294,0.03586,0.0407,0.0925,0.0422,0.0049,0.18463
sim,4005,right,pitch,swing,1033,10.33,2.519,0.04794,2.423,0.0264,2.616,0.02372,0.0468,0.0063,0.0016,0.0008,0.0765,2.519,0.10137,2.423,0.05427,2.616,0.05055,0.4512,0.1454,0.0657,0.0355,0.19752,2.519,0.07505,2.423,0.03939,5.039,0.03869,0.1785,0.0967,0.0615,0.0352,0.17692
sim,4005,right,pitch,stance,808,8.08,3.342,0.03018,3.218,0.02227,3.465,0.01142,0.0187,0.0037,0.0016,0.0015,0.0574,3.342,0.09452,3.218,0.07252,6.559,0.04967,0.4442,0.1749,0.091,0.0613,0.21429,3.342,0.07043,3.218,0.05526,6.559,0.03904,0.1295,0.0556,0.0514,0.0353,0.19319
sim,4005,right,roll,all,1841,18.41,1.413,0.01348,1.467,0.01017,4.294,0.00886,0.046,0.1712,0.0346,0.0079,0.02731,1.413,0.07252,1.467,0.05409,4.294,0.02511,0.0375,0.0553,0.0244,0.0037,0.12688,1.413,0.05963,1.467,0.04435,4.294,0.02155,0.0513,0.0632,0.034,0.0057,0.10906
sim,4005,right,roll,swing,1033,10.33,2.519,0.01762,2.423,0.00931,2.616,0.0087,0.4972,0.1496,0.0219,0.0148,0.03149,2.519,0.06995,2.423,0.03879,5.039,0.03798,0.4203,0.1584,0.0247,0.0133,0.12594,2.519,0.05281,5.039,0.03144,2.423,0.02976,0.3794,0.1827,0.0291,0.0173,0.10032
sim,4005,right,roll,stance,808,8.08,3.342,0.00739,3.218,0.00573,6.559,0.00549,0.1499,0.1137,0.0763,0.0256,0.02075,3.342,0.06185,3.218,0.04633,6.559,0.02484,0.2144,0.0506,0.0234,0.0124,0.12207,3.342,0.05446,3.218,0.04061,6.559,0.02357,0.2092,0.0567,0.0346,0.018,0.11314
sim,5008,left,pitch,all,1869,18.69,1.446,0.03151,1.392,0.02474,2.838,0.01573,0.0043,0.0012,0.0011,0.0004,0.05906,2.838,0.09475,1.446,0.08842,2.891,0.07917,0.1461,0.0714,0.0126,0.0029,0.22595,1.446,0.11334,2.838,0.10308,1.392,0.09038,0.34,0.1729,0.0344,0.0049,0.26412
sim,5008,left,pitch,swing,1369,13.69,1.899,0.03466,1.972,0.0189,1.826,0.01595,0.0036,0.0011,0.0009,0.0007,0.05822,1.899,0.10008,3.799,0.09484,3.872,0.05544,0.1408,0.0587,0.022,0.0025,0.2241,1.899,0.13086,3.799,0.10143,1.972,0.06907,0.2962,0.1311,0.0515,0.0048,0.2644
sim,5008,left,pitch,stance,500,5.0,5.812,0.02101,5.612,0.01994,11.424,0.00885,0.0013,0.009,0.0026,0.0005,0.05876,5.812,0.05976,5.612,0.0543,11.424,0.05069,0.0042,0.0652,0.0868,0.0477,0.22694,5.812,0.07091,5.612,0.06241,11.424,0.05952,0.0187,0.2203,0.2795,0.1299,0.2621
sim,5008,left,roll,all,1869,18.69,1.446,0.06216,1.392,0.04845,2.838,0.0325,0.1131,0.0157,0.0074,0.0005,0.10952,1.446,0.11243,1.392,0.08794,2.838,0.03486,0.0379,0.0317,0.0139,0.0021,0.18948,1.446,0.06364,1.392,0.04986,2.838,0.03594,0.1161,0.0993,0.0414,0.0071,0.13065
sim,5008,left,roll,swing,1369,13.69,1.899,0.06677,1.972,0.03649,3.799,0.03516,0.1139,0.0131,0.021,0.0019,0.11302,1.899,0.12135,1.972,0.06676,1.826,0.05562,0.0216,0.0329,0.0143,0.0038,0.19194,1.899,0.07137,1.972,0.03924,3.799,0.03422,0.0885,0.098,0.0323,0.0143,0.13539
sim,5008,left,roll,stance,500,5.0,5.612,0.04444,5.812,0.04426,5.411,0.01567,0.0254,0.354,0.0546,0.0254,0.09903,5.812,0.0786,5.612,0.07856,11.424,0.03139,0.0393,0.3452,0.0813,0.0085,0.17934,5.812,0.03909,5.612,0.03797,11.424,0.02437,0.0476,0.2953,0.1861,0.0215,0.11347
sim,5008,right,pitch,all,1869,18.69,1.446,0.03813,1.392,0.03008,2.838,0.01814,0.0077,0.0035,0.0013,0.0003,0.06918,1.446,0.09472,1.392,0.07426,2.838,0.04608,0.105,0.1318,0.0633,0.0082,0.20235,1.446,0.07135,1.392,0.05572,4.283,0.03649,0.0331,0.1066,0.0541,0.0062,0.18241
sim,5008,right,pitch,swing,981,9.81,2.753,0.04215,2.651,0.04128,2.549,0.0146,0.0525,0.0034,0.0037,0.0005,0.07778,2.753,0.0881,2.651,0.08427,2.549,0.03045,0.4012,0.0657,0.1174,0.0224,0.20027,2.753,0.05682,2.651,0.05424,5.403,0.03912,0.1821,0.1013,0.1462,0.0281,0.17898
sim,5008,right,pitch,stance,888,8.88,3.044,0.02851,2.932,0.01765,3.157,0.01463,0.0175,0.0048,0.0023,0.0009,0.05763,3.044,0.08015,6.089,0.05071,2.932,0.04935,0.3598,0.1994,0.1249,0.0772,0.20222,3.044,0.05747,6.089,0.03826,2.932,0.03508,0.0854,0.0535,0.0521,0.0325,0.18189
sim,5008,right,roll,all,1869,18.69,1.446,0.02062,1.392,0.01618,4.283,0.01208,0.084,0.1414,0.0188,0.0057,0.03925,1.446,0.06973,1.392,0.05472,2.838,0.02309,0.0444,0.0486,0.0275,0.0042,0.12119,1.446,0.05183,1.392,0.0407,2.838,0.02161,0.0663,0.0596,0.0446,0.009,0.09681
sim,5008,right,roll,swing,981,9.81,2.753,0.01675,2.651,0.01623,5.403,0.01063,0.4516,0.1966,0.1057,0.0383,0.03835,2.753,0.04045,2.651,0.03997,5.403,0.03139,0.3933,0.2392,0.0809,0.0314,0.09957,2.753,0.02497,2.651,0.02482,5.403,0.0224,0.3111,0.2611,0.1313,0.0394,0.07152
sim,5008,right,roll,stance,888,8.88,3.044,0.01666,6.089,0.01325,2.932,0.01037,0.196,0.1735,0.0537,0.006,0.03818,3.044,0.06813,2.932,0.04168,3.157,0.03575,0.2121,0.0371,0.0101,0.0054,0.12086,3.044,0.05614,2.932,0.03438,3.157,0.0298,0.2288,0.0372,0.0143,0.0074,0.10203
