dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,touchdown_time_sec,lag_samples,lag_ms,corr,tracking_lag_ms,xcorr_coeff,range_gain_phase,joint_vel_rms_radps,target_vel_rms_radps,velocity_self_excitation_ratio,joint_lock_flag,raw_sample_count,aligned_sample_count,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_hp_rms_rad,joint_direction_change_rate_hz,target_direction_change_rate_hz,joint_extrema_rate_hz,joint_dominant_freq_hz,target_dominant_freq_hz,f_modal_candidate_hz,freq_gap_hz,amplitude_gain,aligned_tracking_err_rms_rad,aligned_tracking_err_hp_rms_rad,aligned_tracking_err_path_rad,step_risk_score,step_accumulation_score,risk_tags,overall_status
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,roll,1777514425.4288707,4,39.99805450439453,0.4513864346775285,39.99805450439453,0.4513864346775285,0.7917810699091814,4.620775823460705,10.68017292151024,0.4326499072083657,0,15,11,0.464002,0.367388,0.776907,0.3951382,0.019633688763059827,10.000486397558475,30.001459192675426,10.000486397558475,9.091351270507705,9.091351270507705,9.091351270507705,0.0,0.7917810699091814,0.5393351518239603,0.06027670554940071,0.703534088,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,left,pitch,1777514425.4288707,4,39.99805450439453,0.2729341934962733,39.99805450439453,0.2729341934962733,2.8924090781880953,3.0435152198013533,2.7590328920030025,1.1031094368693164,0,15,11,0.07503699999999996,0.2170377,0.15259199999999984,0.2724857,0.016638167565650154,10.000486397558475,30.001459192675426,10.000486397558475,9.091351270507705,9.091351270507705,9.091351270507705,0.0,2.8924090781880953,0.5152903738032579,0.023111580113832932,0.27248570000000005,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,roll,1777514425.4288707,4,39.99805450439453,0.32104270697529996,39.99805450439453,0.32104270697529996,0.3368756318440938,1.4843409582425309,7.140218963989949,0.2078845152688542,0,15,11,0.19681477,0.0663021,0.44264163999999995,0.11247950000000001,0.010743696533989959,10.000486397558475,40.0019455902339,10.000486397558475,9.091351270507705,18.18270254101541,9.091351270507705,9.091351270507705,0.3368756318440938,0.06339122991275464,0.04681173920697765,0.44769394,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,touchdown,right,pitch,1777514425.4288707,0,0.0,-0.5528573843674732,0.0,-0.5528573843674732,0.15694413932620008,1.3050695501490428,10.678435992243381,0.1222154209752272,0,15,15,0.7419709999999999,0.116448,0.8622859999999997,0.15187999999999996,0.00700110485779315,7.143204569684625,28.5728182787385,0.0,6.66699093170565,6.66699093170565,6.66699093170565,0.0,0.15694413932620008,0.22687154878938437,0.07201060205877823,0.9871739999999999,64.57,2,high_tracking_err;velocity_self_excitation;amplitude_overshoot;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,roll,1777514425.7888448,5,49.997568130493164,0.4746179087960005,49.997568130493164,0.4746179087960005,0.6628542157393762,2.7821894305173362,3.353459188629546,0.8296476187784859,0,33,28,0.6192342,0.410462,0.7216302000000002,0.6179701000000001,0.011692637775775715,11.11165155284275,7.407767701895167,11.11165155284275,3.5716022848423123,3.5716022848423123,3.5716022848423123,0.0,0.6628542157393762,0.33917421367859507,0.014793120941119925,0.5930772999999999,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,left,pitch,1777514425.7888448,3,29.9985408782959,0.38617814130604305,29.9985408782959,0.38617814130604305,1.1969714778247924,1.9220671754670708,3.2304246680216333,0.594989010111843,0,33,30,0.25523999999999997,0.305515,0.3378169999999999,0.3692274999999998,0.007475818779674007,3.4484435853649913,6.896887170729983,0.0,3.333495465852825,3.333495465852825,6.66699093170565,3.333495465852825,1.1969714778247924,0.34141349319149666,0.021505785055465517,0.5253029,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,right,roll,1777514425.7888448,0,0.0,0.20966347197218616,0.0,0.20966347197218616,0.41315968137985615,1.0449155607476792,4.758419357560722,0.2195929955369313,0,33,33,0.2951728,0.1219535,0.7589889999999999,0.2821899,0.0044626972152873685,15.625759996185117,46.87727998855535,12.500607996948094,3.030450423502568,9.091351270507705,3.030450423502568,6.060900847005136,0.41315968137985615,0.06132075795755817,0.03289349460917961,0.8397906,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,swing,right,pitch,1777514425.7888448,20,199.99027252197266,0.49804904190236704,199.99027252197266,0.49804904190236704,2.7411331359302684,4.769959703166209,2.408154047764145,1.9807535600120292,0,33,13,0.125969,0.3452978,0.22448,0.34717380000000003,0.030235240401534007,8.333738664632062,41.66869332316031,8.333738664632062,7.69268184427575,7.69268184427575,7.69268184427575,0.0,2.7411331359302684,0.10099580322889279,0.03116555966682701,0.4771198000000001,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,touchdown,left,roll,1777514425.7888448,0,0.0,-0.1423773188361535,0.0,-0.1423773188361535,3.5040573931214913,3.7509945971125527,3.1038837953760186,1.2084842231209045,0,14,14,0.10939289999999999,0.38331899999999997,0.30232696,0.439476,0.017763693770499234,7.69268184427575,30.770727377103,7.69268184427575,7.143204569684625,7.143204569684625,7.143204569684625,0.0,3.5040573931214913,0.17686965289910517,0.030452157982444574,0.65139376,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,touchdown,left,pitch,1777514425.7888448,3,29.9985408782959,0.512776277427897,29.9985408782959,0.512776277427897,1.878359249637044,2.13658769518639,2.309128425341791,0.9252788505559789,0,14,11,0.10469600000000001,0.1966567,0.18371900000000002,0.1966567,0.010540065375204168,0.0,30.001459192675426,0.0,9.091351270507705,9.091351270507705,9.091351270507705,0.0,1.878359249637044,0.14107466787952463,0.014206951343754578,0.1661561,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,touchdown,right,roll,1777514425.7888448,0,0.0,0.18974630180858063,0.0,0.18974630180858063,0.11411220689937392,0.8070327506383485,11.50816396406728,0.07012697708845664,0,14,14,0.42764749999999996,0.048799800000000004,1.2367264999999998,0.089464728,0.005312365582664751,15.3853636885515,38.46340922137875,15.3853636885515,14.28640913936925,7.143204569684625,7.143204569684625,0.0,0.11411220689937392,0.21975693987722975,0.08334332432311613,1.2204156599999998,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,touchdown,right,pitch,1777514425.7888448,0,0.0,0.0,0.0,0.0,nan,3.5815604973663397,0.0,nan,0,14,14,0.0,0.29163700000000004,0.0,0.2955304000000001,0.026341478608632018,15.3853636885515,0.0,15.3853636885515,7.143204569684625,28.5728182787385,7.143204569684625,21.429613709053875,nan,0.4769853500393189,0.026341478608631997,0.2955304000000001,32.54,2,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,swing,left,roll,1777514426.0589106,18,179.9912452697754,0.28949530472249174,179.9912452697754,0.28949530472249174,3.140395766087196,3.015816485378622,3.163298401513386,0.9533771723640724,0,32,14,0.10939289999999999,0.343537,0.32653043,0.35457299999999997,0.011519842819322943,7.69268184427575,30.770727377103,7.69268184427575,7.143204569684625,7.143204569684625,7.143204569684625,0.0,3.140395766087196,0.14363817356345573,0.024706622200758217,0.40192455000000005,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,swing,left,pitch,1777514426.0589106,8,79.99610900878906,0.21869116256262436,79.99610900878906,0.21869116256262436,1.9216331624601615,1.9734985545908437,2.9223180905948873,0.6753195557123983,0,32,24,0.19390599999999997,0.3726162,0.4553519999999999,0.4093292000000001,0.005613161785552999,4.348037564155859,43.48037564155859,4.348037564155859,4.166869332316031,4.166869332316031,4.166869332316031,0.0,1.9216331624601615,0.0834415071984561,0.02057187734556298,0.48327039999999977,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,swing,right,roll,1777514426.0589106,5,49.997568130493164,0.2927264069030096,49.997568130493164,0.2927264069030096,0.08073967017259909,0.6130911109272881,9.879060271058297,0.06205965892559643,0,32,27,0.5402462,0.0436193,1.9809721999999998,0.134585528,0.003570890243358675,26.924386454965124,50.00243198779238,26.924386454965124,3.7038838509475833,7.407767701895167,7.407767701895167,0.0,0.08073967017259909,0.2290874817379217,0.07306304939584962,1.9401088921999996,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,swing,right,pitch,1777514426.0589106,0,0.0,0.0,0.0,0.0,nan,3.4056255400077307,0.0,nan,0,32,32,0.0,0.539007,0.0,0.5579764000000002,0.017260519231157196,16.129816770255605,0.0,16.129816770255605,3.1251519992370236,25.00121599389619,3.1251519992370236,21.876063994659166,nan,0.49743449200792517,0.0172605192311572,0.5579764,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,touchdown,left,roll,1777514426.0589106,0,0.0,0.13114262607586466,0.0,0.13114262607586466,0.3060926854584186,2.869515794173065,7.6502348279180765,0.3750885899216208,0,16,16,0.662844,0.2028917,0.8853552,0.3409414,0.017455081277886635,20.00097279511695,33.33495465852825,13.3339818634113,6.250303998474047,6.250303998474047,6.250303998474047,0.0,0.3060926854584186,0.39205802911186793,0.046434973820772975,0.9488901999999999,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,touchdown,left,pitch,1777514426.0589106,0,0.0,0.15723761658501603,0.0,0.15723761658501603,3.977070574994207,4.174846689412095,4.251798953937963,0.9819012457175107,0,16,16,0.120836,0.4805733,0.30010499999999996,0.4805733,0.012897551843974677,0.0,13.3339818634113,0.0,6.250303998474047,18.75091199542214,6.250303998474047,12.500607996948093,3.977070574994207,0.31480498675474616,0.029179359933651255,0.6225302999999998,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,touchdown,right,roll,1777514426.0589106,1,9.999513626098633,0.10250689604340911,9.999513626098633,0.10250689604340911,0.18399414147050056,0.8691929317830687,8.580519279415675,0.10129840671394189,0,16,15,0.41580399999999995,0.0765055,0.99525428,0.07832689999999998,0.00584270788835026,14.28640913936925,28.5728182787385,14.28640913936925,6.66699093170565,6.66699093170565,6.66699093170565,0.0,0.18399414147050056,0.10994086712108775,0.06267085049292123,0.9856513799999999,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,touchdown,right,pitch,1777514426.0589106,0,0.0,0.08212256854974682,0.0,0.08212256854974682,0.8272561310445232,2.2575708206749288,10.244589069260348,0.2203671426361979,0,16,16,0.32997639999999995,0.27297499999999997,0.8346197999999998,0.272975,0.011122582123426927,0.0,20.00097279511695,0.0,6.250303998474047,6.250303998474047,6.250303998474047,0.0,0.8272561310445232,0.42898160682416653,0.07055614823106138,0.9374902,37.14,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,swing,left,roll,1777514426.4787288,12,119.9941635131836,0.21473811537926352,119.9941635131836,0.21473811537926352,0.15648866994325475,0.6820664120259707,5.66777381469562,0.12034114880475345,0,34,22,0.526564,0.0824013,0.87215,0.10294840000000001,0.003779923559673853,23.81068189894875,23.81068189894875,23.81068189894875,4.545675635253852,9.091351270507705,9.091351270507705,0.0,0.15648866994325475,0.37127147667435334,0.03947329582598888,0.8600321999999998,35.56,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,swing,left,pitch,1777514426.4787288,3,29.9985408782959,0.332163772484588,29.9985408782959,0.332163772484588,0.5396576645112212,0.7857912029044197,3.0269831357602723,0.2595955007549312,0,34,31,0.18402999999999997,0.09931320000000002,0.18402999999999997,0.1840121,0.004314338697469051,6.66699093170565,0.0,0.0,3.225963354051121,3.225963354051121,6.451926708102242,3.225963354051121,0.5396576645112212,0.46360330999391974,0.021246250233123997,0.31572409999999995,35.56,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,swing,right,roll,1777514426.4787288,20,199.99027252197266,0.0903862493697502,199.99027252197266,0.0903862493697502,1.662974200026193,1.2396996975811194,1.5418794227271224,0.8040185758419828,0,34,14,0.06413959999999999,0.1066625,0.16319660000000002,0.13473536,0.00870287696174846,15.3853636885515,38.46340922137875,15.3853636885515,7.143204569684625,7.143204569684625,7.143204569684625,0.0,1.662974200026193,0.07018726614867207,0.014017632587590216,0.22852996,35.56,2,high_tracking_err;amplitude_overshoot;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,swing,right,pitch,1777514426.4787288,20,199.99027252197266,0.33091742752663406,199.99027252197266,0.33091742752663406,3.865862539224384,2.553424064596154,1.5818701305368374,1.614180592517795,0,34,14,0.07552699999999998,0.291977,0.155619,0.312592,0.009298068176816861,7.69268184427575,15.3853636885515,7.69268184427575,7.143204569684625,7.143204569684625,7.143204569684625,0.0,3.865862539224384,0.16588706167622425,0.01515345823403603,0.32253699999999996,35.56,2,high_tracking_err;amplitude_overshoot;warn,fail
