dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,cycle_index,lag_ms,target_amplitude_rad,joint_amplitude_rad,amplitude_gain,segment_duration_sec,equivalent_frequency_hz,segment_tracking_err_rms_rad,segment_target_path_rad,segment_joint_path_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,1,49.997568130493164,0.005790699999999999,0.013430069999999999,nan,0.0400846004486084,12.473618157702214,0.02337726660247556,0.009416499999999998,0.01343007
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,2,49.997568130493164,0.0254932,0.049751039999999996,1.9515415875606041,0.07003521919250488,7.139265154945209,0.011129735162586418,0.029417000000000006,0.04975104
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,3,49.997568130493164,0.5199037,0.037674299999999994,0.07246399669785,0.09001016616821289,5.554928085185283,0.3227174513400802,0.6431357,0.0380239
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,4,49.997568130493164,0.026479999999999948,0.0018622999999999973,0.07032854984894263,0.029987096786499023,16.67383820314053,0.4778246789602516,0.15754,0.009474299999999991
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,5,49.997568130493164,0.07094500000000004,0.006545200000000001,0.0922573824793854,0.02004098892211914,24.94886863832116,0.5662541691544855,0.07094500000000004,0.006545200000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,1,9.999513626098633,0.0007679999999999909,0.004149999999999987,nan,0.030119657516479492,16.600454361953915,0.009642181871858668,0.004918000000000089,0.004157999999999995
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,2,9.999513626098633,0.15837900000000002,0.037573999999999996,0.2372410483713118,0.10003137588500977,4.998431697818201,0.09739928343985065,0.22461180000000003,0.037582000000000004
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,3,9.999513626098633,0.028876000000000013,0.09061519999999999,3.1380800664912023,0.020013093948364258,24.98364327325145,0.32230534539968464,0.18323599999999995,0.09061519999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,4,9.999513626098633,0.024405999999999983,0.0177721,0.7281856920429407,0.02015233039855957,24.811026323572907,0.20165768161658673,0.040302000000000004,0.0177721
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,5,9.999513626098633,0.04175300000000001,0.025760520000000002,0.6169741096448158,0.019965410232543945,25.043312117123033,0.1104761221375497,0.10930980000000001,0.02576052
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,6,9.999513626098633,0.10342000000000001,0.03205898,0.3099882034422742,0.060012102127075195,8.3316528213135,0.2970954787215917,0.35757999999999995,0.03205898
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,roll,1,199.99027252197266,0.003061000000000036,0.0035312,nan,0.030119657516479492,16.600454361953915,0.3375117783969213,0.016909000000000007,0.00847
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,roll,2,199.99027252197266,0.0013140000000000374,0.0037503,nan,0.01999640464782715,25.004494998271156,0.3325005421712121,0.007552000000000003,0.0037503
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,roll,3,199.99027252197266,0.20101999999999998,0.0059816,0.029756243159884593,0.05998826026916504,8.334964170598031,0.2477383337432836,0.20101999999999998,0.0209884
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,pitch,1,119.9941635131836,0.605669,0.010444999999999982,0.017245393110758487,0.14011597633361816,3.568472440355358,0.35013437797141544,0.914331,0.031053000000000053
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,pitch,2,119.9941635131836,0.47388399999999997,0.016419000000000017,0.0346477196951153,0.029970884323120117,16.68285775652907,0.2584916960054036,0.5865720000000001,0.016419000000000017
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,pitch,3,119.9941635131836,0.05579999999999996,0.014465999999999979,0.2592473118279568,0.019978046417236328,25.02747213404301,0.07173518791360343,0.05579999999999996,0.014465999999999979
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,roll,1,0.0,0.18352799999999997,0.111066,0.6051719628612529,0.09985566139221191,5.0072273622634755,0.47541621027946956,0.18598200000000004,0.111066
