timestamp_ns,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint
1775801474342631809,-0.0244217,0.170937,0.0732574,0.366302,0.0391615,-0.0954306,0.0732574,-0.0732574,0.0244217,0.0732574,-2.5015e-05,-0.071567
1775801474343067767,0.170937,-0.0732574,0.122101,0.317459,-0.0391384,0.0477179,0.366302,0.21978,0.122101,0.268623,-8.32834e-06,-0.0238581
1775801474343808864,0.170937,-0.0732574,0.122101,0.317459,-0.0391384,0.0477179,0.366302,0.21978,0.122101,0.268623,-8.32834e-06,-0.0238581
1775801474344756487,0.21978,-0.170937,0.0732574,0.0732574,-0.0391384,0.0477179,-0.21978,0.268623,0.122101,0.170937,0.039094,-0.09542
1775801474345724976,0.170937,0.122101,-0.0732574,0.122101,-0.195602,-0.0476868,0.170937,0.0244217,0.0732574,-0.21978,-0.0391273,-5.08492e-06
1775801474346772259,-0.0244217,0.0244217,0.0244217,-0.0732574,-0.0391384,0.0477179,0.0244217,-0.0732574,0.122101,-0.0732574,8.33921e-06,0.0238581
1775801474347716701,0.366302,-0.122101,-0.0244217,0.170937,8.49318e-06,-0.0238582,0.268623,-0.0244217,0.0244217,-0.268623,0.313003,0.0238988
1775801474348718660,0.0732574,0.122101,0.122101,0.170937,-0.195602,-0.0476868,-0.0244217,-0.170937,-0.0732574,-0.0732574,0.156489,-0.0238378
1775801474349786909,0.21978,-0.170937,0.170937,0.0244217,-0.11737,1.5535e-05,0.122101,0.170937,-0.170937,-0.170937,0.0390712,-0.143133
1775801474350797937,-0.0244217,0.0244217,0.0244217,-0.170937,0.195693,-0.190877,-0.122101,0.122101,-0.122101,-0.317459,0.0782236,-0.0715605
1775801474351812214,0.0244217,-0.122101,0.21978,-0.122101,0.117427,-0.143154,-0.170937,0.317459,0.122101,-0.610504,0.156455,-0.119263
1775801474352749159,-0.170937,0.0732574,0.317459,0.170937,0.469508,-0.0239166,-0.170937,-0.0732574,0.122101,0.0244217,0.430304,-0.190798
1775801474353841608,0.0244217,0.21978,0.268623,0.366302,0.23484,-0.262453,-0.0732574,0.317459,0.0732574,-0.65934,0.704236,-0.0237662
1775801474354820066,-0.0244217,0.170937,0.268623,-0.317459,0.430355,0.0476557,0.0732574,-0.0732574,-0.0244217,-0.366302,0.66515,0.0955121
1775801474355775043,-0.170937,0.0732574,0.268623,-0.268623,0.704271,-0.0716604,0.561661,0.366302,-0.0244217,-0.512817,0.704252,0.0239501
1775801474356758546,-0.854698,0.0732574,0.463982,-0.463982,0.743424,-0.14324,0.561661,0.170937,-0.0244217,-0.415138,1.01725,0.0239873
1775801474357827672,-0.561661,-0.21978,0.512817,-0.463982,0.821657,-0.0955381,0.708183,0.0244217,-0.0732574,-0.65934,1.0172,-0.119151
1775801474358832448,-0.317459,-0.0732574,0.415138,-0.0244217,0.821658,-0.0955388,0.757019,0.122101,-0.122101,-0.463982,0.938965,-0.0714481
1775801474359847057,-0.317459,-0.170937,0.463982,-0.708183,0.939009,-0.0239833,0.610504,0.170937,-0.21978,-0.463982,1.13459,-0.0952769
1775801474360741555,-0.268623,-0.122101,0.463982,-0.561661,0.978156,-0.0955596,0.805862,-0.122101,-0.268623,-0.65934,1.17372,-0.0714167
1775801474361797172,-0.463982,0.21978,0.512817,-0.708183,1.44769,-0.191044,0.708183,0.268623,-0.268623,-0.757019,1.25195,-0.119119
1775801474362837990,-0.415138,0.170937,0.268623,-0.561661,1.29113,-0.000172847,1.0989,0.0244217,-0.268623,-0.903542,1.09551,0.024003
1775801474363854401,-0.610504,0.170937,0.512817,-0.415138,1.21293,-0.143301,0.854698,0.122101,-0.317459,-1.14774,1.33022,-0.0713952
1775801474364761556,-0.805862,0.0732574,0.512817,-0.366302,1.36939,-0.0478974,0.952377,0.268623,-0.366302,-1.05006,1.17369,-0.166841
1775801474365903229,-0.610504,-0.0244217,0.512817,-1.05006,1.13469,-0.191008,1.05006,0.170937,-0.366302,-0.854698,1.44766,0.0956182
1775801474366782627,-0.757019,-0.0244217,0.610504,-1.39194,1.40853,-0.0717586,1.14774,0.21978,-0.415138,-1.14774,1.09546,-0.119138
1775801474367795251,-0.610504,0.0732574,0.757019,-1.39194,1.21288,-0.000165279,0.952377,0.268623,-0.463982,-1.5873,1.29113,0.000172669
1775801474368710018,-0.610504,0.0732574,0.757019,-1.39194,1.21288,-0.000165279,0.952377,0.268623,-0.463982,-1.5873,1.29113,0.000172669
1775801474369796548,-0.610504,-0.21978,0.708183,-1.14774,1.2911,0.0952493,1.05006,0.366302,-0.463982,-1.24542,0.978059,-0.190724
1775801474370843336,-0.805862,-0.0244217,0.610504,-1.39194,1.36933,0.142952,1.24542,0.268623,-0.463982,-1.63614,1.0172,-0.16686
1775801474371736567,-1.39194,0.317459,0.610504,-1.68498,1.17367,0.21455,1.24542,0.463982,-0.65934,-1.63614,0.70421,-0.119189
1775801474372724891,-1.14774,0.170937,0.805862,-1.0989,1.3302,0.166815,1.19658,0.463982,-0.805862,-1.44078,0.74333,-0.143042
1775801474373822240,-1.14774,0.0244217,0.757019,-1.3431,1.565,0.0236413,1.14774,0.317459,-0.65934,-1.39194,0.821629,0.000113082
1775801474374828112,-1.24542,-0.317459,0.757019,-1.3431,1.36932,0.190666,1.53846,0.317459,-0.65934,-1.39194,0.508559,-0.190783
1775801474375834304,-1.68498,0.170937,0.854698,-1.24542,1.33019,0.214526,1.48962,0.0244217,-0.757019,-1.78266,0.508559,-0.190783
1775801474376762859,-1.88034,-0.0244217,0.903542,-1.24542,1.21284,0.142969,1.68498,0.268623,-0.805862,-1.88034,0.391214,-0.119231
1775801474377880810,-1.3431,0.21978,1.00122,-1.5873,1.21284,0.142969,1.68498,0.122101,-0.757019,-1.97802,0.117325,-0.143125
1775801474378899974,-1.53846,-0.268623,0.854698,-1.92918,1.13459,0.142979,1.88034,0.366302,-0.757019,-1.97802,0.312995,-0.0238145
1775801474379873639,-1.53846,-0.268623,0.854698,-1.92918,1.13457,0.190696,1.5873,0.366302,-0.757019,-1.5873,0.39141,-0.0715565
1775801474380784819,-1.53846,-0.268623,0.854698,-1.92918,1.13457,0.190696,1.5873,0.366302,-0.757019,-1.5873,0.39141,-0.0715565
1775801474382214807,-1.44078,-0.463982,1.00122,-1.88034,1.21285,0.142966,1.63614,0.512817,-0.805862,-1.92918,0.274057,0.143243
1775801474382892634,-1.19658,-0.317459,1.19658,-2.3199,1.17372,0.16683,1.63614,0.21978,-0.854698,-1.88034,0.587141,-0.0476613
1775801474383900413,-1.44078,-0.122101,1.19658,-1.8315,1.33029,-0.0240499,1.88034,0.610504,-0.854698,-2.12454,0.469788,0.167139
1775801474384781262,-1.3431,0.0732574,1.19658,-1.8315,1.09549,0.119126,1.68498,0.463982,-0.854698,-2.12454,0.587199,0.0955484
1775801474385772659,-1.29426,-0.170937,1.24542,-1.68498,1.09549,0.119126,1.73382,0.268623,-0.952377,-2.22222,0.391529,0.262602
1775801474386819804,-0.952377,-0.122101,1.24542,-1.68498,0.899828,0.190724,1.73382,0.268623,-0.952377,-2.22222,0.704672,0.214907
1775801474387884930,-1.00122,0.0244217,1.19658,-1.97802,0.861061,0.310174,2.0757,0.170937,-0.952377,-1.88034,0.430604,0.0477927
1775801474388861779,-1.19658,0.0244217,1.19658,-1.88034,1.01817,0.119275,2.0757,0.21978,-0.854698,-2.22222,0.391466,0.0716578
1775801474389943463,-1.14774,-0.0244217,1.14774,-1.48962,1.01814,0.21479,1.97802,0.415138,-0.757019,-1.88034,0.391467,0.0716587
1775801474390825123,-1.14774,-0.0244217,1.14774,-1.48962,1.01814,0.21479,1.97802,0.415138,-0.757019,-1.88034,0.391467,0.0716587
1775801474392075502,-1.0989,-0.0732574,1.24542,-2.22222,1.33159,-0.215075,2.36874,0.0732574,-0.708183,-1.78266,0.70473,0.358125
1775801474392800663,-1.0989,-0.122101,1.14774,-2.22222,0.861564,0.0237749,2.0757,0.0732574,-0.708183,-1.73382,0.665516,0.143299
1775801474393901740,-1.19658,-0.0244217,1.19658,-2.61295,1.01826,-0.119524,2.17339,0.366302,-0.708183,-1.44078,0.665516,0.143299
1775801474394764461,-1.19658,-0.0244217,1.19658,-2.61295,1.01826,-0.119524,2.17339,0.366302,-0.708183,-1.44078,0.665516,0.143299
1775801474395909496,-1.24542,-0.21978,1.19658,-2.12454,1.09658,-0.0717718,2.17339,0.317459,-0.65934,-1.44078,0.939976,0.215028
1775801474396718772,-1.24542,-0.21978,1.19658,-2.12454,1.09658,-0.0717718,2.17339,0.317459,-0.65934,-1.44078,0.939976,0.215028
1775801474397894627,-1.92918,-0.268623,1.24542,-1.92918,0.900764,-0.0478756,2.0757,0.366302,-0.65934,-2.41758,0.861651,0.215021
1775801474398920462,-2.51526,-0.21978,1.14774,-2.0757,1.01828,-0.119528,2.46642,0.317459,-0.952377,-2.27106,0.979168,0.286677
1775801474399881284,-2.51526,-0.21978,1.14774,-2.0757,1.01828,-0.119528,2.46642,0.317459,-0.952377,-2.27106,0.979168,0.286677
1775801474400672509,-2.51526,-0.21978,1.14774,-2.0757,1.01828,-0.119528,2.46642,0.317459,-0.952377,-2.27106,0.979168,0.286677
1775801474401899436,-2.0757,-0.0732574,1.05006,-1.97802,0.900787,-0.095633,2.22222,0.610504,-1.0989,-2.27106,1.01833,0.262802
1775801474402697368,-2.0757,-0.0732574,1.05006,-1.97802,0.900787,-0.095633,2.22222,0.610504,-1.0989,-2.27106,1.01833,0.262802
1775801474404019499,-2.22222,-0.170937,1.00122,-2.71062,1.01831,-0.167292,2.02686,0.21978,-0.757019,-2.3199,0.822512,0.238899
1775801474404634420,-2.22222,-0.170937,1.00122,-2.71062,1.01831,-0.167292,2.02686,0.21978,-0.757019,-2.3199,0.822512,0.238899
1775801474405815759,-2.12454,-0.463982,0.903542,-2.17339,0.979074,0.0476326,2.36874,0.65934,-0.854698,-2.02686,0.939951,0.0717587
1775801474406659684,-2.12454,-0.463982,0.903542,-2.17339,0.979074,0.0476326,2.36874,0.65934,-0.854698,-2.02686,0.939951,0.0717587
1775801474407755886,-2.17339,-0.0244217,0.708183,-2.66178,0.822427,0.0476512,2.41758,0.21978,-0.805862,-2.22222,0.900853,0.238919
1775801474408665153,-2.17339,-0.0244217,0.708183,-2.66178,0.822427,0.0476512,2.41758,0.21978,-0.805862,-2.22222,0.900853,0.238919
1775801474409845202,-2.27106,0.0732574,0.903542,-2.41758,0.979121,-0.0478909,2.66178,0.854698,-0.757019,-2.17339,0.783274,-0.023779
1775801474410775464,-2.27106,0.0732574,0.903542,-2.41758,0.979121,-0.0478909,2.66178,0.854698,-0.757019,-2.17339,0.783274,-0.023779
1775801474411873641,-2.17339,-0.415138,0.903542,-2.5641,0.704914,0.119308,2.36874,0.610504,-0.805862,-2.02686,0.783296,0.0239804
1775801474412657964,-2.17339,-0.415138,0.903542,-2.5641,0.704914,0.119308,2.36874,0.610504,-0.805862,-2.02686,0.783296,0.0239804
1775801474413880618,-2.46642,-0.512817,0.757019,-2.71062,0.587449,0.0476803,2.41758,0.757019,-0.805862,-2.27106,0.783352,0.167268
1775801474414737151,-2.46642,-0.512817,0.757019,-2.71062,0.587449,0.0476803,2.41758,0.757019,-0.805862,-2.27106,0.783352,0.167268
1775801474415856483,-2.27106,-0.0732574,0.854698,-2.61295,0.704943,0.0715429,2.71062,0.463982,-0.708183,-2.0757,0.469933,-0.119344
1775801474416648569,-2.27106,-0.0732574,0.854698,-2.61295,0.704943,0.0715429,2.71062,0.463982,-0.708183,-2.0757,0.469933,-0.119344
1775801474417867633,-2.61295,-0.317459,0.708183,-2.3199,0.704916,0.16707,2.75946,0.415138,-0.805862,-1.73382,0.704949,-0.0715459
1775801474418892275,-2.3199,-0.561661,0.708183,-2.27106,1.01825,0.119264,2.41758,0.65934,-0.952377,-1.53846,0.783177,-0.358112
1775801474419887773,-2.3199,-0.561661,0.708183,-2.27106,0.783316,-0.0239898,2.27106,0.65934,-0.952377,-1.73382,0.704864,-0.31036
1775801474420828607,-2.12454,-0.0732574,0.65934,-2.85714,1.01837,-0.167315,2.51526,0.708183,-0.757019,-2.22222,0.744036,-0.286475
1775801474421866770,-2.27106,-0.0732574,0.65934,-2.22222,1.13584,-0.0956855,1.97802,0.805862,-0.854698,-2.22222,0.391433,-0.596983
1775801474422777467,-2.27106,-0.0732574,0.65934,-2.22222,1.13584,-0.0956855,1.97802,0.805862,-0.854698,-2.22222,0.391433,-0.596983
1775801474423887859,-2.36874,-0.463982,0.512817,-2.36874,1.48829,0.0236678,2.36874,0.610504,-0.854698,-2.27106,0.665997,-0.382196
1775801474424655283,-2.36874,-0.463982,0.512817,-2.36874,1.48829,0.0236678,2.36874,0.610504,-0.854698,-2.27106,0.665997,-0.382196
1775801474425814730,-2.27106,-0.65934,0.561661,-2.36874,1.56667,-0.071872,2.46642,0.65934,-0.805862,-2.17339,0.587649,-0.334424
1775801474426684273,-2.27106,-0.65934,0.561661,-2.36874,1.56667,-0.071872,2.46642,0.65934,-0.805862,-2.17339,0.587649,-0.334424
1775801474427942800,-2.17339,-0.317459,0.463982,-2.85714,1.52745,0.0953066,2.27106,0.708183,-0.854698,-2.8083,0.666035,-0.286629
1775801474428673314,-2.17339,-0.317459,0.463982,-2.85714,1.52745,0.0953066,2.27106,0.708183,-0.854698,-2.8083,0.666035,-0.286629
1775801474429877461,-2.3199,-0.268623,0.415138,-2.27106,1.72409,0.0236624,2.0757,0.561661,-0.952377,-2.3199,0.705267,-0.167161
1775801474430669319,-2.3199,-0.268623,0.415138,-2.27106,1.72409,0.0236624,2.0757,0.561661,-0.952377,-2.3199,0.705267,-0.167161
1775801474431906019,-2.22222,-0.268623,0.366302,-2.46642,1.29309,-0.000173064,2.17339,0.65934,-1.05006,-2.36874,0.979584,-0.0954488
1775801474432673659,-2.22222,-0.268623,0.366302,-2.46642,1.29309,-0.000173064,2.17339,0.65934,-1.05006,-2.36874,0.979584,-0.0954488
1775801474433864302,-2.12454,-0.170937,0.366302,-2.66178,1.37207,-0.000167298,2.0757,0.65934,-0.903542,-2.41758,0.78367,-0.0715791
1775801474434870615,-2.41758,-0.317459,0.366302,-2.71062,1.37206,0.0476385,1.68498,0.561661,-0.903542,-2.5641,0.979986,-0.238922
1775801474435936008,-2.27106,-0.0244217,0.317459,-2.71062,1.25447,0.0237506,2.17339,0.708183,-0.952377,-2.3199,0.940828,-0.11941
1775801474436629697,-2.27106,-0.0244217,0.317459,-2.71062,1.25447,0.0237506,2.17339,0.708183,-0.952377,-2.3199,0.940828,-0.11941
1775801474437827999,-2.22222,-0.122101,0.0732574,-2.75946,0.940905,-0.119637,2.22222,0.610504,-0.854698,-2.0757,1.01923,-0.119399
1775801474438708892,-2.22222,-0.122101,0.0732574,-2.75946,0.940905,-0.119637,2.22222,0.610504,-0.854698,-2.0757,1.01923,-0.119399
1775801474439868880,-2.36874,-0.610504,0.122101,-2.90598,1.17611,-0.0718606,2.22222,0.805862,-0.952377,-2.12454,1.1368,-0.286717
1775801474440618061,-2.36874,-0.610504,0.122101,-2.90598,1.17611,-0.0718606,2.22222,0.805862,-0.952377,-2.12454,1.1368,-0.286717
1775801474441782784,-1.92918,-0.317459,0.0732574,-2.66178,1.17616,-0.16748,2.51526,0.512817,-0.757019,-2.02686,1.01922,-0.215017
1775801474442734180,-1.92918,-0.317459,0.0732574,-2.66178,1.17616,-0.16748,2.51526,0.512817,-0.757019,-2.02686,1.01922,-0.215017
1775801474443950576,-2.22222,-0.463982,0.0732574,-2.8083,1.33288,0.119348,2.75946,0.708183,-0.805862,-1.8315,0.980044,-0.143306
1775801474444642765,-2.22222,-0.463982,0.0732574,-2.8083,1.33288,0.119348,2.75946,0.708183,-0.805862,-1.8315,0.980044,-0.143306
1775801474445851305,-2.3199,-0.317459,0.122101,-2.66178,1.37212,0.0476326,2.51526,1.05006,-0.65934,-2.36874,1.05843,-0.238918
1775801474446735370,-2.3199,-0.317459,0.122101,-2.66178,1.37212,0.0476326,2.51526,1.05006,-0.65934,-2.36874,1.05843,-0.238918
1775801474447773733,-2.46642,-0.561661,0.122101,-2.12454,1.64651,0.167119,1.97802,0.757019,-0.854698,-2.36874,1.01924,-0.215018
1775801474448626721,-2.41758,-0.65934,0.0244217,-2.27106,1.68573,0.143209,2.61295,0.757019,-0.65934,-1.68498,1.1761,-0.119375
1775801474449796426,-2.3199,-0.512817,0.122101,-2.27106,2.03855,0.214875,2.36874,0.65934,-0.65934,-1.8315,0.980085,-0.0954999
1775801474450710188,-2.3199,-0.512817,0.122101,-2.27106,2.03855,0.214875,2.36874,0.65934,-0.65934,-1.8315,0.980085,-0.0954999
1775801474451765062,-2.12454,-0.512817,0.122101,-2.95483,1.88176,0.167085,2.02686,0.65934,-0.561661,-2.51526,0.980133,0.000125416
1775801474452595916,-2.12454,-0.512817,0.122101,-2.95483,1.88176,0.167085,1.97802,0.65934,-0.561661,-2.51526,0.980133,0.000125416
1775801474453772828,-1.97802,-0.805862,0.122101,-2.95483,1.88183,-0.0241559,1.97802,0.415138,-0.561661,-2.02686,0.431224,-0.09557
1775801474454829653,-1.8315,-0.268623,0.122101,-2.17339,1.8426,0.0953735,2.3199,0.854698,-0.610504,-1.68498,0.901779,0.143552
1775801474455922297,-1.88034,-0.463982,0.21978,-2.3199,1.80334,0.262719,2.0757,0.903542,-0.512817,-1.97802,0.705778,0.215244
1775801474456773868,-1.88034,-0.463982,0.21978,-2.3199,1.80334,0.262719,2.0757,0.903542,-0.512817,-1.97802,0.744963,0.143533
1775801474457785088,-1.73382,-0.317459,0.317459,-2.3199,2.3916,-0.191574,2.0757,0.65934,-0.610504,-2.0757,0.901804,0.19136
1775801474458794446,-2.17339,-0.317459,0.415138,-2.3199,1.41143,-0.0719086,1.78266,0.903542,-0.610504,-1.48962,0.666573,0.191336
1775801474459870460,-2.12454,-0.463982,0.366302,-1.78266,1.64661,0.119306,1.3431,0.805862,-0.463982,-1.48962,0.470634,0.454277
1775801474460654710,-2.02686,-0.415138,0.366302,-2.27106,1.68583,0.0953915,2.0757,0.952377,-0.512817,-1.68498,0.470637,0.454279
1775801474461763084,-2.02686,-0.415138,0.366302,-2.27106,1.68583,0.0953915,2.0757,0.952377,-0.512817,-1.68498,0.470637,0.454279
1775801474462881640,-1.97802,-0.805862,0.512817,-2.0757,1.33303,-0.0240906,2.0757,0.903542,-0.268623,-1.48962,0.706101,0.215335
