timestamp_ns,gyro_x,gyro_y,gyro_z
1775801474342912284,-0.000441219,-0.000951431,0.00256494
1775801474343101543,-0.000441219,-0.000951431,0.00256494
1775801474343845942,-0.000441219,-0.000951431,0.00256494
1775801474344807636,-0.000441219,-0.000951431,0.00256494
1775801474345754683,-0.000441219,-0.000951431,0.00256494
1775801474346801655,-0.000441219,-0.000951431,0.00256494
1775801474347742257,0.00080245,0.00121348,0.00189332
1775801474348750575,0.00080245,0.00121348,0.00189332
1775801474349820032,0.00080245,0.00121348,0.00189332
1775801474350830974,0.00080245,0.00121348,0.00189332
1775801474351845328,0.00080245,0.00121348,0.00189332
1775801474352785844,-0.000422492,0.000613099,0.00195292
1775801474353880793,-0.000422492,0.000613099,0.00195292
1775801474354855684,-0.000422492,0.000613099,0.00195292
1775801474355807415,-0.000422492,0.000613099,0.00195292
1775801474356791140,-0.000422492,0.000613099,0.00195292
1775801474357860301,-0.000370516,-0.00250758,-0.000426017
1775801474358867968,-0.000370516,-0.00250758,-0.000426017
1775801474359885255,-0.000370516,-0.00250758,-0.000426017
1775801474360780706,-0.000370516,-0.00250758,-0.000426017
1775801474361835267,-0.000370516,-0.00250758,-0.000426017
1775801474362880532,0.00276287,-0.000898338,0.00163422
1775801474363896600,0.00276287,-0.000898338,0.00163422
1775801474364803848,0.00276287,-0.000898338,0.00163422
1775801474365945646,0.00276287,-0.000898338,0.00163422
1775801474366821374,0.00276287,-0.000898338,0.00163422
1775801474367840661,0.000876365,0.00106495,0.00211438
1775801474368742885,0.000876365,0.00106495,0.00211438
1775801474369827124,0.000876365,0.00106495,0.00211438
1775801474370873873,0.000876365,0.00106495,0.00211438
1775801474371766541,0.000876365,0.00106495,0.00211438
1775801474372805597,0.000876365,0.00106495,0.00211438
1775801474373854911,3.29867e-06,0.000234572,0.00268529
1775801474374868115,3.29867e-06,0.000234572,0.00268529
1775801474375873757,3.29867e-06,0.000234572,0.00268529
1775801474376805111,2.32129e-06,0.00201931,0.00180893
1775801474377923870,2.32129e-06,0.00201931,0.00180893
1775801474378967790,2.32129e-06,0.00201931,0.00180893
1775801474379916741,2.32129e-06,0.00201931,0.00180893
1775801474380848679,2.32129e-06,0.00201931,0.00180893
1775801474382261536,0.000820601,0.00219168,0.00140537
1775801474382935186,0.000820601,0.00219168,0.00140537
1775801474383933618,0.000820601,0.00219168,0.00140537
1775801474384815795,0.000820601,0.00219168,0.00140537
1775801474385803335,0.000820601,0.00219168,0.00140537
1775801474386852404,0.00226025,0.000713665,-0.000664831
1775801474387917778,0.00226025,0.000713665,-0.000664831
1775801474388915243,0.00226025,0.000713665,-0.000664831
1775801474389981902,0.00226025,0.000713665,-0.000664831
1775801474390885273,0.00226025,0.000713665,-0.000664831
1775801474392132724,0.00256708,-0.000574737,-0.00246945
1775801474392899661,0.00256708,-0.000574737,-0.00246945
1775801474394008944,0.00256708,-0.000574737,-0.00246945
1775801474394799490,0.00256708,-0.000574737,-0.00246945
1775801474395944614,0.00256708,-0.000574737,-0.00246945
1775801474396751284,0.00231853,-0.00353368,0.000580933
