timestamp_ns,accel_x,accel_y,accel_z
1775801474342912284,-0.814552,-0.030886,9.78588
1775801474343101543,-0.814552,-0.030886,9.78588
1775801474343845942,-0.814552,-0.030886,9.78588
1775801474344807636,-0.814552,-0.030886,9.78588
1775801474345754683,-0.814552,-0.030886,9.78588
1775801474346801655,-0.814552,-0.030886,9.78588
1775801474347742257,-0.827329,-0.037882,9.78552
1775801474348750575,-0.827329,-0.037882,9.78552
1775801474349820032,-0.827329,-0.037882,9.78552
1775801474350830974,-0.827329,-0.037882,9.78552
1775801474351845328,-0.827329,-0.037882,9.78552
1775801474352785844,-0.833427,-0.040904,9.78178
1775801474353880793,-0.833427,-0.040904,9.78178
1775801474354855684,-0.833427,-0.040904,9.78178
1775801474355807415,-0.833427,-0.040904,9.78178
1775801474356791140,-0.833427,-0.040904,9.78178
1775801474357860301,-0.831494,-0.033296,9.78157
1775801474358867968,-0.831494,-0.033296,9.78157
1775801474359885255,-0.831494,-0.033296,9.78157
1775801474360780706,-0.831494,-0.033296,9.78157
1775801474361835267,-0.831494,-0.033296,9.78157
1775801474362880532,-0.828345,-0.027248,9.78953
1775801474363896600,-0.828345,-0.027248,9.78953
1775801474364803848,-0.828345,-0.027248,9.78953
1775801474365945646,-0.828345,-0.027248,9.78953
1775801474366821374,-0.828345,-0.027248,9.78953
1775801474367840661,-0.831199,-0.034767,9.78605
1775801474368742885,-0.831199,-0.034767,9.78605
1775801474369827124,-0.831199,-0.034767,9.78605
1775801474370873873,-0.831199,-0.034767,9.78605
1775801474371766541,-0.831199,-0.034767,9.78605
1775801474372805597,-0.822442,-0.042737,9.78024
1775801474373854911,-0.822442,-0.042737,9.78024
1775801474374868115,-0.822442,-0.042737,9.78024
1775801474375873757,-0.822442,-0.042737,9.78024
1775801474376805111,-0.814818,-0.028685,9.77739
1775801474377923870,-0.814818,-0.028685,9.77739
1775801474378967790,-0.814818,-0.028685,9.77739
1775801474379916741,-0.814818,-0.028685,9.77739
