joint,is_parallel,target_used,rms_error_rad,error_mean_rad,error_std_rad,max_abs_error_rad,target_mean_rad,target_std_rad,target_range_rad,pos_mean_rad,pos_std_rad,pos_range_rad,pos_over_target_range,zero_lag_corr,best_delay_ms,best_delay_corr,vel_abs_p95_rad_s,effort_abs_p95,pos_des_raw_lower_hit_frac,pos_des_raw_upper_hit_frac,tau_des_lpf_abs_p95,tau_des_lpf_abs_max,tau_effort_corr,tau_raw_abs_p95
left_hip_pitch_joint,0.0,pos_des_lpf,0.34975473965772025,0.1432204824307992,0.3190866204110238,1.414231,0.4982156656666667,0.3207007847665325,2.14982,0.35499518323586743,0.0674971765370828,0.38158300000000006,0.17749532519001593,0.12908824364193064,129.9967827503657,0.3743119854368384,1.697,14.5788,0.0029239766081871343,0.0,nan,nan,nan,nan
left_hip_roll_joint,0.0,pos_des_lpf,0.3957678355939018,-0.03275752417865496,0.394409843057151,1.5892135,0.00747008113255361,0.39641366643897713,1.792974,0.04022760531120857,0.02783014273630871,0.2045978,0.11411085715688013,0.10692232840004984,59.99851511555339,0.41128257852445,0.978919,33.6752,0.02046783625730994,0.5964912280701754,nan,nan,nan,nan
left_hip_yaw_joint,0.0,pos_des_lpf,0.24333337176760883,0.05066976021900585,0.23799938070327364,0.783793,-0.13325351617753411,0.22631221558627382,1.6201050000000001,-0.18392327639653996,0.06444197398393707,0.449655,0.27754682566870664,-0.04366832708961687,39.99901007703559,0.19879593692084618,2.65444,10.4762,0.0,0.0,nan,nan,nan,nan
left_knee_pitch_joint,0.0,pos_des_lpf,0.3162039723528468,-0.222900008495614,0.22427781509631112,0.73932443,0.44158835456481477,0.20411963178805523,1.2543266,0.6644883630604288,0.14594459099555523,0.5539669999999999,0.44164494319103165,0.2125552699888755,109.99727771184787,0.5643580477593593,2.86311,29.2796,0.01364522417153996,0.0,nan,nan,nan,nan
left_ankle_pitch_joint,1.0,pos_des_raw,0.28232006326048703,0.12025960608721249,0.25542561591029567,0.687491,-0.16620953801610136,0.23410554036952064,0.76,-0.28646914410331387,0.06164221534280768,0.3597902,0.47340815789473684,-0.22996250439977461,79.99802015407118,-0.08321368489545675,2.6656,9.21953,0.15886939571150097,0.09600389863547758,21.2677,23.1799,0.47265173363097096,21.2677
left_ankle_roll_joint,1.0,pos_des_raw,0.17826432278274554,0.01098225536851852,0.17792571158832424,0.7017194,0.09818659898499026,0.183655911787417,1.28,0.08720434361647174,0.06081702244629668,0.45705300000000004,0.35707265625,0.2583237398452083,59.99851511555339,0.4522427480375183,3.64875,10.7893,0.0004873294346978557,0.01364522417153996,11.1855,22.7951,0.8420875008918647,11.3924
right_hip_pitch_joint,0.0,pos_des_lpf,0.6408009570738236,0.4059537153406433,0.4958098905708278,1.241562,0.03270299068177388,0.5092801285378268,2.226191,-0.3732507246588694,0.09625792818243276,0.553008,0.24840995224578666,0.23259224593080816,129.9967827503657,0.4440201154901489,2.58692,14.4322,0.0,0.0,nan,nan,nan,nan
right_hip_roll_joint,0.0,pos_des_lpf,0.38937205435526845,0.17123237822124757,0.349699970491188,1.46322854,0.21598302534502925,0.3371440069005401,1.682524,0.04475064712378168,0.053579489596202436,0.251385,0.1494094586466523,-0.15924560046771674,129.9967827503657,0.01815039704733499,0.892995,38.3639,0.07602339181286549,0.001949317738791423,nan,nan,nan,nan
right_hip_yaw_joint,0.0,pos_des_lpf,0.3299175095120903,-0.14427539308737816,0.2966987934457144,0.9387674,-0.12305093796554581,0.30422966129274515,1.7124929999999998,0.02122445512183236,0.07917944500871989,0.6308590000000001,0.3683863233309568,0.2240652520786905,49.9987625962945,0.40612775662778283,2.77105,10.6227,0.0,0.0,nan,nan,nan,nan
right_knee_pitch_joint,0.0,pos_des_lpf,0.3868742803215952,0.14082023431189086,0.36033508069947395,0.9637225999999999,0.5175406144288499,0.25323334321517166,1.0795370199999998,0.3767203801169591,0.2022398057673165,0.9135039999999999,0.8461997903508672,-0.2422518454026787,119.99703023110678,0.13540597922495454,4.36064,32.9915,0.00682261208576998,0.0,nan,nan,nan,nan
right_ankle_pitch_joint,1.0,pos_des_raw,0.3307014400004057,0.16756390248927874,0.2851066133938415,0.689604,0.08451186151949316,0.3112599914949475,0.76,-0.08305204096978558,0.09185545217871777,0.440755,0.5799407894736842,0.42031559833007887,-189.99529786591907,0.5373052085786112,2.59222,13.5881,0.14327485380116958,0.5165692007797271,14.0992,25.2856,0.2054052295712743,15.0694
right_ankle_roll_joint,1.0,pos_des_raw,0.23801364830540642,-0.1337794945159844,0.19685919746533914,0.5593786999999999,-0.18295409396335283,0.2093144678364376,1.049289,-0.04917459944736842,0.06778948163505602,0.549331,0.523526883442026,0.34020013410495803,49.9987625962945,0.39804475418525315,4.28532,10.9296,0.0029239766081871343,0.0,12.6848,20.4121,0.6523555122716042,12.9729
