stage,case_label,diag_csv,event_count,left_event_count,right_event_count,same_side_period_count,same_side_period_mean_sec,same_side_period_std_sec,same_side_period_hz,adjacent_step_interval_count,adjacent_step_interval_mean_sec,adjacent_step_interval_std_sec,adjacent_step_interval_hz
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,21,11,10,19,0.6968209743499756,0.06499315737846556,1.4350888345931934,20,0.34548425674438477,0.0723425943308518,2.894487897721705
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,19,10,9,17,0.7017598152160645,0.049407543436158836,1.4249889753121736,18,0.3488910330666436,0.052222052556432134,2.866224423168206
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,7,4,3,5,0.6459941387176513,0.055951091329810236,1.5480016614161205,6,0.31665953000386554,0.03876577671221213,3.1579659073825845
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,10,5,5,8,0.6837173402309418,0.042068565617589766,1.4625927136237706,9,0.34331340259975857,0.06506711997849991,2.912790448690462
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,40,21,19,38,0.6992096900939941,0.016987604990657528,1.4301861289502023,39,0.3584612332857572,0.05912415614000464,2.789701945824704
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,42,21,21,40,0.699498325586319,0.01468012754985786,1.4295959881845333,41,0.3487804691965987,0.036488043473239806,2.8671330201013214
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,50,25,25,48,0.6997919132312139,0.011383874338452685,1.4289962217234085,49,0.3495915228006791,0.019358193661243264,2.8604812610692325
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,52,26,26,50,0.6995993041992188,0.019465454171620548,1.4293896434683113,51,0.3496074629764931,0.02348874273533167,2.86035083886993
