stage,window,side,axis,events,mean_output_hp_rms_rad,mean_joint_hp_rms_rad,mean_output_range_rad,mean_joint_range_rad,mean_output_path_length_rad,mean_joint_path_length_rad,mean_output_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_output_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_output_flip_rate,mean_joint_flip_rate,mean_tracking_err_rms_rad,mean_joint_to_output_hp_rms_ratio
real,swing,left,pitch,16,0.05237942658903537,0.00953125363822924,0.48676271249999997,0.25497791875,1.1272608375,0.44332431250000004,25.580053017896727,6.460569020686078,7.993322502910498,3.232749441481774,0.386367302078509,0.07336598051559119,0.23535044231038355,0.2579010081584804
real,swing,left,roll,16,0.02856425055387243,0.010524985784732582,0.44825077500000005,0.29836333125,0.939560622925,0.603574,31.42430584412996,12.156815542751675,3.6289795708889887,3.6171405653683895,0.3316743099144552,0.12900060086604162,0.23534801741021374,0.4696881553875905
real,swing,right,pitch,16,0.03876772080801591,0.009406497454675564,0.41395470937499995,0.22447459999999997,1.0260844843749999,0.3478867999999999,18.874930569244803,10.23400022699591,8.499763718145488,3.427720332865504,0.2951069766970502,0.13097509340013086,0.22881361623377588,0.33558415407658254
real,swing,right,roll,16,0.041283413680142385,0.010483080741219826,0.41306871062500006,0.17439163249999998,1.19775106,0.381261131125,32.572492145826324,16.115250705381143,3.99594670882641,4.007774569755432,0.3430102513298251,0.1833463126705618,0.16193853000245037,0.3808105051280487
real,touchdown,left,pitch,16,0.054914684733505977,0.012066042382572839,0.34236416249999996,0.23066045624999998,0.7615975062499999,0.27476774375,34.26462286820375,8.977188532807794,12.545301180198788,6.733993548966112,0.4593519327894328,0.10218427405927405,0.2645841856047675,0.2637645674716575
real,touchdown,left,roll,16,0.040010982132292094,0.015936603656917316,0.318222380625,0.27920498374999997,0.6162509462499999,0.368412746875,40.77603189825676,11.342173354113255,11.053395943261306,6.733993548966112,0.44694368131868134,0.12829045954045956,0.25778722198455223,0.48819533335185916
real,touchdown,right,pitch,16,0.06728809946738518,0.009167437109049858,0.319665425,0.22281808750000004,0.8450725475,0.24263416875000002,27.783109219030436,8.1438220116481,12.638272988496633,6.738467094500902,0.413139985014985,0.10005602036852036,0.2613953532415548,0.14352286767958722
real,touchdown,right,roll,16,0.07297707955181508,0.011032056976066193,0.41070838062500004,0.14377357275000002,1.087149238125,0.22472325299375,40.35706548196481,19.078549564957594,9.293646932270798,7.627422238420964,0.44253142690642694,0.21573010323010322,0.1693955992550613,0.19225042829057468
sim,swing,left,pitch,16,0.017837987201071315,0.009949112798805698,0.41740040624999997,0.181381175,0.6244702500000001,0.30597516249999995,12.450674623657246,9.763814546045687,3.979611166518986,3.04354815088527,0.1617927424985615,0.10344103401928068,0.18305466128380232,0.7630333811941062
sim,swing,left,roll,16,0.02621123609693454,0.0043352982146001775,0.3917670534374999,0.11774248124999999,0.6056512003125,0.180434028875,22.584012686933367,14.16302458020351,5.334504434397361,3.04354815088527,0.25591866703518534,0.16945594678978998,0.1569641015837888,0.1890085358124991
sim,swing,right,pitch,16,0.04511839200153594,0.00480294685527043,0.5581043312499999,0.1538032625,0.9583158875,0.2216249625,11.665546924260639,5.692390808532937,3.04354815088527,3.04354815088527,0.1764193276185768,0.06470047621187777,0.22169395680832468,0.16491833638788067
sim,swing,right,roll,16,0.014543385687895195,0.0021971278914681867,0.2283493925,0.042978478475,0.48545932962500005,0.0721744962125,23.341578143985657,9.844782228094635,5.334523096816062,4.002521001180623,0.24915468365395366,0.13690207437490046,0.09344246315168384,0.17786866114540456
sim,touchdown,left,pitch,16,0.03324117298575374,0.016046971561985385,0.34940370625,0.15037729375,0.46813806874999997,0.2316463375,14.414674666439618,15.587538690269668,16.068003189305404,7.6319807779221485,0.17463751526251525,0.17263986013986013,0.25325515116983,0.3382239159894908
sim,touchdown,left,roll,16,0.034499494799492735,0.010078948120156764,0.34919697937500005,0.15054215375,0.47264173425,0.18746614512499998,27.662052276485866,19.929109418430507,7.602297789793778,8.078516579588213,0.30557983682983686,0.23030407092907093,0.230916306102389,0.6120975384615582
sim,touchdown,right,pitch,16,0.05161121465016316,0.012761683596245266,0.378842520625,0.11851189999999999,0.579774620625,0.1893936,27.224607434980285,14.522664835262706,8.01883172098441,7.602265489353865,0.3339920496170496,0.15984536297036298,0.19909759972515972,0.35759545794405045
sim,touchdown,right,roll,16,0.024319375845938643,0.00521787289126569,0.17231405375000003,0.0526394419375,0.320413076625,0.075527593875,30.334403027277233,18.138413345935888,10.49717273214827,7.185498741132204,0.3372481684981685,0.24848849067599063,0.06162156353233924,0.27026605563710204
